County[a],Cases [b][c],Deaths [c],Population[3],Cases / 100k,CFR
67 / 67,104079,1830,4779736,2117.5,1.76%
Autauga,1218,22,54571,2232.0,1.81%
Baldwin,3877,29,182265,2127.1,0.75%
Barbour,604,6,27457,2119.8,0.99%
Bibb,469,5,22915,2046.7,1.07%
Blount,860,5,57322,1500.3,0.58%
Bullock,496,11,10914,4544.6,2.22%
Butler,792,36,20947,3781.0,4.55%
Calhoun,1919,19,118572,1618.4,0.99%
Chambers,854,38,34215,2496.0,4.45%
Cherokee,302,8,25989,1162.0,2.65%
Chilton,859,9,43643,1968.2,1.05%
Choctaw,293,12,13859,2114.1,4.1%
Clarke,833,10,25833,3224.6,1.20%
Clay,301,5,13932,2160.5,1.66%
Cleburne,133,1,14972,888.3,0.75%
Coffee,812,6,49948,1625.7,0.74%
Colbert,1272,18,54428,2337.0,1.42%
Conecuh,403,10,13228,3046.6,2.48%
Coosa,106,3,11539,918.6,2.83%
Covington,773,21,37765,2046.9,2.72%
Crenshaw,349,8,13906,2509.7,2.29%
Cullman,1274,12,80406,1584.5,0.940%
Dale,879,29,50251,1749.2,3.30%
Dallas,1363,25,43820,3110.5,1.83%
DeKalb,1896,14,71109,2666.3,0.74%
Elmore,1826,39,79303,2302.6,2.14%
Escambia,1113,17,38319,2904.6,1.53%
Etowah,2263,34,104430,2167.0,1.50%
Fayette,241,5,17241,1397.8,2.07%
Franklin,1351,22,31704,4261.3,1.63%
Geneva,264,1,26790,1056.4,0.71%
Greene,258,11,9045,2852.4,4.26%
Hale,495,26,15760,3140.9,5.25%
Henry,275,3,17302,1589.4,1.09%
Houston,1519,13,101547,1495.9,0.86%
Jackson,1124,5,53227,2111.7,0.44%
Jefferson,13988,262,658466,2124.3,1.87%
Lamar,240,2,14564,1647.9,0.83%
Lauderdale,1238,20,92709,1335.4,1.62%
Lawrence,370,3,34339,1077.5,0.81%
Lee,2776,47,140247,1979.4,1.69%
Limestone,1449,13,82782,1750.4,0.9%
Lowndes,578,24,11299,5115.5,4.15%
Macon,346,15,21452,1612.9,4.34%
Madison,5687,35,334811,1698.6,0.62%
Marengo,585,17,21027,2782.1,2.91%
Marion,606,26,30776,1969.1,4.29%
Marshall,3233,38,93019,3475.6,1.18%
Mobile,11022,227,412992,2668.8,2.06%
Monroe,432,6,23068,1872.7,1.39%
Montgomery,7152,153,229363,3118.2,2.14%
Morgan,2502,20,119490,3118.2,2.14%
Perry,456,4,10591,4305.5,0.88%
Pickens,436,10,19746,2208.0,2.29%
Pike,723,7,32899,2197.6,0.97%
Randolph,409,11,22913,1785.0,2.69%
Russell,1407,2,52947,2657.4,0.14%
Shelby,3495,37,195085,1791.5,1.06%
St. Clair,1412,20,83593,1689.1,1.42%
Sumter,374,19,13763,2717.4,5.08%
Talladega,1133,14,82291,1376.8,1.24%
Tallapoosa,887,79,41616,2131.4,8.91%
Tuscaloosa,4449,80,194656,2285.6,1.80%
Walker,1618,68,67023,2414.1,4.08%
Washington,465,13,17581,2644.9,2.80%
Wilcox,449,13,11670,3847.5,2.23%
Winston,477,11,24484,1948.2,2.31%
Unknown,0,0,,,
"Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]","Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]","Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]","Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]","Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]","Updated Aug 6, 2020Data is publicly reported by Alabama Department of Public Health[4][5]"
"^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case reside, not where they were diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero."
