date,confirmed,deaths,state
2020-03-03,3,0,Alaska
2020-03-04,4,0,Alaska
2020-03-05,5,0,Alaska
2020-03-06,6,0,Alaska
2020-03-07,7,0,Alaska
2020-03-08,8,0,Alaska
2020-03-09,8,0,Alaska
2020-03-10,15,0,Alaska
2020-03-11,16,0,Alaska
2020-03-12,20,0,Alaska
2020-03-13,23,0,Alaska
2020-03-14,30,0,Alaska
2020-03-15,41,0,Alaska
2020-03-16,54,0,Alaska
2020-03-17,70,0,Alaska
2020-03-18,86,0,Alaska
2020-03-19,101,0,Alaska
2020-03-20,114,0,Alaska
2020-03-21,127,0,Alaska
2020-03-22,136,0,Alaska
2020-03-23,153,0,Alaska
2020-03-24,165,1,Alaska
2020-03-25,176,1,Alaska
2020-03-26,188,1,Alaska
2020-03-27,200,2,Alaska
2020-03-28,204,2,Alaska
2020-03-29,214,3,Alaska
2020-03-30,228,3,Alaska
2020-03-31,237,3,Alaska
2020-04-01,247,3,Alaska
2020-04-02,257,3,Alaska
2020-04-03,263,3,Alaska
2020-04-04,272,5,Alaska
2020-04-05,278,6,Alaska
2020-04-06,287,6,Alaska
2020-04-07,297,6,Alaska
2020-04-08,301,7,Alaska
2020-04-09,306,7,Alaska
2020-04-10,312,7,Alaska
2020-04-11,318,8,Alaska
2020-04-12,322,8,Alaska
2020-04-13,325,8,Alaska
2020-04-14,327,9,Alaska
2020-04-15,329,9,Alaska
2020-04-16,332,9,Alaska
2020-04-17,338,9,Alaska
2020-04-18,347,9,Alaska
2020-04-19,347,9,Alaska
2020-04-20,350,9,Alaska
2020-04-21,356,9,Alaska
2020-04-22,357,9,Alaska
2020-04-23,359,9,Alaska
2020-04-24,361,9,Alaska
2020-04-25,363,9,Alaska
2020-04-26,365,9,Alaska
2020-04-27,367,9,Alaska
2020-04-28,370,9,Alaska
2020-04-29,371,9,Alaska
2020-04-30,374,9,Alaska
2020-05-01,375,9,Alaska
2020-05-02,376,9,Alaska
2020-05-03,380,9,Alaska
2020-05-04,382,9,Alaska
2020-05-05,382,9,Alaska
2020-05-06,383,10,Alaska
2020-05-07,385,10,Alaska
2020-05-08,385,10,Alaska
2020-05-09,386,10,Alaska
2020-05-10,390,10,Alaska
2020-05-11,393,10,Alaska
2020-05-12,393,10,Alaska
2020-05-13,394,10,Alaska
2020-05-14,397,10,Alaska
2020-05-15,400,10,Alaska
2020-05-16,403,10,Alaska
2020-05-17,406,10,Alaska
2020-05-18,407,10,Alaska
2020-05-19,410,10,Alaska
2020-05-20,413,10,Alaska
2020-05-21,415,10,Alaska
2020-05-22,419,10,Alaska
2020-05-23,423,10,Alaska
2020-05-24,429,10,Alaska
2020-05-25,435,10,Alaska
2020-05-26,439,10,Alaska
2020-05-27,454,10,Alaska
2020-05-28,463,10,Alaska
2020-05-29,479,10,Alaska
2020-05-30,495,10,Alaska
2020-05-31,504,10,Alaska
2020-06-01,525,10,Alaska
2020-06-02,542,10,Alaska
2020-06-03,549,10,Alaska
2020-06-04,565,10,Alaska
2020-06-05,583,10,Alaska
2020-06-06,593,10,Alaska
2020-06-07,609,10,Alaska
2020-06-08,626,10,Alaska
2020-06-09,650,11,Alaska
2020-06-10,662,11,Alaska
2020-06-11,674,11,Alaska
2020-06-12,689,12,Alaska
2020-06-13,703,12,Alaska
2020-06-14,708,12,Alaska
2020-06-15,718,12,Alaska
2020-06-16,733,12,Alaska
2020-06-17,747,12,Alaska
2020-06-18,759,12,Alaska
2020-06-19,773,12,Alaska
2020-06-20,786,12,Alaska
2020-06-21,797,12,Alaska
2020-06-22,813,12,Alaska
2020-06-23,828,12,Alaska
2020-06-24,853,12,Alaska
2020-06-25,870,12,Alaska
2020-06-26,888,14,Alaska
2020-06-27,920,14,Alaska
2020-06-28,945,14,Alaska
2020-06-29,974,14,Alaska
2020-06-30,"1,010",14,Alaska
2020-07-01,"1,045",14,Alaska
2020-07-02,"1,082",14,Alaska
2020-07-03,"1,121",15,Alaska
2020-07-04,"1,143",16,Alaska
2020-07-05,"1,167",16,Alaska
2020-07-06,"1,186",16,Alaska
2020-07-07,"1,226",17,Alaska
2020-07-08,"1,272",17,Alaska
2020-07-09,"1,323",17,Alaska
2020-07-10,"1,385",17,Alaska
2020-07-11,"1,479",17,Alaska
2020-07-12,"1,539",17,Alaska
2020-07-13,"1,579",17,Alaska
2020-07-14,"1,631",17,Alaska
2020-07-15,"1,693",17,Alaska
2020-07-16,"1,733",17,Alaska
2020-07-17,"1,795",18,Alaska
2020-07-18,"1,874",18,Alaska
2020-07-19,"1,949",18,Alaska
2020-07-20,"2,041",18,Alaska
2020-07-21,"2,132",19,Alaska
2020-07-22,"2,192",19,Alaska
2020-07-23,"2,249",19,Alaska
2020-07-24,"2,338",20,Alaska
2020-07-25,"2,524",20,Alaska
2020-07-26,"2,622",21,Alaska
2020-07-27,"2,729",22,Alaska
2020-07-28,"2,797",22,Alaska
2020-07-29,"2,878",23,Alaska
2020-07-30,"2,990",23,Alaska
2020-07-31,"3,136",24,Alaska
2020-08-01,"3,280",24,Alaska
2020-08-02,"3,341",25,Alaska
2020-08-03,"3,394",25,Alaska
2020-08-04,"3,449",25,Alaska
2020-08-05,"3,484",25,Alaska
2020-08-06,"3,536",25,Alaska
2020-08-07,"3,613",26,Alaska
2020-08-08,"3,711",26,Alaska
2020-08-09,"3,775",26,Alaska
2020-08-10,"3,821",26,Alaska
2020-08-11,"3,881",27,Alaska
2020-08-12,"3,963",27,Alaska
2020-08-13,"4,073",27,Alaska
2020-08-14,"4,156",28,Alaska
2020-08-15,"4,259",28,Alaska
2020-08-16,"4,309",28,Alaska
2020-08-17,"4,371",29,Alaska
2020-08-18,"4,438",29,Alaska
2020-08-19,"4,520",29,Alaska
2020-08-20,"4,588",30,Alaska
2020-08-21,"4,677",31,Alaska
2020-08-22,"4,741",32,Alaska
2020-08-23,"4,810",32,Alaska
2020-08-24,"4,843",36,Alaska
2020-08-25,"4,895",37,Alaska
