date,confirmed,deaths,state
2020-03-07,5,,Arizona
,,,Arizona
2020-03-10,6,,Arizona
2020-03-11,9,,Arizona
2020-03-12,9,,Arizona
2020-03-13,9,,Arizona
2020-03-14,12,,Arizona
,,,Arizona
2020-03-16,18,,Arizona
2020-03-17,20,,Arizona
2020-03-18,27,,Arizona
2020-03-19,44,,Arizona
2020-03-20,63,,Arizona
2020-03-21,104,1,Arizona
2020-03-22,152,2,Arizona
2020-03-23,235,2,Arizona
2020-03-24,326,5,Arizona
2020-03-25,401,6,Arizona
2020-03-26,508,8,Arizona
2020-03-27,665,13,Arizona
2020-03-28,773,15,Arizona
2020-03-29,919,17,Arizona
2020-03-30,"1,157",20,Arizona
2020-03-31,"1,289",24,Arizona
2020-04-01,"1,413",29,Arizona
2020-04-02,"1,598",32,Arizona
2020-04-03,"1,769",41,Arizona
2020-04-04,"2,019",52,Arizona
2020-04-05,"2,269",64,Arizona
2020-04-06,"2,456",65,Arizona
2020-04-07,"2,575",73,Arizona
2020-04-08,"2,726",80,Arizona
2020-04-09,"3,018",89,Arizona
2020-04-10,"3,112",97,Arizona
2020-04-11,"3,393",108,Arizona
2020-04-12,"3,539",115,Arizona
2020-04-13,"3,702",122,Arizona
2020-04-14,"3,806",131,Arizona
2020-04-15,"3,962",142,Arizona
2020-04-16,"4,234",150,Arizona
2020-04-17,"4,507",169,Arizona
2020-04-18,"4,719",177,Arizona
2020-04-19,"4,929",184,Arizona
2020-04-20,"5,064",187,Arizona
2020-04-21,"5,251",208,Arizona
2020-04-22,"5,459",229,Arizona
2020-04-23,"5,769",249,Arizona
2020-04-24,"6,045",266,Arizona
2020-04-25,"6,280",273,Arizona
2020-04-26,"6,526",275,Arizona
2020-04-27,"6,716",275,Arizona
2020-04-28,"6,948",293,Arizona
2020-04-29,"7,202",304,Arizona
2020-04-30,"7,648",320,Arizona
2020-05-01,"7,962",330,Arizona
2020-05-02,"8,364",348,Arizona
2020-05-03,"8,640",362,Arizona
2020-05-04,"8,919",362,Arizona
2020-05-05,"9,305",395,Arizona
2020-05-06,"9,707",426,Arizona
2020-05-07,"9,945",450,Arizona
2020-05-08,"10,526",517,Arizona
2020-05-09,"10,960",532,Arizona
2020-05-10,"11,119",536,Arizona
2020-05-11,"11,380",542,Arizona
2020-05-12,"11,736",562,Arizona
2020-05-13,"12,176",594,Arizona
2020-05-14,"12,674",624,Arizona
2020-05-15,"13,169",651,Arizona
2020-05-16,"13,671",679,Arizona
2020-05-17,"13,937",680,Arizona
2020-05-18,"14,170",686,Arizona
2020-05-19,"14,566",704,Arizona
2020-05-20,"14,897",747,Arizona
2020-05-21,"15,315",763,Arizona
2020-05-22,"15,608",775,Arizona
2020-05-23,"16,039",799,Arizona
2020-05-24,"16,339",800,Arizona
2020-05-25,"16,561",806,Arizona
2020-05-26,"16,783",807,Arizona
2020-05-27,"17,262",831,Arizona
2020-05-28,"17,763",857,Arizona
2020-05-29,"18,465",885,Arizona
2020-05-30,"19,255",903,Arizona
2020-05-31,"19,936",906,Arizona
2020-06-01,"20,123",917,Arizona
2020-06-02,"21,250",941,Arizona
2020-06-03,"22,223",981,Arizona
2020-06-04,"22,753",996,Arizona
2020-06-05,"24,332","1,012",Arizona
2020-06-06,"25,451","1,042",Arizona
2020-06-07,"26,889","1,044",Arizona
2020-06-08,"27,678","1,047",Arizona
2020-06-09,"28,296","1,070",Arizona
2020-06-10,"29,852","1,095",Arizona
2020-06-11,"31,264","1,127",Arizona
2020-06-12,"32,918","1,144",Arizona
2020-06-13,"34,458","1,183",Arizona
2020-06-14,"35,691","1,186",Arizona
2020-06-15,"36,705","1,194",Arizona
2020-06-16,"39,097","1,219",Arizona
2020-06-17,"40,924","1,239",Arizona
2020-06-18,"43,443","1,271",Arizona
2020-06-19,"46,689","1,312",Arizona
2020-06-20,"49,798","1,338",Arizona
2020-06-21,"52,390","1,339",Arizona
2020-06-22,"54,586","1,342",Arizona
2020-06-23,"58,179","1,384",Arizona
2020-06-24,"59,974","1,463",Arizona
2020-06-25,"63,030","1,490",Arizona
2020-06-26,"66,458","1,535",Arizona
2020-06-27,"70,051","1,579",Arizona
2020-06-28,"73,908","1,588",Arizona
2020-06-29,"74,533","1,588",Arizona
2020-06-30,"79,215","1,632",Arizona
2020-07-01,"84,092","1,720",Arizona
2020-07-02,"87,425","1,757",Arizona
2020-07-03,"91,858","1,788",Arizona
2020-07-04,"94,553","1,805",Arizona
2020-07-05,"98,089","1,809",Arizona
2020-07-06,"101,441","1,810",Arizona
2020-07-07,"105,094","1,927",Arizona
2020-07-08,"108,614","1,963",Arizona
2020-07-09,"112,671","2,038",Arizona
2020-07-10,"116,892","2,082",Arizona
2020-07-11,"119,930","2,151",Arizona
2020-07-12,"122,467","2,237",Arizona
2020-07-13,"123,824","2,245",Arizona
2020-07-14,"128,087","2,337",Arizona
