date,confirmed,deaths,state
2020-03-11,1,,Arkansas
2020-03-12,6,,Arkansas
2020-03-13,9,,Arkansas
2020-03-14,12,,Arkansas
2020-03-15,16,,Arkansas
2020-03-16,22,,Arkansas
2020-03-17,22,,Arkansas
2020-03-18,37,,Arkansas
2020-03-19,62,,Arkansas
2020-03-20,100,,Arkansas
2020-03-21,118,,Arkansas
2020-03-22,165,,Arkansas
2020-03-23,201,,Arkansas
2020-03-24,232,2,Arkansas
2020-03-25,308,2,Arkansas
2020-03-26,349,3,Arkansas
2020-03-27,386,3,Arkansas
2020-03-28,409,5,Arkansas
2020-03-29,449,6,Arkansas
2020-03-30,508,7,Arkansas
2020-03-31,564,8,Arkansas
2020-04-01,624,10,Arkansas
2020-04-02,683,12,Arkansas
2020-04-03,738,12,Arkansas
2020-04-04,743,14,Arkansas
2020-04-05,853,16,Arkansas
2020-04-06,927,16,Arkansas
2020-04-07,997,18,Arkansas
2020-04-08,"1,071",18,Arkansas
2020-04-09,"1,146",21,Arkansas
2020-04-10,"1,202",24,Arkansas
2020-04-11,"1,228",25,Arkansas
2020-04-12,"1,280",27,Arkansas
2020-04-13,"1,475",30,Arkansas
2020-04-14,"1,498",32,Arkansas
2020-04-15,"1,599",34,Arkansas
2020-04-16,"1,620",37,Arkansas
2020-04-17,"1,695",37,Arkansas
2020-04-18,"1,777",38,Arkansas
2020-04-19,"1,781",39,Arkansas
2020-04-20,"1,971",42,Arkansas
2020-04-21,"2,262",42,Arkansas
2020-04-22,"2,392",44,Arkansas
2020-04-23,"2,599",45,Arkansas
2020-04-24,"2,810",47,Arkansas
2020-04-25,"2,909",48,Arkansas
2020-04-26,"3,001",50,Arkansas
2020-04-27,"3,069",51,Arkansas
2020-04-28,"3,127",57,Arkansas
2020-04-29,"3,207",59,Arkansas
2020-04-30,"3,281",61,Arkansas
2020-05-01,"3,310",64,Arkansas
2020-05-02,"3,372",72,Arkansas
2020-05-03,"3,431",76,Arkansas
2020-05-04,"3,469",80,Arkansas
2020-05-05,"3,525",83,Arkansas
2020-05-06,"3,611",87,Arkansas
2020-05-07,"3,694",88,Arkansas
2020-05-08,"3,747",88,Arkansas
2020-05-09,"3,984",90,Arkansas
2020-05-10,"4,012",91,Arkansas
2020-05-11,"4,043",94,Arkansas
