date,confirmed,deaths,state
2020-01-26,2,,California
,2,,California
2020-01-31,3,,California
,3,,California
2020-02-02,6,,California
,6,,California
2020-03-04,53,1,California
2020-03-05,60,1,California
2020-03-06,69,1,California
2020-03-07,88,1,California
2020-03-08,114,1,California
2020-03-09,133,1,California
2020-03-10,157,2,California
2020-03-11,177,3,California
2020-03-12,198,4,California
2020-03-13,247,5,California
2020-03-14,335,6,California
2020-03-15,392,6,California
2020-03-16,472,11,California
2020-03-17,598,13,California
2020-03-18,675,16,California
2020-03-19,"1,006",19,California
2020-03-20,"1,224",23,California
2020-03-21,"1,468",27,California
2020-03-22,"1,733",27,California
2020-03-23,"2,102",40,California
2020-03-24,"2,535",53,California
2020-03-25,"3,006",65,California
2020-03-26,"3,801",78,California
2020-03-27,"4,643",101,California
,"4,643",101,California
2020-03-29,"5,763",135,California
2020-03-30,"6,932",150,California
2020-03-31,"8,155",171,California
2020-04-01,"9,191",203,California
2020-04-02,"10,701",237,California
2020-04-03,"12,026",276,California
2020-04-04,"13,438",319,California
2020-04-05,"14,336",343,California
2020-04-06,"15,865",374,California
2020-04-07,"16,957",442,California
2020-04-08,"18,309",492,California
2020-04-09,"19,472",541,California
2020-04-10,"20,615",609,California
2020-04-11,"21,794",651,California
2020-04-12,"22,348",687,California
2020-04-13,"23,338",758,California
2020-04-14,"24,424",821,California
2020-04-15,"26,182",890,California
2020-04-16,"27,528",985,California
2020-04-17,"28,963","1,072",California
2020-04-18,"30,333","1,166",California
2020-04-19,"30,978","1,208",California
2020-04-20,"33,261","1,268",California
2020-04-21,"35,396","1,354",California
2020-04-22,"37,369","1,469",California
2020-04-23,"39,254","1,562",California
2020-04-24,"41,137","1,651",California
2020-04-25,"42,164","1,710",California
2020-04-26,"43,464","1,755",California
2020-04-27,"45,031","1,809",California
2020-04-28,"46,500","1,887",California
2020-04-29,"48,917","1,982",California
2020-04-30,"50,442","2,073",California
2020-05-01,"52,197","2,171",California
2020-05-02,"53,616","2,215",California
2020-05-03,"54,937","2,254",California
2020-05-04,"56,212","2,317",California
2020-05-05,"58,815","2,412",California
2020-05-06,"60,614","2,504",California
2020-05-07,"62,512","2,585",California
