Date,Action Taken
"March 4, 2020",State of emergency declared.
"March 12, 2020",Mass gatherings (over 250 people) and social gatherings (over 10 people) banned.
"March 19, 2020",State-wide stay-at-home order issued.
"March 24, 2020",Intakes in prisons and juvenile correction centers postponed.
"April 1, 2020",Closure of all public and private schools (including institutions of higher education) ordered for the remainder of the 2019–2020 academic year.
"April 9, 2020",State offered to pay hotel room costs for hospital and other essential workers afraid of returning home and infecting family members.
"April 24, 2020",Program to deliver free meals to elderly residents announced.
"April 29, 2020",Expansion of the state's Farm to Family program (which helps connect farmers to food banks) announced.
"May 6, 2020",Worker's compensation extended for all workers who contracted COVID-19 during the state's stay-at-home order.
"May 6, 2020",Property tax penalties waived for residents and small businesses that have been negatively affected by the pandemic.
"May 7, 2020",State entered Stage 2 of its 4-stage reopening roadmap.
"May 8, 2020",Executive order signed that would send every registered voter a mail-in ballot for the general election.
"May 18, 2020",Businesses that are part of Stage 3 allowed to reopen.
"May 26, 2020",Hair service businesses allowed to reopen (with restrictions).
"June 18, 2020",Universal masking guidance issued by Department of Public Health.
"June 28, 2020",Bars ordered to close in several counties.
"July 1, 2020","Most indoor businesses, including restaurants, wineries, and movie theaters ordered to close in several counties."
"July 13, 2020","Closure of gyms, indoor dining, bars, movie theaters, and museums re-imposed."
"August 28, 2020","Unveiled a new set of guidelines for lifting restrictions, titled a ""Blueprint for a Safer Economy""."
"September 1, 2020","BSE county-level restrictions take effect. See below for initial classifications. More than 80% of population is under ""Widespread"" restrictions."
"September 29, 2020","Majority of population now under ""Substantial"" or lower BSE restrictions."
