date,confirmed,deaths,state
2020-03-05,2,,Colorado
2020-03-06,8,,Colorado
2020-03-07,8,,Colorado
2020-03-08,8,,Colorado
2020-03-09,12,,Colorado
2020-03-10,17,,Colorado
2020-03-11,34,,Colorado
2020-03-12,49,,Colorado
2020-03-13,77,1,Colorado
2020-03-14,101,1,Colorado
2020-03-15,131,1,Colorado
2020-03-16,160,1,Colorado
2020-03-17,183,2,Colorado
2020-03-18,216,2,Colorado
2020-03-19,277,4,Colorado
2020-03-20,363,4,Colorado
2020-03-21,475,5,Colorado
2020-03-22,591,6,Colorado
2020-03-23,720,7,Colorado
2020-03-24,912,11,Colorado
2020-03-25,"1,086",19,Colorado
2020-03-26,"1,430",24,Colorado
2020-03-27,"1,734",31,Colorado
2020-03-28,"2,061",44,Colorado
2020-03-29,"2,307",47,Colorado
2020-03-30,"2,627",51,Colorado
2020-03-31,"2,966",69,Colorado
2020-04-01,"3,342",80,Colorado
2020-04-02,"3,728",97,Colorado
2020-04-03,"4,173",111,Colorado
2020-04-04,"4,565",126,Colorado
2020-04-05,"4,950",140,Colorado
2020-04-06,"5,172",150,Colorado
2020-04-07,"5,429",179,Colorado
2020-04-08,"5,655",193,Colorado
2020-04-09,"6,202",226,Colorado
2020-04-10,"6,510",250,Colorado
2020-04-11,"6,893",274,Colorado
2020-04-12,"7,303",290,Colorado
2020-04-13,"7,691",308,Colorado
2020-04-14,"7,941",329,Colorado
2020-04-15,"8,280",357,Colorado
2020-04-16,"8,675",374,Colorado
2020-04-17,"9,047",391,Colorado
2020-04-18,"9,443",411,Colorado
2020-04-19,"9,730",422,Colorado
2020-04-20,"10,106",449,Colorado
2020-04-21,"10,447",486,Colorado
2020-04-22,"10,878",508,Colorado
2020-04-23,"11,262",552,Colorado
2020-04-24,"12,256",674,Colorado
2020-04-25,"12,968",674,Colorado
2020-04-26,"13,441",680,Colorado
2020-04-27,"13,879",706,Colorado
2020-04-28,"14,316",736,Colorado
2020-04-29,"14,758",766,Colorado
2020-04-30,"15,284",777,Colorado
2020-05-01,"15,768",820,Colorado
2020-05-02,"16,225",832,Colorado
2020-05-03,"16,635",842,Colorado
2020-05-04,"16,907",851,Colorado
2020-05-05,"17,364",903,Colorado
2020-05-06,"17,830",921,Colorado
2020-05-07,"18,371",944,Colorado
2020-05-08,"18,827",960,Colorado
2020-05-09,"19,375",967,Colorado
2020-05-10,"19,703",971,Colorado
2020-05-11,"19,879",987,Colorado
2020-05-12,"20,157","1,009",Colorado
2020-05-13,"20,475","1,062",Colorado
2020-05-14,"20,838","1,091",Colorado
2020-05-15,"21,232","1,150",Colorado
2020-05-16,"21,633","1,192",Colorado
2020-05-17,"21,938","1,215",Colorado
