County[a],Cases[b][c],Deaths,Population[d],Cases / 100k,Unnamed: 5_level_0,Unnamed: 6_level_0
64 / 64,"71,898","2,057","5,758,736","1,248.5",Unnamed: 5_level_1,Unnamed: 6_level_1
Adams,9600,229,517421,1855.4,,
Alamosa,246,9,16233,1515.4,,
Arapahoe,9572,373,656590,1457.8,,
Archuleta,55,0,14029,392.0,,
Baca,18,0,3581,502.7,,
Bent,11,0,5577,197.2,,
Boulder,4520,79,326196,1385.7,,
Broomfield[e],676,33,70465,959.3,,
Chaffee,336,19,20356,1650.6,,
Cheyenne,14,0,1831,764.6,,
Clear Creek,43,1,9700,443.3,,
Conejos,37,0,8205,450.9,,
Costilla,32,1,3887,823.3,,
Crowley,74,1,6061,1220.9,,
Custer,18,0,5068,355.2,,
Delta,192,3,31162,616.1,,
Denver[e],13593,433,727211,1869.2,,
Dolores,3,0,2055,146.0,,
Douglas,2717,61,351154,773.7,,
Eagle,1272,10,55127,2307.4,,
El Paso,7074,175,720403,982.0,,
Elbert,163,3,26729,609.8,,
Fremont,178,1,47839,372.1,,
Garfield,963,5,60061,1603.4,,
Gilpin,19,0,6243,304.3,,
Grand,83,1,15734,527.5,,
Gunnison,296,7,17462,1695.1,,
Hinsdale,3,0,820,365.9,,
Huerfano,25,1,6897,362.5,,
Jackson,9,0,1392,646.6,,
Jefferson,5952,253,582881,1021.1,,
Kiowa,1,0,1406,71.1,,
Kit Carson,81,3,7097,1141.3,,
La Plata,267,2,56221,474.9,,
Lake,99,0,8127,1218.2,,
Larimer,2701,54,356899,756.8,,
Las Animas,25,0,14506,172.3,,
Lincoln,13,0,5701,228.0,,
Logan,921,6,22409,4110.0,,
Mesa,689,7,154210,446.8,,
Mineral,20,0,769,2600.8,,
Moffat,43,1,13283,323.7,,
Montezuma,147,5,26183,561.4,,
Montrose,386,13,42758,902.8,,
Morgan,757,48,29068,2604.2,,
Otero,103,6,18278,563.5,,
Ouray,28,1,4952,565.4,,
Park,59,1,18845,313.1,,
Phillips,33,0,4265,773.7,,
Pitkin,227,2,17767,1277.6,,
Prowers,94,0,12172,772.3,,
Pueblo,1159,37,168424,688.1,,
Rio Blanco,26,0,6324,411.1,,
Rio Grande,96,2,11267,852.0,,
Routt,161,8,25638,628.0,,
Saguache,111,2,6824,1626.6,,
San Juan,6,0,728,824.2,,
San Miguel,94,0,8179,1149.3,,
Sedgwick,15,1,2248,667.3,,
Summit,473,4,31011,1525.3,,
Teller,177,4,25388,697.2,,
Washington,67,0,4908,1365.1,,
Weld,4874,151,324492,1502.0,,
Yuma,129,1,10019,1287.6,,
"Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]","Updated October 2, 2020Data is publicly reported byColorado Department of Public Health and Environment[15][16]"
