date,confirmed,deaths,state
2020-03-08,1,,Connecticut
2020-03-09,2,,Connecticut
2020-03-11,3,,Connecticut
2020-03-12,6,,Connecticut
2020-03-13,11,,Connecticut
2020-03-14,20,,Connecticut
2020-03-15,26,,Connecticut
2020-03-16,41,,Connecticut
2020-03-17,68,,Connecticut
2020-03-18,96,,Connecticut
2020-03-19,159,,Connecticut
2020-03-20,194,,Connecticut
2020-03-21,223,5,Connecticut
2020-03-22,327,8,Connecticut
2020-03-23,415,10,Connecticut
2020-03-24,618,12,Connecticut
2020-03-25,875,19,Connecticut
2020-03-26,"1,012",21,Connecticut
2020-03-27,"1,291",27,Connecticut
2020-03-28,"1,524",33,Connecticut
2020-03-29,"1,993",34,Connecticut
2020-03-30,"2,571",36,Connecticut
2020-03-31,"3,128",69,Connecticut
2020-04-01,"3,557",85,Connecticut
2020-04-02,"3,824",112,Connecticut
2020-04-03,"4,915",132,Connecticut
2020-04-04,"5,276",165,Connecticut
2020-04-05,"5,675",189,Connecticut
2020-04-06,"6,906",206,Connecticut
2020-04-07,"7,781",277,Connecticut
2020-04-08,"8,781",335,Connecticut
2020-04-09,"9,784",380,Connecticut
2020-04-10,"10,538",448,Connecticut
2020-04-11,"11,510",494,Connecticut
2020-04-12,"12,035",554,Connecticut
2020-04-13,"13,381",602,Connecticut
2020-04-14,"13,989",671,Connecticut
2020-04-15,"14,755",868,Connecticut
2020-04-16,"15,884",971,Connecticut
2020-04-17,"16,809","1,036",Connecticut
2020-04-18,"17,550","1,086",Connecticut
2020-04-19,"17,962","1,127",Connecticut
2020-04-20,"19,815","1,331",Connecticut
2020-04-21,"20,360","1,423",Connecticut
2020-04-22,"22,469","1,544",Connecticut
2020-04-23,"23,100","1,639",Connecticut
2020-04-24,"23,921","1,764",Connecticut
2020-04-25,"24,582","1,862",Connecticut
2020-04-26,"25,269","1,924",Connecticut
2020-04-27,"25,997","2,012",Connecticut
2020-04-28,"26,312","2,089",Connecticut
2020-04-29,"26,767","2,168",Connecticut
2020-04-30,"27,700","2,257",Connecticut
2020-05-01,"28,764","2,339",Connecticut
2020-05-02,"29,287","2,436",Connecticut
2020-05-03,"29,973","2,556",Connecticut
2020-05-04,"30,621","2,633",Connecticut
