date,confirmed,deaths,state
2020-03-08,1,,Delaware
2020-03-08,1,,Delaware
2020-03-09,1,,Delaware
2020-03-10,1,,Delaware
2020-03-11,5,,Delaware
2020-03-12,5,,Delaware
2020-03-13,6,,Delaware
2020-03-14,6,,Delaware
2020-03-15,9,,Delaware
2020-03-16,10,,Delaware
2020-03-17,13,,Delaware
2020-03-18,24,,Delaware
2020-03-19,39,,Delaware
2020-03-20,47,,Delaware
2020-03-21,54,,Delaware
2020-03-22,66,,Delaware
2020-03-23,104,,Delaware
2020-03-24,133,1,Delaware
2020-03-25,149,2,Delaware
2020-03-26,171,3,Delaware
2020-03-27,206,5,Delaware
2020-03-28,253,9,Delaware
2020-03-29,298,10,Delaware
2020-03-30,332,11,Delaware
2020-03-31,404,12,Delaware
2020-04-01,438,13,Delaware
2020-04-02,466,16,Delaware
2020-04-03,639,17,Delaware
2020-04-04,697,17,Delaware
2020-04-05,766,19,Delaware
2020-04-06,858,24,Delaware
2020-04-07,"1,084",28,Delaware
2020-04-08,"1,198",32,Delaware
2020-04-09,"1,297",34,Delaware
2020-04-10,"1,452",36,Delaware
2020-04-11,"1,594",43,Delaware
2020-04-12,"1,697",48,Delaware
2020-04-13,"1,839",48,Delaware
2020-04-14,"2,035",60,Delaware
2020-04-15,"2,095",67,Delaware
2020-04-16,"2,207",70,Delaware
2020-04-17,"2,496",76,Delaware
2020-04-18,"2,614",86,Delaware
2020-04-19,"2,819",90,Delaware
2020-04-20,"3,011",99,Delaware
2020-04-21,"3,284",104,Delaware
2020-04-22,"3,414",117,Delaware
2020-04-23,"3,553",131,Delaware
2020-04-24,"3,688",147,Delaware
2020-04-25,"4,144",155,Delaware
2020-04-26,"4,272",168,Delaware
2020-04-27,"4,678",181,Delaware
2020-04-28,"4,803",192,Delaware
2020-04-29,"4,842",204,Delaware
2020-04-30,"5,033",210,Delaware
2020-05-01,"5,157",222,Delaware
2020-05-02,"5,307",235,Delaware
2020-05-03,"5,618",246,Delaware
2020-05-04,"5,835",255,Delaware
2020-05-05,"5,984",266,Delaware
2020-05-06,"6,179",269,Delaware
2020-05-07,"6,357",285,Delaware
2020-05-08,"6,515",297,Delaware
2020-05-09,"6,632",301,Delaware
2020-05-10,"7,131",312,Delaware
2020-05-11,"7,249",324,Delaware
2020-05-12,"7,317",334,Delaware
2020-05-13,"7,380",351,Delaware
2020-05-14,"7,504",362,Delaware
2020-05-15,"7,958",373,Delaware
2020-05-16,"8,093",383,Delaware
2020-05-17,"8,279",392,Delaware
2020-05-18,"8,388",399,Delaware
2020-05-19,"8,464",408,Delaware
2020-05-20,"8,556",414,Delaware
2020-05-21,"8,687",417,Delaware
2020-05-22,"8,792",420,Delaware
2020-05-23,"8,911",420,Delaware
2020-05-24,"9,063",431,Delaware
2020-05-25,"9,153",436,Delaware
2020-05-26,"9,188",444,Delaware
2020-05-27,"9,266",453,Delaware
2020-05-28,"9,337",459,Delaware
2020-05-29,"9,480",463,Delaware
2020-05-30,"9,545",466,Delaware
2020-05-31,"9,670",468,Delaware
2020-06-01,"9,726",471,Delaware
2020-06-02,"9,760",471,Delaware
2020-06-03,"9,801",475,Delaware
2020-06-04,"9,855",483,Delaware
2020-06-05,"9,930",485,Delaware
2020-06-06,"10,006",485,Delaware
2020-06-07,"10,051",488,Delaware
2020-06-08,"10,101",490,Delaware
2020-06-09,"10,136",492,Delaware
2020-06-10,"10,136",493,Delaware
2020-06-11,"10,253",494,Delaware
2020-06-12,"10,307",494,Delaware
2020-06-13,"10,343",495,Delaware
2020-06-14,"10,412",496,Delaware
2020-06-15,"10,461",498,Delaware
2020-06-16,"10,505",499,Delaware
2020-06-17,"10,564",502,Delaware
2020-06-18,"10,600",502,Delaware
2020-06-19,"10,647",504,Delaware
2020-06-20,"10,735",504,Delaware
2020-06-21,"10,779",506,Delaware
2020-06-22,"10,818",506,Delaware
2020-06-23,"10,844",506,Delaware
2020-06-24,"10,939",507,Delaware
2020-06-25,"11,017",507,Delaware
2020-06-26,"11,174",508,Delaware
2020-06-27,"11,307",509,Delaware
2020-06-28,"11,464",510,Delaware
2020-06-29,"11,540",511,Delaware
2020-06-30,"11,579",512,Delaware
2020-07-01,"11,764",512,Delaware
2020-07-02,"11,923",512,Delaware
2020-07-03,"11,991",512,Delaware
2020-07-04,"12,128",512,Delaware
2020-07-05,"12,355",515,Delaware
2020-07-06,"12,438",516,Delaware
2020-07-07,"12,463",517,Delaware
2020-07-08,"12,541",517,Delaware
2020-07-09,"12,652",517,Delaware
,,,Delaware
2020-08-19,"16,643",595,Delaware
2020-08-20,"16,484",604,Delaware
2020-08-21,"16,568",605,Delaware
2020-08-22,"16,659",605,Delaware
2020-08-23,"16,730",605,Delaware
2020-08-24,"16,942",605,Delaware
2020-08-25,"16,877",605,Delaware
2020-08-26,"16,942",605,Delaware
2020-08-27,"17,070",605,Delaware
2020-08-28,"17,176",605,Delaware
2020-08-29,"17,286",605,Delaware
2020-08-30,"17,387",605,Delaware
2020-08-31,"17,484",606,Delaware
2020-09-01,"17,549",606,Delaware
2020-09-02,"17,752",606,Delaware
,,,Delaware
2020-09-05,"18,043",609,Delaware
2020-09-06,"18,248",611,Delaware
2020-09-07,"18,308",609,Delaware
2020-09-08,"18,372",612,Delaware
2020-09-09,"18,466",613,Delaware
,,,Delaware
2020-09-19,"19,566",621,Delaware
,,,Delaware
2020-10-01,"20,937",642,Delaware
2020-10-02,"21,125",645,Delaware
