date,confirmed,deaths,state
2020-03-07,2,0,District_of_Columbia
2020-03-08,2,0,District_of_Columbia
2020-03-09,4,0,District_of_Columbia
2020-03-10,4,0,District_of_Columbia
2020-03-11,10,0,District_of_Columbia
2020-03-12,10,0,District_of_Columbia
2020-03-13,10,0,District_of_Columbia
2020-03-14,16,0,District_of_Columbia
2020-03-15,17,0,District_of_Columbia
2020-03-16,22,0,District_of_Columbia
2020-03-17,31,0,District_of_Columbia
2020-03-18,39,0,District_of_Columbia
2020-03-19,71,0,District_of_Columbia
2020-03-20,77,1,District_of_Columbia
2020-03-21,98,1,District_of_Columbia
2020-03-22,116,2,District_of_Columbia
2020-03-23,137,2,District_of_Columbia
2020-03-24,183,2,District_of_Columbia
2020-03-25,231,3,District_of_Columbia
2020-03-26,267,3,District_of_Columbia
2020-03-27,304,4,District_of_Columbia
2020-03-28,342,5,District_of_Columbia
2020-03-29,401,9,District_of_Columbia
2020-03-30,495,9,District_of_Columbia
2020-03-31,586,11,District_of_Columbia
2020-04-01,653,12,District_of_Columbia
2020-04-02,757,15,District_of_Columbia
2020-04-03,902,21,District_of_Columbia
2020-04-04,998,22,District_of_Columbia
2020-04-05,"1,097",22,District_of_Columbia
2020-04-06,"1,211",22,District_of_Columbia
2020-04-07,"1,440",27,District_of_Columbia
2020-04-08,"1,523",32,District_of_Columbia
2020-04-09,"1,660",38,District_of_Columbia
2020-04-10,"1,778",47,District_of_Columbia
2020-04-11,"1,875",50,District_of_Columbia
2020-04-12,"1,955",52,District_of_Columbia
2020-04-13,"2,058",67,District_of_Columbia
2020-04-14,"2,197",72,District_of_Columbia
2020-04-15,"2,350",81,District_of_Columbia
2020-04-16,"2,476",86,District_of_Columbia
2020-04-17,"2,666",91,District_of_Columbia
2020-04-18,"2,793",96,District_of_Columbia
2020-04-19,"2,927",105,District_of_Columbia
2020-04-20,"3,098",112,District_of_Columbia
2020-04-21,"3,206",127,District_of_Columbia
2020-04-22,"3,361",139,District_of_Columbia
2020-04-23,"3,528",153,District_of_Columbia
2020-04-24,"3,699",165,District_of_Columbia
2020-04-25,"3,841",178,District_of_Columbia
2020-04-26,"3,892",185,District_of_Columbia
2020-04-27,"3,994",190,District_of_Columbia
2020-04-28,"4,106",205,District_of_Columbia
2020-04-29,"4,323",224,District_of_Columbia
2020-04-30,"4,658",231,District_of_Columbia
2020-05-01,"4,797",240,District_of_Columbia
2020-05-02,"5,016",251,District_of_Columbia
2020-05-03,"5,170",258,District_of_Columbia
