date,confirmed,deaths,state
2020-03-01,2,,Florida
2020-03-02,2,0,Florida
2020-03-03,3,0,Florida
2020-03-04,8,0,Florida
2020-03-07,17,2,Florida
2020-03-08,18,2,Florida
2020-03-09,19,2,Florida
2020-03-10,28,2,Florida
2020-03-11,31,2,Florida
2020-03-12,49,2,Florida
2020-03-13,77,3,Florida
2020-03-14,115,4,Florida
2020-03-15,149,4,Florida
2020-03-16,160,5,Florida
2020-03-17,216,7,Florida
2020-03-18,328,8,Florida
2020-03-19,432,9,Florida
2020-03-20,563,11,Florida
2020-03-21,763,12,Florida
2020-03-22,"1,007",13,Florida
2020-03-23,"1,227",18,Florida
2020-03-24,"1,467",20,Florida
2020-03-25,"1,977",23,Florida
2020-03-26,"2,484",29,Florida
2020-03-27,"3,198",46,Florida
2020-03-28,"4,038",56,Florida
2020-03-29,"4,950",60,Florida
2020-03-30,"5,704",71,Florida
2020-03-31,"6,741",85,Florida
2020-04-01,"7,773",101,Florida
2020-04-02,"9,008",144,Florida
2020-04-03,"10,268",170,Florida
2020-04-04,"11,545",195,Florida
2020-04-05,"12,350",221,Florida
2020-04-06,"13,629",254,Florida
2020-04-07,"14,747",296,Florida
2020-04-08,"15,698",323,Florida
2020-04-09,"16,826",371,Florida
2020-04-10,"17,968",419,Florida
2020-04-11,"18,986",446,Florida
2020-04-12,"19,895",461,Florida
2020-04-13,"21,019",499,Florida
2020-04-14,"21,628",571,Florida
2020-04-15,"22,519",591,Florida
2020-04-16,"23,340",668,Florida
2020-04-17,"24,753",726,Florida
2020-04-18,"25,492",748,Florida
2020-04-19,"26,314",774,Florida
2020-04-20,"27,058",823,Florida
2020-04-21,"27,869",867,Florida
2020-04-22,"28,576",927,Florida
2020-04-23,"29,648",987,Florida
2020-04-24,"30,533","1,046",Florida
2020-04-25,"30,839","1,055",Florida
2020-04-26,"31,528","1,074",Florida
2020-04-27,"32,138","1,088",Florida
2020-04-28,"32,846","1,171",Florida
2020-04-29,"33,193","1,218",Florida
2020-04-30,"33,690","1,268",Florida
2020-05-01,"34,728","1,314",Florida
2020-05-02,"35,463","1,364",Florida
2020-05-03,"36,078","1,379",Florida
2020-05-04,"36,897","1,399",Florida
2020-05-05,"37,439","1,471",Florida
2020-05-06,"38,002","1,539",Florida
2020-05-07,"38,828","1,600",Florida
2020-05-08,"39,199","1,669",Florida
2020-05-09,"40,001","1,715",Florida
2020-05-10,"40,596","1,721",Florida
2020-05-11,"40,982","1,735",Florida
2020-05-12,"41,923","1,779",Florida
2020-05-13,"42,402","1,827",Florida
2020-05-14,"43,210","1,875",Florida
2020-05-15,"44,138","1,917",Florida
2020-05-16,"44,811","1,964",Florida
2020-05-17,"45,588","1,973",Florida
2020-05-18,"46,442","1,997",Florida
2020-05-19,"46,944","2,052",Florida
2020-05-20,"47,471","2,096",Florida
2020-05-21,"48,675","2,144",Florida
2020-05-22,"49,451","2,190",Florida
2020-05-23,"50,127","2,233",Florida
2020-05-24,"50,867","2,237",Florida
2020-05-25,"51,746","2,252",Florida
2020-05-26,"52,255","2,259",Florida
2020-05-27,"52,634","2,319",Florida
2020-05-28,"53,285","2,364",Florida
2020-05-29,"54,497","2,413",Florida
2020-05-30,"55,424","2,447",Florida
2020-05-31,"56,163","2,451",Florida
2020-06-01,"56,830","2,460",Florida
2020-06-02,"57,447","2,530",Florida
2020-06-03,"58,764","2,566",Florida
2020-06-04,"60,183","2,607",Florida
2020-06-05,"61,488","2,660",Florida
2020-06-06,"62,758","2,688",Florida
2020-06-07,"63,938","2,700",Florida
2020-06-08,"64,904","2,712",Florida
2020-06-09,"66,000","2,765",Florida
2020-06-10,"67,371","2,801",Florida
2020-06-11,"69,069","2,848",Florida
2020-06-12,"70,971","2,877",Florida
2020-06-13,"73,552","2,925",Florida
2020-06-14,"75,568","2,931",Florida
2020-06-15,"77,326","2,938",Florida
2020-06-16,"80,109","2,993",Florida
2020-06-17,"82,719","3,018",Florida
2020-06-18,"85,926","3,061",Florida
2020-06-19,"89,748","3,104",Florida
2020-06-20,"93,797","3,144",Florida
2020-06-21,"97,291","3,161",Florida
2020-06-22,"100,217","3,173",Florida
2020-06-23,"103,503","3,238",Florida
2020-06-24,"109,014","3,281",Florida
2020-06-25,"114,018","3,327",Florida
2020-06-26,"122,960","3,366",Florida
2020-06-27,"132,545","3,390",Florida
2020-06-28,"141,075","3,419",Florida
2020-06-29,"146,341","3,447",Florida
2020-06-30,"152,434","3,505",Florida
2020-07-01,"158,997","3,550",Florida
2020-07-02,"169,106","3,617",Florida
2020-07-03,"178,594","3,684",Florida
2020-07-04,"190,052","3,702",Florida
2020-07-05,"200,111","3,731",Florida
2020-07-06,"206,447","3,778",Florida
2020-07-07,"213,794","3,841",Florida
2020-07-08,"223,783","3,889",Florida
2020-07-09,"232,718","4,009",Florida
2020-07-10,"244,151","4,102",Florida
2020-07-11,"254,511","4,197",Florida
2020-07-12,"269,811","4,242",Florida
2020-07-13,"282,435","4,277",Florida
2020-07-14,"291,629","4,409",Florida
2020-07-15,"301,810","4,521",Florida
2020-07-16,"315,775","4,677",Florida
2020-07-17,"327,241","4,805",Florida
2020-07-18,"337,568","4,895",Florida
2020-07-19,"350,047","4,982",Florida
2020-07-20,"360,394","5,072",Florida
2020-07-21,"369,834","5,206",Florida
2020-07-22,"379,619","5,345",Florida
2020-07-23,"389,868","5,518",Florida
2020-07-24,"402,312","5,653",Florida
2020-07-25,"414,511","5,777",Florida
2020-07-26,"423,855","5,854",Florida
2020-07-27,"432,747","5,931",Florida
2020-07-28,"441,977","6,117",Florida
2020-07-29,"451,423","6,333",Florida
2020-07-30,"461,379","6,586",Florida
2020-07-31,"470,386","6,843",Florida
2020-08-01,"480,028","7,022",Florida
2020-08-02,"487,132","7,084",Florida
2020-08-03,"491,884","7,157",Florida
2020-08-04,"497,330","7,402",Florida
2020-08-05,"502,739","7,627",Florida
2020-08-06,"510,389","7,747",Florida
2020-08-07,"518,075","7,927",Florida
2020-08-08,"526,577","8,109",Florida
2020-08-09,"532,806","8,186",Florida
2020-08-10,"536,961","8,277",Florida
2020-08-11,"542,972","8,553",Florida
2020-08-12,"550,901","8,765",Florida
2020-08-13,"557,137","8,913",Florida
2020-08-14,"563,285","9,141",Florida
2020-08-15,"569,637","9,345",Florida
2020-08-16,"573,416","9,452",Florida
2020-08-17,"576,094","9,539",Florida
2020-08-18,"579,932","9,758",Florida
2020-08-19,"584,047","9,932",Florida
2020-08-20,"588,602","10,049",Florida
2020-08-21,"593,286","10,168",Florida
2020-08-22,"597,597","10,274",Florida
2020-08-23,"600,571","10,325",Florida
2020-08-24,"602,829","10,397",Florida
2020-08-25,"605,502","10,580",Florida
2020-08-26,"608,722","10,733",Florida
2020-08-27,"611,991","10,868",Florida
2020-08-28,"615,806","10,957",Florida
2020-08-29,"619,003","11,105",Florida
2020-08-30,"621,596","11,119",Florida
2020-08-31,"623,471","11,187",Florida
2020-09-01,"631,040","11,374",Florida
2020-09-02,"633,442","11,501",Florida
2020-09-03,"637,013","11,650",Florida
2020-09-04,"640,211","11,750",Florida
2020-09-05,"643,867","11,811",Florida
2020-09-06,"646,432","11,849",Florida
2020-09-07,"648,269","11,871",Florida
2020-09-08,"650,092","11,915",Florida
2020-09-09,"652,148","12,115",Florida
2020-09-10,"654,731","12,326",Florida
2020-09-11,"658,381","12,502",Florida
2020-09-12,"661,571","12,600",Florida
2020-09-13,"663,994","12,608",Florida
2020-09-14,"665,730","12,642",Florida
2020-09-15,"668,846","12,787",Florida
2020-09-16,"671,202","12,939",Florida
2020-09-17,"674,456","13,086",Florida
2020-09-18,"677,660","13,225",Florida
2020-09-19,"681,223","13,287",Florida
2020-09-20,"683,754","13,296",Florida
2020-09-21,"685,439","13,317",Florida
2020-09-22,"687,909","13,416",Florida
2020-09-23,"690,499","13,618",Florida
2020-09-24,"693,040","13,795",Florida
2020-09-25,"695,887","13,915",Florida
2020-09-26,"698,682","14,022",Florida
2020-09-27,"700,564","14,032",Florida
2020-09-28,"701,302","14,037",Florida
