County[a],Cases,Hosp.,Deaths,Population[b],Cases / 100k,Deaths / 100k,CFR,Notes
Residents,"690,387","43,469","14,022","20,598,139","3,351.6",68,2%,Unnamed: 8_level_1
Non-residents,"8,295",n/a,168,n/a,n/a,n/a,2%,Unnamed: 8_level_2
Total,"698,682",n/a,"14,190",n/a,n/a,n/a,2%,Unnamed: 8_level_3
Alachua,7985,404,55,263148,3034.4,20.9,0.6%,
Baker,"1,466[c]",67,12,27785,5276.2,43.1,0.8%,
Bay,5936,345,104,182482,3252.9,56.9,1.7%,
Bradford,1089,71,8,26979,4036.4,29.6,0.7%,
Brevard,8773,791,293,576808,1520.9,50.7,3.3%,
Broward,76049,5778,1379,1909151,3983.3,72.2,1.8%,
Calhoun,613[d],33,11,14750,4155.9,74.5,1.7%,
Charlotte,"3,022[e]",381,135,160511,1882.7,84.1,4.4%,
Citrus,"2,729[f]",285,102,140031,1948.8,72.8,3.7%,
Clay,4986,354,100,192370,2591.8,51.9,2%,
Collier,12539,907,216,328134,3821.3,65.8,1.7%,
Columbia,"3,761[g]",206,54,67485,5573,80,1.4%,
DeSoto,1558,120,25,36399,4280.3,68.6,1.6%,
Dixie,830[h],51,7,16437,5049.5,42.5,0.8%,
Duval,29779,1090,378,924229,3222,40.8,1.2%,
Escambia,11117,812,228,311522,3568.6,73.1,2%,
Flagler,1708,140,23,107139,1594.1,21.4,1.3%,
Franklin,609[i],8,3,11736,5189.1,25.5,0.4%,
Gadsden,2781,210,46,46017,6043.4,99.9,1.6%,
Gilchrist,510,38,12,17615,2895.2,68.1,2.3%,
Glades,538[j],46,4,13363,4026,29.9,0.7%,
Gulf,865[k],53,14,16055,5387.7,87.2,1.6%,
Hamilton,843[l],31,8,14269,5907.9,56,0.9%,
Hardee,1347,125,11,27228,4947.1,40.3,0.8%,
Hendry,2067,190,42,40127,5151.1,104.6,2%,
Hernando,3102,396,120,182696,1697.9,65.6,3.8%,
Highlands,2137,227,86,102101,2093,84.2,4%,
Hillsborough,41514,1838,628,1378883,3010.6,45.5,1.5%,
Holmes,738,28,7,19430,3798.2,36,0.9%,
