date,confirmed,deaths,state
2020-03-15,3,0,Guam
2020-03-16,3,0,Guam
2020-03-17,5,0,Guam
2020-03-18,8,0,Guam
2020-03-19,12,0,Guam
2020-03-20,14,0,Guam
2020-03-21,15,0,Guam
2020-03-22,27,1,Guam
2020-03-23,29,1,Guam
2020-03-24,32,1,Guam
2020-03-25,37,1,Guam
2020-03-26,45,1,Guam
2020-03-27,51,1,Guam
2020-03-28,55,1,Guam
2020-03-29,56,1,Guam
2020-03-30,58,1,Guam
2020-03-31,69,2,Guam
2020-04-01,77,3,Guam
2020-04-02,82,3,Guam
2020-04-03,84,3,Guam
2020-04-04,93,4,Guam
2020-04-05,112,4,Guam
2020-04-06,113,4,Guam
2020-04-07,121,4,Guam
2020-04-08,125,4,Guam
2020-04-09,128,4,Guam
2020-04-10,130,4,Guam
2020-04-11,133,5,Guam
2020-04-12,133,5,Guam
2020-04-13,134,5,Guam
2020-04-14,135,5,Guam
2020-04-15,135,5,Guam
2020-04-16,135,5,Guam
2020-04-17,135,5,Guam
2020-04-18,136,5,Guam
2020-04-19,136,5,Guam
2020-04-20,136,5,Guam
2020-04-21,136,5,Guam
2020-04-22,136,5,Guam
2020-04-23,138,5,Guam
2020-04-24,140,5,Guam
2020-04-25,141,5,Guam
2020-04-26,141,5,Guam
2020-04-27,142,5,Guam
2020-04-28,144,5,Guam
2020-04-29,145,5,Guam
2020-04-30,145,5,Guam
2020-05-01,146,5,Guam
2020-05-02,146,5,Guam
2020-05-03,148,5,Guam
2020-05-04,149,5,Guam
2020-05-05,149,5,Guam
2020-05-06,149,5,Guam
2020-05-07,151,5,Guam
2020-05-08,151,5,Guam
2020-05-09,151,5,Guam
2020-05-10,151,5,Guam
2020-05-11,151,5,Guam
2020-05-12,152,5,Guam
2020-05-13,152,5,Guam
2020-05-14,152,5,Guam
2020-05-15,154,5,Guam
2020-05-16,154,5,Guam
2020-05-17,154,5,Guam
2020-05-18,154,5,Guam
2020-05-19,154,5,Guam
2020-05-20,154,5,Guam
2020-05-21,165,5,Guam
2020-05-22,165,5,Guam
2020-05-23,165,5,Guam
2020-05-24,166,5,Guam
2020-05-25,166,5,Guam
2020-05-26,167,5,Guam
2020-05-27,170,5,Guam
2020-05-28,171,5,Guam
2020-05-29,171,5,Guam
2020-05-30,172,5,Guam
2020-06-01,175,5,Guam
2020-06-02,175,5,Guam
2020-06-03,177,5,Guam
2020-06-04,179,5,Guam
2020-06-05,179,5,Guam
2020-06-06,179,5,Guam
2020-06-07,179,5,Guam
2020-06-08,179,5,Guam
2020-06-09,180,5,Guam
2020-06-10,180,5,Guam
2020-06-11,183,5,Guam
2020-06-12,183,5,Guam
2020-06-14,183,5,Guam
2020-06-15,185,5,Guam
2020-06-16,186,5,Guam
2020-06-17,188,5,Guam
2020-06-18,192,5,Guam
2020-06-19,200,5,Guam
2020-06-20,222,5,Guam
2020-06-21,222,5,Guam
2020-06-22,222,5,Guam
2020-06-23,225,5,Guam
2020-06-24,226,5,Guam
2020-06-25,231,5,Guam
2020-06-26,247,5,Guam
2020-06-27,247,5,Guam
2020-06-28,247,5,Guam
2020-06-29,253,5,Guam
2020-06-30,257,5,Guam
2020-07-01,267,5,Guam
2020-07-02,280,5,Guam
2020-07-03,290,5,Guam
2020-07-04,301,5,Guam
2020-07-05,303,5,Guam
2020-07-06,307,5,Guam
2020-07-07,309,5,Guam
2020-07-08,310,5,Guam
2020-07-09,312,5,Guam
2020-07-10,312,5,Guam
2020-07-11,312,5,Guam
2020-07-12,313,5,Guam
2020-07-13,313,5,Guam
2020-07-14,314,5,Guam
2020-07-15,314,5,Guam
2020-07-16,317,5,Guam
2020-07-17,318,5,Guam
2020-07-18,319,5,Guam
2020-07-19,330,5,Guam
2020-07-20,331,5,Guam
2020-07-21,333,5,Guam
2020-07-22,338,5,Guam
2020-07-23,338,5,Guam
2020-07-24,343,5,Guam
2020-07-25,346,5,Guam
2020-07-26,349,5,Guam
2020-07-27,351,5,Guam
2020-07-28,354,5,Guam
2020-07-29,356,5,Guam
2020-07-30,362,5,Guam
2020-07-31,368,5,Guam
2020-08-01,368,5,Guam
2020-08-02,375,5,Guam
2020-08-03,389,5,Guam
2020-08-04,397,5,Guam
2020-08-05,411,5,Guam
2020-08-06,412,5,Guam
2020-08-07,414,5,Guam
2020-08-08,419,5,Guam
2020-08-09,434,5,Guam
2020-08-10,451,5,Guam
2020-08-11,492,5,Guam
2020-08-12,503,5,Guam
2020-08-13,529,5,Guam
2020-08-14,549,5,Guam
2020-08-15,559,5,Guam
2020-08-16,596,5,Guam
2020-08-17,649,5,Guam
2020-08-18,703,5,Guam
2020-08-19,770,6,Guam
2020-08-20,836,7,Guam
2020-08-21,876,7,Guam
2020-08-22,907,7,Guam
2020-08-23,983,7,Guam
2020-08-24,"1,120",7,Guam
2020-08-25,"1,232",9,Guam
2020-08-26,"1,287",10,Guam
2020-08-27,"1,287",10,Guam
2020-08-28,"1,287",10,Guam
2020-08-29,"1,287",10,Guam
2020-08-30,"1,400",10,Guam
2020-08-31,"1,500",10,Guam
2020-09-01,"1,500",13,Guam
2020-09-02,"1,600",13,Guam
2020-09-03,"1,700",15,Guam
2020-09-04,"1,700",15,Guam
2020-09-05,"1,700",16,Guam
2020-09-06,"1,700",18,Guam
2020-09-07,"1,800",19,Guam
2020-09-08,"1,800",20,Guam
2020-09-09,"1,900",22,Guam
