date,confirmed,deaths,state
2020-03-06,1,0,Hawaii
2020-03-07,1,0,Hawaii
2020-03-08,2,0,Hawaii
,2,,Hawaii
2020-03-14,4,0,Hawaii
2020-03-15,7,0,Hawaii
2020-03-16,10,0,Hawaii
2020-03-17,14,0,Hawaii
2020-03-18,16,0,Hawaii
2020-03-19,26,0,Hawaii
2020-03-20,37,0,Hawaii
2020-03-21,48,0,Hawaii
2020-03-22,56,0,Hawaii
2020-03-23,77,0,Hawaii
2020-03-24,90,0,Hawaii
2020-03-25,95,0,Hawaii
2020-03-26,106,0,Hawaii
2020-03-27,120,0,Hawaii
2020-03-28,151,0,Hawaii
2020-03-29,175,0,Hawaii
2020-03-30,204,0,Hawaii
2020-03-31,224,1,Hawaii
2020-04-01,258,1,Hawaii
2020-04-02,285,2,Hawaii
2020-04-03,319,3,Hawaii
2020-04-04,351,3,Hawaii
2020-04-05,371,4,Hawaii
2020-04-06,387,5,Hawaii
2020-04-07,410,5,Hawaii
2020-04-08,435,5,Hawaii
2020-04-09,442,6,Hawaii
2020-04-10,464,7,Hawaii
2020-04-11,486,8,Hawaii
2020-04-12,499,9,Hawaii
2020-04-13,504,9,Hawaii
2020-04-14,517,9,Hawaii
2020-04-15,530,9,Hawaii
2020-04-16,541,9,Hawaii
2020-04-17,553,9,Hawaii
2020-04-18,574,9,Hawaii
2020-04-19,580,17,Hawaii
2020-04-20,584,17,Hawaii
2020-04-21,586,17,Hawaii
2020-04-22,592,17,Hawaii
2020-04-23,596,17,Hawaii
2020-04-24,601,17,Hawaii
2020-04-25,604,17,Hawaii
2020-04-26,606,17,Hawaii
2020-04-27,607,17,Hawaii
2020-04-28,609,17,Hawaii
2020-04-29,613,17,Hawaii
2020-04-30,618,17,Hawaii
2020-05-01,619,17,Hawaii
2020-05-02,620,17,Hawaii
2020-05-03,620,17,Hawaii
2020-05-04,621,17,Hawaii
2020-05-05,625,17,Hawaii
2020-05-06,626,17,Hawaii
2020-05-07,629,17,Hawaii
2020-05-08,629,17,Hawaii
2020-05-09,631,17,Hawaii
2020-05-10,632,17,Hawaii
2020-05-11,634,17,Hawaii
2020-05-12,635,17,Hawaii
2020-05-13,638,17,Hawaii
2020-05-14,637,17,Hawaii
2020-05-15,638,17,Hawaii
2020-05-16,638,17,Hawaii
2020-05-17,640,17,Hawaii
2020-05-18,640,17,Hawaii
2020-05-19,641,17,Hawaii
2020-05-20,643,17,Hawaii
2020-05-21,647,17,Hawaii
2020-05-22,642,17,Hawaii
2020-05-23,643,17,Hawaii
