date,confirmed,deaths,state
2020-03-13,1,,Idaho
2020-03-14,5,,Idaho
2020-03-16,5,,Idaho
2020-03-17,9,,Idaho
2020-03-18,11,,Idaho
2020-03-19,23,,Idaho
2020-03-20,31,,Idaho
2020-03-21,42,,Idaho
2020-03-22,47,,Idaho
2020-03-23,50,,Idaho
2020-03-24,73,,Idaho
2020-03-25,123,,Idaho
2020-03-26,189,3,Idaho
2020-03-27,230,4,Idaho
2020-03-28,261,5,Idaho
2020-03-29,310,6,Idaho
2020-03-30,415,7,Idaho
2020-03-31,525,9,Idaho
2020-04-01,669,9,Idaho
2020-04-02,891,9,Idaho
2020-04-03,"1,013",10,Idaho
2020-04-04,"1,077",10,Idaho
2020-04-05,"1,101",10,Idaho
2020-04-06,"1,170",13,Idaho
2020-04-07,"1,210",15,Idaho
2020-04-08,"1,232",15,Idaho
2020-04-09,"1,353",24,Idaho
2020-04-10,"1,396",25,Idaho
2020-04-11,"1,407",27,Idaho
2020-04-12,"1,426",27,Idaho
2020-04-13,"1,453",33,Idaho
2020-04-14,"1,464",39,Idaho
2020-04-15,"1,507",41,Idaho
2020-04-16,"1,528",41,Idaho
2020-04-17,"1,566",43,Idaho
2020-04-18,"1,668",44,Idaho
2020-04-19,"1,672",45,Idaho
2020-04-20,"1,736",48,Idaho
2020-04-21,"1,766",51,Idaho
2020-04-22,"1,802",54,Idaho
2020-04-23,"1,836",54,Idaho
2020-04-24,"1,870",54,Idaho
2020-04-25,"1,887",56,Idaho
2020-04-26,"1,897",56,Idaho
2020-04-27,"1,917",58,Idaho
2020-04-28,"1,952",60,Idaho
2020-04-29,"1,984",60,Idaho
2020-04-30,"2,015",63,Idaho
2020-05-01,"2,035",63,Idaho
2020-05-02,"2,061",64,Idaho
2020-05-03,"2,106",64,Idaho
2020-05-04,"2,127",65,Idaho
2020-05-05,"2,158",66,Idaho
2020-05-06,"2,178",67,Idaho
2020-05-07,"2,205",67,Idaho
2020-05-08,"2,205",67,Idaho
2020-05-09,"2,230",67,Idaho
2020-05-10,"2,246",68,Idaho
2020-05-11,"2,260",70,Idaho
2020-05-12,"2,293",69,Idaho
2020-05-13,"2,324",69,Idaho
2020-05-14,"2,351",72,Idaho
2020-05-15,"2,389",73,Idaho
2020-05-16,"2,419",73,Idaho
2020-05-17,"2,436",73,Idaho
2020-05-18,"2,455",74,Idaho
