date,confirmed,deaths,state
2020-01-24,1,,Illinois
2020-01-30,2,,Illinois
2020-02-29,3,,Illinois
2020-03-02,4,,Illinois
2020-03-05,5,,Illinois
2020-03-06,6,,Illinois
2020-03-08,7,,Illinois
2020-03-09,11,,Illinois
2020-03-10,19,,Illinois
2020-03-11,25,,Illinois
2020-03-12,32,,Illinois
2020-03-13,46,,Illinois
2020-03-14,64,,Illinois
2020-03-15,93,,Illinois
2020-03-16,105,,Illinois
2020-03-17,160,1,Illinois
2020-03-18,288,1,Illinois
2020-03-19,422,4,Illinois
2020-03-20,585,5,Illinois
2020-03-21,753,6,Illinois
2020-03-22,"1,049",9,Illinois
2020-03-23,"1,285",12,Illinois
2020-03-24,"1,535",16,Illinois
2020-03-25,"1,865",19,Illinois
2020-03-26,"2,538",26,Illinois
2020-03-27,"3,024",34,Illinois
2020-03-28,"3,491",47,Illinois
2020-03-29,"4,596",65,Illinois
2020-03-30,"5,057",73,Illinois
2020-03-31,"5,994",99,Illinois
2020-04-01,"6,980",141,Illinois
2020-04-02,"7,695",157,Illinois
2020-04-03,"8,904",210,Illinois
2020-04-04,"10,357",243,Illinois
2020-04-05,"11,256",274,Illinois
2020-04-06,"12,262",307,Illinois
2020-04-07,"13,549",380,Illinois
2020-04-08,"15,078",462,Illinois
2020-04-09,"16,422",528,Illinois
2020-04-10,"17,887",596,Illinois
2020-04-11,"19,180",677,Illinois
2020-04-12,"20,852",720,Illinois
2020-04-13,"22,025",794,Illinois
2020-04-14,"23,247",868,Illinois
2020-04-15,"24,593",948,Illinois
2020-04-16,"25,733","1,072",Illinois
2020-04-17,"27,575","1,134",Illinois
2020-04-18,"29,160","1,259",Illinois
2020-04-19,"30,357","1,290",Illinois
2020-04-20,"31,508","1,349",Illinois
2020-04-21,"33,059","1,468",Illinois
2020-04-22,"35,108","1,565",Illinois
2020-04-23,"36,934","1,688",Illinois
2020-04-24,"39,658","1,795",Illinois
2020-04-25,"41,777","1,874",Illinois
2020-04-26,"43,903","1,933",Illinois
2020-04-27,"45,883","1,983",Illinois
2020-04-28,"48,102","2,125",Illinois
2020-04-29,"50,355","2,215",Illinois
2020-04-30,"52,918","2,355",Illinois
2020-05-01,"56,055","2,457",Illinois
2020-05-02,"58,505","2,559",Illinois
2020-05-03,"61,499","2,618",Illinois
2020-05-04,"63,840","2,662",Illinois
2020-05-05,"65,962","2,838",Illinois
2020-05-06,"68,232","2,974",Illinois
2020-05-07,"70,873","3,111",Illinois
2020-05-08,"73,760","3,241",Illinois
2020-05-09,"76,085","3,349",Illinois
2020-05-10,"77,741","3,406",Illinois
2020-05-11,"79,007","3,459",Illinois
2020-05-12,"83,021","3,601",Illinois
2020-05-13,"84,698","3,792",Illinois
2020-05-14,"87,937","3,928",Illinois
2020-05-15,"90,369","4,058",Illinois
2020-05-16,"92,457","4,129",Illinois
2020-05-17,"94,191","4,177",Illinois
2020-05-18,"96,485","4,234",Illinois
2020-05-19,"98,030","4,379",Illinois
2020-05-20,"100,418","4,525",Illinois
2020-05-21,"102,686","4,607",Illinois
2020-05-22,"105,444","4,715",Illinois
2020-05-23,"107,796","4,790",Illinois
2020-05-24,"110,304","4,856",Illinois
2020-05-25,"112,017","4,884",Illinois
2020-05-26,"113,195","4,923",Illinois
2020-05-27,"114,306","5,083",Illinois
2020-05-28,"115,833","5,186",Illinois
2020-05-29,"117,445","5,270",Illinois
2020-05-30,"118,907","5,330",Illinois
2020-05-31,"120,260","5,390",Illinois
2020-06-01,"121,234","5,412",Illinois
2020-06-02,"122,848","5,525",Illinois
2020-06-03,"123,830","5,621",Illinois
2020-06-04,"124,759","5,736",Illinois
2020-06-05,"125,915","5,796",Illinois
2020-06-06,"126,890","5,864",Illinois
2020-06-07,"127,757","5,904",Illinois
2020-06-08,"128,415","5,924",Illinois
2020-06-09,"129,212","6,018",Illinois
2020-06-10,"129,837","6,095",Illinois
2020-06-11,"130,603","6,185",Illinois
2020-06-12,"131,198","6,260",Illinois
2020-06-13,"131,871","6,289",Illinois
2020-06-14,"132,543","6,308",Illinois
2020-06-15,"133,016","6,326",Illinois
2020-06-16,"133,639","6,398",Illinois
2020-06-17,"134,185","6,487",Illinois
2020-06-18,"134,778","6,537",Illinois
