date,confirmed,deaths,state
2020-03-01,0,0,Iowa
2020-03-02,0,0,Iowa
2020-03-03,0,0,Iowa
2020-03-04,0,0,Iowa
2020-03-05,0,0,Iowa
2020-03-06,0,0,Iowa
2020-03-07,0,0,Iowa
2020-03-08,0,0,Iowa
2020-03-09,7,0,Iowa
2020-03-10,12,0,Iowa
2020-03-11,14,0,Iowa
2020-03-12,17,0,Iowa
2020-03-13,18,0,Iowa
2020-03-14,19,0,Iowa
2020-03-15,23,0,Iowa
2020-03-16,26,0,Iowa
2020-03-17,33,0,Iowa
2020-03-18,46,0,Iowa
2020-03-19,61,0,Iowa
2020-03-20,93,0,Iowa
2020-03-21,120,0,Iowa
2020-03-22,148,0,Iowa
2020-03-23,176,0,Iowa
2020-03-24,211,1,Iowa
2020-03-25,268,1,Iowa
2020-03-26,330,2,Iowa
2020-03-27,410,3,Iowa
2020-03-28,483,4,Iowa
2020-03-29,575,5,Iowa
2020-03-30,633,6,Iowa
2020-03-31,702,10,Iowa
2020-04-01,789,12,Iowa
2020-04-02,926,13,Iowa
2020-04-03,1019,18,Iowa
2020-04-04,1169,21,Iowa
2020-04-05,1190,26,Iowa
2020-04-06,1333,26,Iowa
2020-04-07,1473,28,Iowa
2020-04-08,1607,31,Iowa
2020-04-09,1750,36,Iowa
2020-04-10,1902,39,Iowa
2020-04-11,2088,43,Iowa
2020-04-12,2299,47,Iowa
2020-04-13,2386,53,Iowa
2020-04-14,2473,56,Iowa
2020-04-15,2751,62,Iowa
2020-04-16,2912,67,Iowa
2020-04-17,3382,75,Iowa
2020-04-18,3706,80,Iowa
2020-04-19,4204,88,Iowa
2020-04-20,4311,95,Iowa
2020-04-21,4487,101,Iowa
2020-04-22,5076,108,Iowa
2020-04-23,5812,118,Iowa
2020-04-24,6290,123,Iowa
2020-04-25,6744,129,Iowa
2020-04-26,7348,137,Iowa
2020-04-27,8028,147,Iowa
2020-04-28,8356,159,Iowa
2020-04-29,9167,172,Iowa
2020-04-30,9705,181,Iowa
2020-05-01,10330,192,Iowa
2020-05-02,10851,197,Iowa
2020-05-03,11299,212,Iowa
2020-05-04,11640,229,Iowa
2020-05-05,11987,239,Iowa
2020-05-06,12404,248,Iowa
2020-05-07,12881,261,Iowa
2020-05-08,13098,272,Iowa
2020-05-09,13441,285,Iowa
2020-05-10,13906,303,Iowa
2020-05-11,14449,318,Iowa
2020-05-12,14883,331,Iowa
2020-05-13,15283,345,Iowa
2020-05-14,15741,362,Iowa
2020-05-15,16027,368,Iowa
2020-05-16,16384,379,Iowa
2020-05-17,16690,390,Iowa
2020-05-18,16988,406,Iowa
2020-05-19,17248,424,Iowa
2020-05-20,17681,436,Iowa
2020-05-21,18138,446,Iowa
2020-05-22,18685,465,Iowa
2020-05-23,19009,473,Iowa
2020-05-24,19436,492,Iowa
2020-05-25,19630,502,Iowa
2020-05-26,20443,515,Iowa
2020-05-27,20703,529,Iowa
2020-05-28,20972,540,Iowa
2020-05-29,21320,552,Iowa
2020-05-30,21720,557,Iowa
2020-05-31,22022,568,Iowa
2020-06-01,22386,578,Iowa
2020-06-02,22698,589,Iowa
2020-06-03,22955,599,Iowa
2020-06-04,23416,607,Iowa
2020-06-05,23822,617,Iowa
2020-06-06,23972,625,Iowa
2020-06-07,24350,632,Iowa
2020-06-08,24696,640,Iowa
2020-06-09,25062,644,Iowa
2020-06-10,25355,651,Iowa
2020-06-11,25737,653,Iowa
2020-06-12,26109,658,Iowa
2020-06-13,26448,663,Iowa
2020-06-14,26629,668,Iowa
2020-06-15,26779,676,Iowa
2020-06-16,26953,680,Iowa
2020-06-17,27349,683,Iowa
2020-06-18,27707,686,Iowa
2020-06-19,28207,692,Iowa
2020-06-20,28429,696,Iowa
2020-06-21,28838,696,Iowa
2020-06-22,29097,698,Iowa
2020-06-23,29374,702,Iowa
2020-06-24,29827,702,Iowa
2020-06-25,30355,706,Iowa
2020-06-26,30813,714,Iowa
2020-06-27,31308,716,Iowa
2020-06-28,31606,720,Iowa
2020-06-29,31947,720,Iowa
2020-06-30,32234,721,Iowa
2020-07-01,32736,724,Iowa
2020-07-02,33240,727,Iowa
2020-07-03,33854,736,Iowa
2020-07-04,34379,737,Iowa
2020-07-05,34691,740,Iowa
2020-07-06,34832,744,Iowa
2020-07-07,35266,748,Iowa
2020-07-08,35888,752,Iowa
2020-07-09,36544,754,Iowa
2020-07-10,37345,759,Iowa
2020-07-11,37962,765,Iowa
2020-07-12,38332,771,Iowa
2020-07-13,38518,778,Iowa
2020-07-14,38948,783,Iowa
2020-07-15,39482,789,Iowa
2020-07-16,40201,794,Iowa
2020-07-17,40736,800,Iowa
2020-07-18,41122,804,Iowa
2020-07-19,41474,807,Iowa
2020-07-20,41748,815,Iowa
2020-07-21,42048,823,Iowa
2020-07-22,42430,830,Iowa
2020-07-23,42941,837,Iowa
2020-07-24,43387,842,Iowa
2020-07-25,43751,847,Iowa
2020-07-26,44138,852,Iowa
2020-07-27,44385,866,Iowa
2020-07-28,44621,873,Iowa
2020-07-29,45240,878,Iowa
