date,confirmed,deaths,state
2020-03-07,1,-,Kansas
2020-03-08,1,-,Kansas
2020-03-09,1,-,Kansas
2020-03-10,4,-,Kansas
2020-03-11,4,-,Kansas
2020-03-12,7,1,Kansas
2020-03-13,11,1,Kansas
2020-03-14,12,1,Kansas
2020-03-15,14,1,Kansas
2020-03-16,26,1,Kansas
2020-03-17,36,1,Kansas
2020-03-18,55,1,Kansas
2020-03-19,61,1,Kansas
2020-03-20,76,1,Kansas
2020-03-21,88,2,Kansas
2020-03-22,105,2,Kansas
2020-03-23,119,3,Kansas
2020-03-24,157,3,Kansas
2020-03-25,201,3,Kansas
2020-03-26,243,4,Kansas
2020-03-27,299,5,Kansas
2020-03-28,346,7,Kansas
2020-03-29,393,7,Kansas
2020-03-30,441,11,Kansas
2020-03-31,516,11,Kansas
2020-04-01,576,15,Kansas
2020-04-02,647,17,Kansas
2020-04-03,729,22,Kansas
2020-04-04,809,23,Kansas
2020-04-05,877,28,Kansas
2020-04-06,949,33,Kansas
2020-04-07,"1,037",37,Kansas
2020-04-08,"1,132",45,Kansas
2020-04-09,"1,212",50,Kansas
2020-04-10,"1,303",55,Kansas
2020-04-11,"1,377",59,Kansas
2020-04-12,"1,410",64,Kansas
2020-04-13,"1,452",70,Kansas
2020-04-14,"1,503",75,Kansas
2020-04-15,"1,597",86,Kansas
2020-04-16,"1,699",88,Kansas
2020-04-17,"1,817",92,Kansas
2020-04-18,"1,918",101,Kansas
2020-04-19,"2,037",104,Kansas
2020-04-20,"2,168",109,Kansas
2020-04-21,"2,308",111,Kansas
2020-04-22,"2,513",115,Kansas
2020-04-23,"2,769",117,Kansas
2020-04-24,"3,018",120,Kansas
2020-04-25,"3,185",125,Kansas
2020-04-26,"3,343",126,Kansas
2020-04-27,"3,601",127,Kansas
2020-04-28,"3,800",128,Kansas
2020-04-29,"4,005",135,Kansas
2020-04-30,"4,539",136,Kansas
2020-05-01,"4,800",145,Kansas
2020-05-02,"5,026",150,Kansas
2020-05-03,"5,278",154,Kansas
2020-05-04,"5,519",157,Kansas
2020-05-05,"5,814",161,Kansas
2020-05-06,"6,184",165,Kansas
2020-05-07,"6,515",169,Kansas
2020-05-08,"6,837",172,Kansas
2020-05-09,"6,989",172,Kansas
2020-05-10,"7,096",174,Kansas
2020-05-11,"7,312",180,Kansas
2020-05-12,"7,454",184,Kansas
2020-05-13,"7,724",188,Kansas
2020-05-14,"7,896",192,Kansas
2020-05-15,"8,054",193,Kansas
2020-05-16,"8,117",194,Kansas
2020-05-17,"8,124",195,Kansas
2020-05-18,"8,482",198,Kansas
2020-05-19,"8,539",200,Kansas
2020-05-20,"8,718",202,Kansas
2020-05-21,"8,837",203,Kansas
2020-05-22,"9,112",203,Kansas
2020-05-23,"9,204",204,Kansas
2020-05-24,"9,239",204,Kansas
2020-05-25,"9,319",205,Kansas
2020-05-26,"9,444",209,Kansas
2020-05-27,"9,533",213,Kansas
2020-05-28,"9,636",213,Kansas
2020-05-29,"9,903",215,Kansas
2020-05-30,"9,944",216,Kansas
2020-05-31,"10,000",216,Kansas
2020-06-01,"10,151",218,Kansas
2020-06-02,"10,233",226,Kansas
2020-06-03,"10,351",226,Kansas
2020-06-04,"10,425",227,Kansas
2020-06-05,"10,584",232,Kansas
2020-06-06,"10,633",232,Kansas
2020-06-07,"10,674",233,Kansas
2020-06-08,"10,817",236,Kansas
2020-06-09,"10,891",239,Kansas
2020-06-10,"11,016",241,Kansas
2020-06-11,"11,119",242,Kansas
2020-06-12,"11,276",243,Kansas
2020-06-13,"11,343",244,Kansas
2020-06-14,"11,406",245,Kansas
2020-06-15,"11,635",247,Kansas
2020-06-16,"11,735",248,Kansas
2020-06-17,"11,975",251,Kansas
2020-06-18,"12,136",253,Kansas
2020-06-19,"12,366",257,Kansas
2020-06-20,"12,449",260,Kansas
2020-06-21,"12,532",260,Kansas
2020-06-22,"12,892",262,Kansas
2020-06-23,"13,062",263,Kansas
2020-06-24,"13,512",264,Kansas
2020-06-25,"13,743",268,Kansas
2020-06-26,"14,228",272,Kansas
2020-06-27,"14,382",273,Kansas
2020-06-28,"14,614",275,Kansas
2020-06-29,"15,009",277,Kansas
2020-06-30,"15,239",277,Kansas
2020-07-01,"15,704",281,Kansas
2020-07-02,"16,098",283,Kansas
2020-07-03,"16,686",285,Kansas
2020-07-04,"16,902",285,Kansas
2020-07-05,"17,054",286,Kansas
2020-07-06,"17,608",286,Kansas
2020-07-07,"17,930",290,Kansas
2020-07-08,"18,450",291,Kansas
2020-07-09,"18,884",292,Kansas
2020-07-10,"19,624",294,Kansas
2020-07-11,"19,955",294,Kansas
2020-07-12,"20,287",298,Kansas
2020-07-13,"20,826",300,Kansas
2020-07-14,"21,149",301,Kansas
2020-07-15,"21,801",307,Kansas
2020-07-16,"22,094",309,Kansas
2020-07-17,"22,777",312,Kansas
2020-07-18,"23,009",317,Kansas
2020-07-19,"23,386",321,Kansas
2020-07-20,"24,075",327,Kansas
2020-07-21,"24,406",330,Kansas
2020-07-22,"24,969",336,Kansas
2020-07-23,"25,350",341,Kansas
2020-07-24,"25,967",349,Kansas
2020-07-25,"26,160",354,Kansas
2020-07-26,"26,260",357,Kansas
2020-07-27,"26,838",360,Kansas
2020-07-28,"27,092",366,Kansas
2020-07-29,"27,681",370,Kansas
2020-07-30,"27,969",375,Kansas
2020-07-31,"28,607",379,Kansas
2020-08-01,"28,782",380,Kansas
2020-08-02,"28,912",385,Kansas
2020-08-03,"29,579",389,Kansas
2020-08-04,"29,915",393,Kansas
2020-08-05,"30,414",398,Kansas
2020-08-06,"30,741",402,Kansas
2020-08-07,"31,343",405,Kansas
2020-08-08,"31,511",407,Kansas
2020-08-09,"31,675",407,Kansas
2020-08-10,"32,319",412,Kansas
2020-08-11,"32,608",418,Kansas
2020-08-12,"33,358",422,Kansas
2020-08-13,"33,753",424,Kansas
2020-08-14,"34,713",430,Kansas
2020-08-15,"34,947",431,Kansas
2020-08-16,"35,167",433,Kansas
2020-08-17,"35,848",434,Kansas
2020-08-18,"36,170",440,Kansas
2020-08-19,"36,814",448,Kansas
2020-08-20,"37,285",450,Kansas
2020-08-21,"38,110",456,Kansas
2020-08-22,"38,287",457,Kansas
2020-08-23,"38,533",459,Kansas
2020-08-24,"39,521",464,Kansas
2020-08-25,"39,939",464,Kansas
2020-08-26,"41,021",471,Kansas
2020-08-27,"41,354",475,Kansas
2020-08-28,"42,220",479,Kansas
2020-08-29,"42,396",481,Kansas
2020-08-30,"42,522",481,Kansas
2020-08-31,"43,748",484,Kansas
2020-09-01,"44,148",485,Kansas
2020-09-02,"45,052",490,Kansas
2020-09-03,"45,285",495,Kansas
2020-09-04,"46,334",504,Kansas
2020-09-05,"46,386",506,Kansas
2020-09-06,"46,508",508,Kansas
2020-09-07,"47,548",510,Kansas
2020-09-08,"47,976",514,Kansas
2020-09-09,"48,506",525,Kansas
2020-09-10,"48,588",527,Kansas
2020-09-11,"49,547",549,Kansas
2020-09-12,"49,565",550,Kansas
2020-09-13,"49,580",553,Kansas
2020-09-14,"50,973",566,Kansas
2020-09-15,"51,085",566,Kansas
2020-09-16,"52,007",586,Kansas
2020-09-17,"52,072",586,Kansas
2020-09-18,"53,408",596,Kansas
2020-09-19,"53,421",596,Kansas
2020-09-20,"53,426",596,Kansas
2020-09-21,"54,994",600,Kansas
2020-09-22,"55,068",600,Kansas
2020-09-23,"56,211",621,Kansas
2020-09-24,"56,309",621,Kansas
2020-09-25,"57,687",632,Kansas
2020-09-26,"57,695",632,Kansas
2020-09-27,"57,697",632,Kansas
2020-09-28,"59,508",637,Kansas
2020-09-29,"59,539",637,Kansas
2020-09-30,"60,575",678,Kansas
2020-10-01,"60,676",678,Kansas
2020-10-02,"61,884",698,Kansas
