date,confirmed,deaths,state
2020-03-07,1,,Kentucky
2020-03-08,4,,Kentucky
2020-03-09,6,,Kentucky
2020-03-10,8,,Kentucky
2020-03-11,8,,Kentucky
2020-03-12,11,,Kentucky
2020-03-13,14,,Kentucky
2020-03-14,16,,Kentucky
2020-03-15,20,,Kentucky
2020-03-16,22,1,Kentucky
2020-03-17,26,1,Kentucky
2020-03-18,35,1,Kentucky
2020-03-19,40,1,Kentucky
2020-03-20,48,2,Kentucky
2020-03-21,54,3,Kentucky
2020-03-22,99,3,Kentucky
2020-03-23,124,4,Kentucky
2020-03-24,157,4,Kentucky
2020-03-25,198,5,Kentucky
2020-03-26,248,6,Kentucky
2020-03-27,302,8,Kentucky
2020-03-28,394,9,Kentucky
2020-03-29,439,9,Kentucky
2020-03-30,480,11,Kentucky
2020-03-31,594,18,Kentucky
2020-04-01,670,20,Kentucky
2020-04-02,770,31,Kentucky
2020-04-03,831,37,Kentucky
2020-04-04,917,40,Kentucky
2020-04-05,955,45,Kentucky
2020-04-06,"1,008",59,Kentucky
2020-04-07,"1,149",65,Kentucky
2020-04-08,"1,346",73,Kentucky
2020-04-09,"1,452",79,Kentucky
2020-04-10,"1,693",90,Kentucky
2020-04-11,"1,840",94,Kentucky
2020-04-12,"1,963",97,Kentucky
2020-04-13,"2,048",104,Kentucky
2020-04-14,"2,210",115,Kentucky
2020-04-15,"2,291",122,Kentucky
2020-04-16,"2,429",129,Kentucky
2020-04-17,"2,522",137,Kentucky
2020-04-18,"2,707",144,Kentucky
2020-04-19,"2,960",148,Kentucky
2020-04-20,"3,050",154,Kentucky
2020-04-21,"3,192",171,Kentucky
2020-04-22,"3,373",185,Kentucky
2020-04-23,"3,481",191,Kentucky
2020-04-24,"3,779",200,Kentucky
2020-04-25,"3,905",205,Kentucky
2020-04-26,"4,074",208,Kentucky
2020-04-27,"4,146",213,Kentucky
2020-04-28,"4,375",224,Kentucky
2020-04-29,"4,539",235,Kentucky
2020-04-30,"4,708",240,Kentucky
2020-05-01,"4,879",248,Kentucky
2020-05-02,"5,052",253,Kentucky
2020-05-03,"5,130",253,Kentucky
2020-05-04,"5,245",261,Kentucky
2020-05-05,"5,822",275,Kentucky
2020-05-06,"5,934",283,Kentucky
2020-05-07,"6,128",294,Kentucky
2020-05-08,"6,288",298,Kentucky
2020-05-09,"6,440",304,Kentucky
2020-05-10,"6,576",307,Kentucky
2020-05-11,"6,677",311,Kentucky
2020-05-12,"6,853",321,Kentucky
2020-05-13,"7,080",326,Kentucky
2020-05-14,"7,225",328,Kentucky
2020-05-15,"7,444",332,Kentucky
2020-05-16,"7,688",334,Kentucky
2020-05-17,"7,810",337,Kentucky
2020-05-18,"7,935",346,Kentucky
2020-05-19,"8,069",366,Kentucky
2020-05-20,"8,167",376,Kentucky
2020-05-21,"8,286",386,Kentucky
2020-05-22,"8,426",391,Kentucky
2020-05-23,"8,571",391,Kentucky
2020-05-24,"8,712",391,Kentucky
2020-05-25,"8,834",391,Kentucky
2020-05-26,"8,951",394,Kentucky
2020-05-27,"9,077",400,Kentucky
2020-05-28,"9,184",409,Kentucky
2020-05-29,"9,464",418,Kentucky
2020-05-30,"9,704",431,Kentucky
2020-05-31,"9,875",435,Kentucky
2020-06-01,"10,046",439,Kentucky
2020-06-02,"10,185",442,Kentucky
2020-06-03,"10,410",450,Kentucky
2020-06-04,"10,705",458,Kentucky
2020-06-05,"10,977",466,Kentucky
2020-06-06,"11,287",470,Kentucky
2020-06-07,"11,356",471,Kentucky
2020-06-08,"11,476",472,Kentucky
2020-06-09,"11,708",477,Kentucky
2020-06-10,"11,883",484,Kentucky
2020-06-11,"11,945",493,Kentucky
2020-06-12,"12,166",497,Kentucky
2020-06-13,"12,445",499,Kentucky
2020-06-14,"12,529",500,Kentucky
2020-06-15,"12,647",505,Kentucky
2020-06-16,"12,829",512,Kentucky
2020-06-17,"12,995",518,Kentucky
2020-06-18,"13,197",521,Kentucky
2020-06-19,"13,454",522,Kentucky
2020-06-20,"13,630",524,Kentucky
2020-06-21,"13,750",526,Kentucky
2020-06-22,"13,839",526,Kentucky
2020-06-23,"14,141",537,Kentucky
2020-06-24,"14,363",538,Kentucky
2020-06-25,"14,617",546,Kentucky
2020-06-26,"14,859",553,Kentucky
2020-06-27,"15,167",554,Kentucky
2020-06-28,"15,232",558,Kentucky
2020-06-29,"15,347",560,Kentucky
2020-06-30,"15,624",565,Kentucky
2020-07-01,"15,842",572,Kentucky
2020-07-02,"16,079",581,Kentucky
2020-07-03,"16,376",585,Kentucky
2020-07-04,"16,376",585,Kentucky
2020-07-05,"16,884",585,Kentucky
2020-07-06,"17,152",593,Kentucky
2020-07-07,"17,519",602,Kentucky
2020-07-08,"17,919",608,Kentucky
2020-07-09,"18,245",612,Kentucky
2020-07-10,"18,670",620,Kentucky
2020-07-11,"19,121",622,Kentucky
2020-07-12,"19,389",625,Kentucky
2020-07-13,"19,653",629,Kentucky
2020-07-14,"20,223",635,Kentucky
2020-07-15,"20,677",645,Kentucky
2020-07-16,"21,083",650,Kentucky
2020-07-17,"21,605",658,Kentucky
2020-07-18,"22,184",667,Kentucky
2020-07-19,"23,161",670,Kentucky
2020-07-20,"23,414",671,Kentucky
2020-07-21,"24,060",674,Kentucky
2020-07-22,"24,540",677,Kentucky
2020-07-23,"25,147",684,Kentucky
2020-07-24,"25,931",691,Kentucky
2020-07-25,"26,764",696,Kentucky
2020-07-26,"27,079",700,Kentucky
2020-07-27,"27,601",709,Kentucky
2020-07-28,"28,126",719,Kentucky
2020-07-29,"28,727",724,Kentucky
2020-07-30,"29,386",731,Kentucky
2020-07-31,"30,151",735,Kentucky
2020-08-01,"30,723",740,Kentucky
2020-08-02,"31,185",742,Kentucky
2020-08-03,"31,508",744,Kentucky
2020-08-04,"32,197",751,Kentucky
2020-08-05,"32,741",752,Kentucky
2020-08-06,"33,254",760,Kentucky
2020-08-07,"33,796",764,Kentucky
2020-08-08,"34,578",772,Kentucky
2020-08-09,"34,982",773,Kentucky
2020-08-10,"35,254",775,Kentucky
2020-08-11,"35,793",783,Kentucky
2020-08-12,"36,945",790,Kentucky
2020-08-13,"37,686",796,Kentucky
2020-08-14,"38,298",804,Kentucky
2020-08-15,"38,930",810,Kentucky
2020-08-16,"39,315",813,Kentucky
2020-08-17,"39,691",818,Kentucky
2020-08-18,"40,299",830,Kentucky
2020-08-19,"40,926",842,Kentucky
2020-08-20,"41,626",856,Kentucky
2020-08-21,"42,265",864,Kentucky
2020-08-22,"43,066",872,Kentucky
2020-08-23,"43,529",881,Kentucky
2020-08-24,"43,899",885,Kentucky
2020-08-25,"44,568",895,Kentucky
2020-08-26,"45,230",902,Kentucky
2020-08-27,"45,978",910,Kentucky
2020-08-28,"46,757",918,Kentucky
2020-08-29,"47,577",921,Kentucky
2020-08-30,"48,032",930,Kentucky
2020-08-31,"48,396",933,Kentucky
2020-09-01,"49,185",948,Kentucky
2020-09-02,"49,991",966,Kentucky
2020-09-03,"50,885",976,Kentucky
2020-09-04,"51,677",987,Kentucky
2020-09-05,"52,464",993,Kentucky
2020-09-06,"52,774",996,Kentucky
2020-09-07,"53,064",996,Kentucky
2020-09-08,"53,319",997,Kentucky
2020-09-09,"53,977","1,013",Kentucky
2020-09-10,"54,772","1,035",Kentucky
2020-09-11,"55,704","1,044",Kentucky
2020-09-12,"56,415","1,057",Kentucky
2020-09-13,"56,945","1,060",Kentucky
2020-09-14,"57,282","1,065",Kentucky
2020-09-15,"58,000","1,074",Kentucky
2020-09-16,"58,764","1,082",Kentucky
2020-09-17,"59,370","1,093",Kentucky
2020-09-18,"60,128","1,101",Kentucky
2020-09-19,"61,106","1,108",Kentucky
2020-09-20,"61,542","1,111",Kentucky
2020-09-21,"61,917","1,112",Kentucky
2020-09-22,"62,731","1,119",Kentucky
2020-09-23,"63,517","1,124",Kentucky
2020-09-24,"64,148","1,137",Kentucky
2020-09-25,"65,066","1,149",Kentucky
2020-09-26,"66,036","1,154",Kentucky
2020-09-27,"66,491","1,157",Kentucky
2020-09-28,"66,939","1,162",Kentucky
2020-09-29,"67,856","1,170",Kentucky
2020-09-30,"68,840","1,174",Kentucky
2020-10-01,"69,728","1,191",Kentucky
2020-10-02,"70,727","1,197",Kentucky
