County [a],Cases [b],Deaths,Pop.,Cases / 100k,Ref. & Notes
120 of 120,"38,930",810,"4,582,040",849.6,Ref. & Notes
Adair,224,19,19556,1145.4,
Allen,234,8,21054,1111.4,
Anderson,90,1,23041,390.6,
Ballard,37,0,8142,454.4,
Barren,429,3,44442,965.3,
Bath,41,1,12585,325.8,
Bell,338,5,29172,1158.6,
Boone,1149,24,132434,867.6,
Bourbon,97,1,20592,471.1,
Boyd,201,3,48304,416.1,
Boyle,168,0,30238,555.6,
Bracken,37,0,8496,435.5,
Breathitt,33,0,14114,233.8,
Breckinridge,84,2,20983,400.3,
Bullitt,440,5,82411,533.9,
Butler,303,15,13065,2319.2,
Caldwell,55,0,12658,434.5,
Calloway,289,4,39140,738.4,
Campbell,612,13,95768,639,
Carlisle,50,1,4930,1014.2,
Carroll,170,2,11065,1536.4,
Carter,105,2,28094,373.7,
Casey,213,11,16029,1328.8,
Christian,532,10,77114,689.9,
Clark,186,7,37037,502.2,
Clay,185,5,20754,891.4,
Clinton,42,1,10371,405,
Crittenden,34,1,9114,373.1,
Cumberland,66,0,6949,949.8,
Daviess,824,9,102392,804.8,
Edmonson,115,12,12807,897.9,
Elliott,15,0,8217,182.5,
Estill,27,0,14655,184.2,
Fayette,3385,49,325520,1039.9,[c]
Fleming,64,0,14368,445.4,
Floyd,119,2,44077,270,
Franklin,349,9,51531,677.3,
Fulton,98,2,6514,1504.5,
Gallatin,82,7,8970,914.2,
Garrard,91,0,17517,519.5,
Grant,127,6,25676,494.6,
Graves,580,26,36820,1575.2,
Grayson,219,11,26716,819.7,
Green,57,2,11282,505.2,
Greenup,139,1,36406,381.8,
Hancock,52,0,8942,581.5,
Hardin,744,8,112050,664,
Harlan,253,3,31332,807.5,
Harrison,123,0,19271,638.3,
Hart,109,0,19148,569.3,
Henderson,371,3,45698,811.9,
Henry,142,2,16387,866.5,
Hickman,58,0,4633,1251.9,
Hopkins,439,35,46270,948.8,
Jackson,155,14,13976,1109,
Jefferson,9350,251,778244,1201.4,[d]
Jessamine,372,0,54637,680.9,
Johnson,83,0,24955,332.6,
Kenton,1507,41,168539,894.2,
Knott,75,1,16471,455.3,
Knox,268,8,32834,816.2,
LaRue,66,1,14681,449.6,
Laurel,480,5,60891,788.3,
Lawrence,38,0,15940,238.4,
Lee,5,0,7305,68.4,
Leslie,34,0,11890,286,
Letcher,65,0,25831,251.6,
Lewis,84,1,14552,577.2,
Lincoln,119,2,25112,473.9,
Livingston,36,1,9454,380.8,
Logan,354,23,27738,1276.2,
Lyon,32,4,8412,380.4,
Madison,1603,4,92453,1733.8,
Magoffin,49,0,14644,334.6,
Marion,129,0,19716,654.3,
Marshall,155,2,32557,476.1,
Martin,41,0,12151,337.4,
Mason,56,1,17620,317.8,
McCracken,401,5,66704,601.2,
McCreary,52,0,19246,270.2,
McLean,44,1,9815,448.3,
Meade,103,3,29263,352,
Menifee,28,0,6559,426.9,
Mercer,91,0,22148,410.9,
Metcalfe,65,2,10337,628.8,
Monroe,104,2,10856,958,
Montgomery,139,0,28162,493.6,
Morgan,35,0,13714,255.2,
Muhlenberg,633,11,31018,2040.8,
Nelson,253,2,46738,541.3,
Nicholas,21,1,7258,289.3,
Ohio,365,9,24597,1483.9,
Oldham,663,16,67892,976.6,
Owen,65,0,11178,581.5,
Owsley,15,0,4724,317.5,
Pendleton,51,0,15024,339.5,
Perry,254,3,30914,821.6,
Pike,270,3,68341,395.1,
Powell,68,0,12661,537.1,
Pulaski,376,5,65166,577,
Robertson,3,0,2230,134.5,
Rockcastle,86,0,16967,506.9,
Rowan,88,0,25007,351.9,
Russell,139,5,18323,758.6,
Scott,426,0,57532,740.5,
Shelby,817,21,48584,1681.6,
Simpson,167,7,18443,905.5,
Spencer,138,0,19128,721.5,
Taylor,153,3,25556,598.7,
Todd,35,0,12732,274.9,
Trigg,59,0,14886,396.3,
Trimble,35,0,8637,405.2,
Union,73,0,14734,495.5,
Warren,2773,22,133362,2079.3,
Washington,101,0,12243,825,
Wayne,77,0,20734,371.4,
Webster,92,1,13480,682.5,
Whitley,170,1,37059,458.7,
Wolfe,16,0,7468,214.2,
Woodford,177,0,27166,651.5,
Unconfirmed,0,0,,,
"Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]","Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]","Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]","Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]","Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]","Updated Aug 15, 2020Data is publicly reported by Kentucky Department of Public Health[37][38]"
"^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government","^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government","^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government","^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government","^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government","^ County where individuals with a positive case diagnosed, not where they were reside. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ Consolidated city-county; Lexington-Fayette Urban County ^ Consolidated city-county; Louisville/Jefferson County Metro Government"
