Parish [a],Cases [b][c],Deaths [c],Recov. [c][d],Pop.,Cases / 100k,Ref.
64 / 64,"74,636","3,272","46,334","4,533,186","1,646.4",Ref.
Acadia,1232,44,–,61773,1994.4,
Allen,432,12,–,25764,1676.8,
Ascension,1532,63,–,107215,1428.9,
Assumption,410,16,–,23421,1750.6,
Avoyelles,460,16,–,42073,1093.3,
Beauregard,319,9,–,35654,894.7,
Bienville,258,28,–,14353,1797.5,
Bossier,1219,37,–,116979,1042.1,
Caddo,4213,247,–,254969,1652.4,
Calcasieu,2975,63,–,192768,1543.3,
Caldwell,121,1,–,10132,1194.2,
Cameron,97,0,–,6839,1418.3,
Catahoula,211,3,–,10407,2027.5,
Claiborne,144,10,–,17195,837.5,
Concordia,140,7,–,20822,672.4,
DeSoto,422,20,–,26656,1583.1,
East Baton Rouge,6747,277,–,440171,1532.8,
East Carroll,453,1,–,7759,5838.4,
East Feliciana,351,33,–,20267,1731.9,
Evangeline,306,1,–,33984,900.4,
Franklin,538,14,–,20767,2590.6,
Grant,122,2,–,22309,546.9,
Iberia,1181,49,–,73240,1612.5,
Iberville,816,43,–,33387,2444.1,
Jackson,230,16,–,16274,1413.3,
Jefferson Davis,574,11,–,31594,1816.8,
Jefferson,10812,490,–,432552,2499.6,
Lafayette,3493,51,–,221578,1576.4,
Lafourche,1479,90,–,96318,1535.5,
LaSalle,116,0,–,14890,779,
Lincoln,401,19,–,46735,858,
Livingston,1424,40,–,128026,1112.3,
Madison,411,4,–,12093,3398.7,
Morehouse,273,10,–,27979,975.7,
Natchitoches,376,14,–,39566,950.3,
Orleans,8476,541,–,343829,2465.2,
Ouachita,2988,85,–,153720,1943.8,
Plaquemines,298,17,–,23042,1293.3,
Pointe Coupee,342,28,–,22802,1499.9,
Rapides,1909,79,–,131613,1450.5,
Red River,72,9,–,9091,792,
Richland,257,5,–,20725,1240,
Sabine,181,1,–,24233,746.9,
St. Bernard,689,23,–,35897,1919.4,
St. Charles,854,49,–,52780,1618,
St. Helena,117,1,–,11203,1044.4,
St. James,439,30,–,22102,1986.2,
St. John the Baptist,1063,87,–,45924,2314.7,
St. Landry,1023,59,–,83384,1226.9,
St. Martin,963,27,–,52160,1846.2,
St. Mary,704,39,–,54650,1288.2,
St. Tammany,3004,184,–,233740,1285.2,
Tangipahoa,1802,44,–,121097,1488.1,
Tensas,32,0,–,5066,631.7,
Terrebonne,1535,65,–,111860,1372.3,
Union,471,27,–,22721,2073,
Vermilion,493,6,–,57999,850,
Vernon,247,9,–,52334,472,
Washington,812,49,–,47168,1721.5,
Webster,513,12,–,41207,1244.9,
West Baton Rouge,356,31,–,23788,1496.6,
West Carroll,166,5,–,11604,1430.5,
West Feliciana,257,14,–,15625,1644.8,
Winn,283,5,–,15313,1848.1,
Under Investigation,2,0,–,–,–,
"Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]","Updated Jul 10, 2020Data is publicly reported by Louisiana Department of Health[92]"
"^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion.","^ Parish where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that parish, not that the value is zero. ^ LDH is not providing recovered case numbers by parish. Local health departments could be providing this information at their discretion."
