date,confirmed,deaths,state
2020-03-12,1,,Maine
2020-03-13,3,,Maine
2020-03-16,17,,Maine
2020-03-17,32,,Maine
2020-03-18,42,,Maine
2020-03-19,52,,Maine
2020-03-20,56,,Maine
2020-03-21,70,,Maine
2020-03-22,89,,Maine
2020-03-23,107,,Maine
2020-03-24,118,,Maine
2020-03-25,142,,Maine
2020-03-26,155,,Maine
2020-03-27,168,1,Maine
2020-03-28,211,1,Maine
2020-03-29,253,3,Maine
2020-03-30,275,3,Maine
2020-03-31,303,5,Maine
2020-04-01,344,7,Maine
2020-04-02,376,7,Maine
2020-04-03,432,9,Maine
2020-04-04,456,10,Maine
2020-04-05,470,10,Maine
2020-04-06,499,10,Maine
2020-04-07,519,12,Maine
2020-04-08,537,14,Maine
2020-04-09,560,16,Maine
2020-04-10,586,17,Maine
2020-04-11,616,19,Maine
2020-04-12,633,19,Maine
2020-04-13,698,19,Maine
2020-04-14,734,20,Maine
2020-04-15,770,24,Maine
2020-04-16,796,27,Maine
2020-04-17,827,29,Maine
2020-04-18,847,32,Maine
2020-04-19,867,34,Maine
2020-04-20,875,35,Maine
2020-04-21,888,36,Maine
2020-04-22,907,39,Maine
2020-04-23,937,44,Maine
2020-04-24,965,47,Maine
2020-04-25,990,50,Maine
2020-04-26,"1,015",50,Maine
2020-04-27,"1,023",51,Maine
2020-04-28,"1,040",51,Maine
2020-04-29,"1,056",52,Maine
2020-04-30,"1,095",53,Maine
2020-05-01,"1,123",55,Maine
2020-05-02,"1,152",56,Maine
2020-05-03,"1,185",57,Maine
2020-05-04,"1,205",57,Maine
2020-05-05,"1,226",61,Maine
2020-05-06,"1,254",62,Maine
2020-05-07,"1,330",62,Maine
2020-05-08,"1,374",63,Maine
2020-05-09,"1,408",64,Maine
2020-05-10,"1,436",64,Maine
2020-05-11,"1,462",65,Maine
2020-05-12,"1,477",65,Maine
2020-05-13,"1,515",66,Maine
2020-05-14,"1,565",69,Maine
2020-05-15,"1,603",69,Maine
2020-05-16,"1,648",70,Maine
2020-05-17,"1,687",70,Maine
2020-05-18,"1,713",71,Maine
2020-05-19,"1,741",73,Maine
