County [a],Cases [b][c],Deaths [c],Ref.,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
24 / 24,"125,510","3,805",Ref.,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Allegany,484,23,,,,
Anne Arundel,10186,239,,,,
Baltimore (City),15793,469,[d],,,
Baltimore County,18148,609,,,,
Calvert,980,27,,,,
Caroline,659,7,,,,
Carroll,1975,123,,,,
Cecil,1090,34,,,,
Charles,2819,99,,,,
Dorchester,598,10,,,,
Frederick,4117,125,,,,
Garrett,75,1,,,,
Harford,3086,72,,,,
Howard,5149,116,,,,
Kent,305,22,,,,
Montgomery,22679,810,,,,
Prince George's,29617,805,,,,
Queen Anne's,669,25,,,,
St. Mary's,1317,57,,,,
Somerset,282,5,,,,
Talbot,570,6,,,,
Washington,1837,39,,,,
Wicomico,2016,49,,,,
Worcester,1059,27,,,,
Unknown,0,6,,,,
"Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]","Updated October 1, 2020Data is publicly reported by Maryland Department of Health[2]"
"^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent.","^ County of residency. Location of original infection may vary. ^ Includes only confirmed cases. Actual case numbers are probably higher. ^ a b ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ The City of Baltimore is considered the equal of a county for most purposes and is a county-equivalent."
