date,confirmed,deaths,state
2020-02-01,1,0,Massachusetts
,1,,Massachusetts
2020-03-02,2,0,Massachusetts
,2,,Massachusetts
2020-03-05,3,0,Massachusetts
2020-03-06,8,0,Massachusetts
2020-03-07,13,0,Massachusetts
2020-03-08,28,0,Massachusetts
2020-03-09,41,0,Massachusetts
2020-03-10,92,0,Massachusetts
2020-03-11,95,0,Massachusetts
2020-03-12,108,0,Massachusetts
2020-03-13,123,0,Massachusetts
2020-03-14,138,0,Massachusetts
2020-03-15,164,0,Massachusetts
2020-03-16,197,0,Massachusetts
2020-03-17,218,0,Massachusetts
2020-03-18,256,0,Massachusetts
2020-03-19,328,2,Massachusetts
2020-03-20,413,3,Massachusetts
2020-03-21,525,5,Massachusetts
2020-03-22,646,7,Massachusetts
2020-03-23,777,11,Massachusetts
2020-03-24,"1,159",17,Massachusetts
2020-03-25,"1,838",26,Massachusetts
2020-03-26,"2,417",33,Massachusetts
2020-03-27,"3,240",42,Massachusetts
2020-03-28,"4,257",57,Massachusetts
2020-03-29,"4,955",63,Massachusetts
2020-03-30,"5,752",72,Massachusetts
2020-03-31,"6,620",97,Massachusetts
2020-04-01,"7,738",125,Massachusetts
2020-04-02,"8,966",153,Massachusetts
2020-04-03,"10,402",189,Massachusetts
2020-04-04,"11,736",231,Massachusetts
2020-04-05,"12,500",268,Massachusetts
2020-04-06,"13,837",306,Massachusetts
2020-04-07,"15,202",374,Massachusetts
2020-04-08,"16,790",454,Massachusetts
2020-04-09,"18,941",525,Massachusetts
2020-04-10,"20,974",625,Massachusetts
2020-04-11,"22,860",737,Massachusetts
2020-04-12,"25,475",845,Massachusetts
2020-04-13,"26,867",965,Massachusetts
2020-04-14,"28,163","1,078",Massachusetts
2020-04-15,"29,918","1,240",Massachusetts
2020-04-16,"32,181","1,361",Massachusetts
2020-04-17,"34,402","1,536",Massachusetts
2020-04-18,"36,372","1,710",Massachusetts
2020-04-19,"38,077","1,880",Massachusetts
2020-04-20,"39,643","2,048",Massachusetts
2020-04-21,"41,199","2,224",Massachusetts
2020-04-22,"42,944","2,396",Massachusetts
2020-04-23,"46,023","2,557",Massachusetts
2020-04-24,"50,969","2,709",Massachusetts
2020-04-25,"53,348","2,899",Massachusetts
2020-04-26,"54,938","3,096",Massachusetts
2020-04-27,"56,462","3,245",Massachusetts
2020-04-28,"58,302","3,397",Massachusetts
2020-04-29,"60,265","3,558",Massachusetts
2020-04-30,"62,205","3,701",Massachusetts
2020-05-01,"64,311","3,878",Massachusetts
2020-05-02,"66,263","4,018",Massachusetts
2020-05-03,"68,087","4,194",Massachusetts
2020-05-04,"69,087","4,334",Massachusetts
2020-05-05,"70,271","4,474",Massachusetts
2020-05-06,"72,025","4,606",Massachusetts
2020-05-07,"73,721","4,743",Massachusetts
2020-05-08,"75,333","4,881",Massachusetts
2020-05-09,"76,743","5,011",Massachusetts
2020-05-10,"77,793","5,120",Massachusetts
2020-05-11,"78,462","5,225",Massachusetts
2020-05-12,"79,332","5,348",Massachusetts
2020-05-13,"80,497","5,474",Massachusetts
2020-05-14,"82,182","5,587",Massachusetts
2020-05-15,"83,421","5,699",Massachusetts
2020-05-16,"84,933","5,797",Massachusetts
2020-05-17,"86,010","5,914",Massachusetts
2020-05-18,"87,052","6,000",Massachusetts
2020-05-19,"87,925","6,079",Massachusetts
2020-05-20,"88,970","6,169",Massachusetts
2020-05-21,"90,084","6,239",Massachusetts
2020-05-22,"90,889","6,320",Massachusetts
2020-05-23,"91,662","6,384",Massachusetts
2020-05-24,"92,675","6,464",Massachusetts
2020-05-25,"93,271","6,529",Massachusetts
2020-05-26,"93,693","6,585",Massachusetts
2020-05-27,"94,220","6,641",Massachusetts
2020-05-28,"94,895","6,707",Massachusetts
2020-05-29,"95,512","6,767",Massachusetts
2020-05-30,"96,301","6,811",Massachusetts
2020-05-31,"96,965","6,856",Massachusetts
2020-06-01,"100,805","7,035",Massachusetts
2020-06-02,"101,163","7,085",Massachusetts
2020-06-03,"101,592","7,152",Massachusetts
2020-06-04,"102,063","7,201",Massachusetts
2020-06-05,"102,557","7,235",Massachusetts
2020-06-06,"103,132","7,289",Massachusetts
2020-06-07,"103,436","7,316",Massachusetts
2020-06-08,"103,626","7,353",Massachusetts
2020-06-09,"103,889","7,408",Massachusetts
2020-06-10,"104,156","7,454",Massachusetts
2020-06-11,"104,667","7,492",Massachusetts
2020-06-12,"105,059","7,538",Massachusetts
2020-06-13,"105,395","7,576",Massachusetts
2020-06-14,"105,603","7,624",Massachusetts
2020-06-15,"105,690","7,647",Massachusetts
2020-06-16,"105,885","7,665",Massachusetts
2020-06-17,"106,151","7,734",Massachusetts
2020-06-18,"106,422","7,770",Massachusetts
2020-06-19,"106,650","7,800",Massachusetts
2020-06-20,"106,939","7,828",Massachusetts
2020-06-21,"107,061","7,858",Massachusetts
2020-06-22,"107,210","7,874",Massachusetts
2020-06-23,"107,439","7,890",Massachusetts
2020-06-24,"107,611","7,938",Massachusetts
2020-06-25,"107,837","7,963",Massachusetts
2020-06-26,"108,070","8,013",Massachusetts
2020-06-27,"108,443","8,041",Massachusetts
2020-06-28,"108,667","8,060",Massachusetts
2020-06-29,"108,768","8,095",Massachusetts
2020-06-30,"108,882","8,054",Massachusetts
2020-07-01,"109,143","8,081",Massachusetts
2020-07-02,"109,338","8,132",Massachusetts
2020-07-03,"109,628","8,149",Massachusetts
2020-07-04,"109,838","8,172",Massachusetts
2020-07-05,"109,974","8,183",Massachusetts
2020-07-06,"110,137","8,198",Massachusetts
2020-07-07,"110,338","8,213",Massachusetts
2020-07-08,"110,602","8,243",Massachusetts
2020-07-09,"110,897","8,268",Massachusetts
2020-07-10,"111,110","8,296",Massachusetts
2020-07-11,"111,398","8,310",Massachusetts
2020-07-12,"111,597","8,325",Massachusetts
2020-07-13,"111,827","8,330",Massachusetts
2020-07-14,"112,130","8,340",Massachusetts
2020-07-15,"112,347","8,368",Massachusetts
2020-07-16,"112,581","8,380",Massachusetts
2020-07-17,"112,879","8,402",Massachusetts
2020-07-18,"113,238","8,419",Massachusetts
2020-07-19,"113,534","8,431",Massachusetts
2020-07-20,"113,829","8,433",Massachusetts
2020-07-21,"114,033","8,450",Massachusetts
2020-07-22,"114,320","8,468",Massachusetts
2020-07-23,"114,647","8,484",Massachusetts
2020-07-24,"114,985","8,498",Massachusetts
2020-07-25,"115,268","8,510",Massachusetts
2020-07-26,"115,637","8,529",Massachusetts
2020-07-27,"115,926","8,536",Massachusetts
2020-07-28,"116,182","8,551",Massachusetts
2020-07-29,"116,684","8,580",Massachusetts
2020-07-30,"117,098","8,595",Massachusetts
2020-07-31,"117,612","8,609",Massachusetts
2020-08-01,"118,040","8,626",Massachusetts
2020-08-02,"118,458","8,638",Massachusetts
2020-08-03,"118,657","8,648",Massachusetts
2020-08-04,"119,203","8,657",Massachusetts
2020-08-05,"119,643","8,659",Massachusetts
2020-08-06,"119,894","8,691",Massachusetts
2020-08-07,"120,291","8,709",Massachusetts
2020-08-08,"120,711","8,721",Massachusetts
2020-08-09,"121,040","8,735",Massachusetts
2020-08-10,"121,315","8,741",Massachusetts
2020-08-11,"121,707","8,751",Massachusetts
