date,confirmed,deaths,state
2020-03-10,2,0,Michigan
2020-03-11,2,0,Michigan
2020-03-12,12,0,Michigan
2020-03-13,25,0,Michigan
2020-03-14,33,0,Michigan
2020-03-15,53,0,Michigan
2020-03-16,54,0,Michigan
2020-03-17,65,0,Michigan
2020-03-18,80,1,Michigan
2020-03-19,334,3,Michigan
2020-03-20,549,3,Michigan
2020-03-21,787,5,Michigan
2020-03-22,"1,035",8,Michigan
2020-03-23,"1,328",15,Michigan
2020-03-24,"1,791",24,Michigan
2020-03-25,"2,295",43,Michigan
2020-03-26,"2,856",60,Michigan
2020-03-27,"3,657",92,Michigan
2020-03-28,"4,650",111,Michigan
2020-03-29,"5,486",132,Michigan
2020-03-30,"6,498",184,Michigan
2020-03-31,"7,615",259,Michigan
2020-04-01,"9,334",337,Michigan
2020-04-02,"10,791",417,Michigan
2020-04-03,"12,744",479,Michigan
2020-04-04,"14,225",540,Michigan
2020-04-05,"15,718",617,Michigan
2020-04-06,"17,221",727,Michigan
2020-04-07,"18,970",845,Michigan
2020-04-08,"20,346",959,Michigan
2020-04-09,"21,504","1,076",Michigan
2020-04-10,"22,783","1,281",Michigan
2020-04-11,"23,993","1,392",Michigan
2020-04-12,"24,638","1,487",Michigan
2020-04-13,"25,635","1,602",Michigan
2020-04-14,"27,001","1,768",Michigan
2020-04-15,"28,059","1,921",Michigan
2020-04-16,"29,263","2,093",Michigan
2020-04-17,"30,023","2,227",Michigan
2020-04-18,"30,791","2,308",Michigan
2020-04-19,"31,424","2,391",Michigan
2020-04-20,"32,000","2,468",Michigan
2020-04-21,"32,967","2,700",Michigan
2020-04-22,"33,966","2,813",Michigan
2020-04-23,"35,291","2,977",Michigan
2020-04-24,"36,641","3,085",Michigan
2020-04-25,"37,203","3,274",Michigan
2020-04-26,"37,778","3,315",Michigan
2020-04-27,"38,210","3,407",Michigan
2020-04-28,"39,262","3,567",Michigan
2020-04-29,"40,399","3,670",Michigan
2020-04-30,"41,379","3,789",Michigan
2020-05-01,"42,356","3,866",Michigan
2020-05-02,"43,207","4,020",Michigan
2020-05-03,"43,754","4,049",Michigan
2020-05-04,"43,950","4,135",Michigan
2020-05-05,"44,397","4,179",Michigan
2020-05-06,"45,054","4,250",Michigan
2020-05-07,"45,646","4,343",Michigan
2020-05-08,"46,326","4,393",Michigan
2020-05-09,"46,756","4,526",Michigan
2020-05-10,"47,138","4,551",Michigan
2020-05-11,"47,552","4,584",Michigan
2020-05-12,"48,021","4,674",Michigan
2020-05-13,"48,391","4,714",Michigan
2020-05-14,"49,582","4,787",Michigan
2020-05-15,"50,079","4,825",Michigan
2020-05-16,"50,504","4,880",Michigan
2020-05-17,"51,142","4,891",Michigan
2020-05-18,"51,915","4,915",Michigan
2020-05-19,"52,350","5,017",Michigan
2020-05-20,"53,009","5,060",Michigan
2020-05-21,"53,510","5,129",Michigan
2020-05-22,"53,913","5,158",Michigan
2020-05-23,"54,365","5,223",Michigan
2020-05-24,"54,679","5,228",Michigan
2020-05-25,"54,881","5,240",Michigan
2020-05-26,"55,104","5,266",Michigan
2020-05-27,"55,608","5,334",Michigan
2020-05-28,"56,014","5,372",Michigan
2020-05-29,"56,621","5,406",Michigan
2020-05-30,"56,884","5,463",Michigan
2020-05-31,"57,397","5,491",Michigan
2020-06-01,"57,532","5,516",Michigan
2020-06-02,"57,731","5,553",Michigan
2020-06-03,"58,035","5,570",Michigan
2020-06-04,"58,241","5,595",Michigan
2020-06-05,"58,525","5,615",Michigan
2020-06-06,"58,749","5,652",Michigan
2020-06-07,"58,870","5,656",Michigan
2020-06-08,"58,999","5,673",Michigan
2020-06-09,"59,107","5,698",Michigan
2020-06-10,"59,278","5,711",Michigan
2020-06-11,"59,496","5,738",Michigan
2020-06-12,"59,621","5,745",Michigan
2020-06-13,"59,801","5,767",Michigan
2020-06-14,"59,990","5,770",Michigan
2020-06-15,"60,064","5,772",Michigan
2020-06-16,"60,189","5,790",Michigan
2020-06-17,"60,393","5,792",Michigan
2020-06-18,"60,618","5,818",Michigan
2020-06-19,"60,829","5,823",Michigan
2020-06-20,"61,084","5,843",Michigan
2020-06-21,"61,230","5,846",Michigan
2020-06-22,"61,409","5,853",Michigan
2020-06-23,"61,630","5,864",Michigan
2020-06-24,"61,953","5,868",Michigan
2020-06-25,"62,306","5,886",Michigan
