County [a],Confirmed Cases [b],Deaths [c],Recov. [d][e],Population[f],Cases/100k,Deaths/100k,Deaths/Case %,Unnamed: 8_level_0
14 / 14,"131,214","9,490","113,768","6,892,503","1,903.7",137.7,7.23,Unnamed: 8_level_1
Barnstable,1807,174,–,212990,848.4,81.7,9.63,
Berkshire,718,50,–,124944,574.7,40,6.96,
Bristol,10226,702,–,565217,1809.2,124.2,6.86,
Dukes and Nantucket,185,1,–,28731,643.9,3.5,0.54,
Essex,20257,1294,–,789034,2567.3,164,6.39,
Franklin,413,68,–,70180,588.5,96.9,16.46,
Hampden,8403,787,–,466372,1801.8,168.7,9.37,
Hampshire,1298,147,–,160830,807.1,91.4,11.33,
Middlesex,27961,2160,–,1611699,1734.9,134,7.73,
Norfolk,10430,1068,–,706775,1475.7,151.1,10.24,
Plymouth,9852,773,–,521202,1890.2,148.3,7.85,
Suffolk,24764,1142,–,803907,3080.5,142.1,4.61,
Worcester,14598,1119,–,830622,1757.5,134.7,7.67,
Unknown,302,5,,,,,1.66,
"Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]","Updated October 2, 2020Data is publicly reported by Massachusetts Department of Public Health[4][5]"
"^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]","^ County where an individual with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases include just confirmed cases. Probable cases are not included. ^ Deaths include deaths from probable and confirmed cases. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MDPH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion. ^ July 2019 population estimate from ""U.S. Census Bureau Quick Facts: Massachusetts"". United States Census Bureau. Retrieved July 8, 2020.[3]",
