date,confirmed,deaths,state
2020-03-05,1,0,Minnesota
2020-03-06,1,0,Minnesota
2020-03-07,2,0,Minnesota
2020-03-08,2,0,Minnesota
2020-03-09,5,0,Minnesota
2020-03-10,11,0,Minnesota
2020-03-11,21,0,Minnesota
2020-03-12,43,0,Minnesota
2020-03-13,62,0,Minnesota
2020-03-14,90,0,Minnesota
2020-03-15,128,0,Minnesota
2020-03-16,179,0,Minnesota
2020-03-17,246,0,Minnesota
2020-03-18,269,0,Minnesota
2020-03-19,287,0,Minnesota
2020-03-20,303,0,Minnesota
2020-03-21,327,1,Minnesota
2020-03-22,349,1,Minnesota
2020-03-23,393,1,Minnesota
2020-03-24,444,1,Minnesota
2020-03-25,502,1,Minnesota
2020-03-26,565,2,Minnesota
2020-03-27,640,4,Minnesota
2020-03-28,687,5,Minnesota
2020-03-29,725,9,Minnesota
2020-03-30,823,10,Minnesota
2020-03-31,916,12,Minnesota
2020-04-01,973,17,Minnesota
2020-04-02,"1,058",18,Minnesota
2020-04-03,"1,121",22,Minnesota
2020-04-04,"1,159",24,Minnesota
2020-04-05,"1,219",29,Minnesota
2020-04-06,"1,332",30,Minnesota
2020-04-07,"1,435",34,Minnesota
2020-04-08,"1,537",39,Minnesota
2020-04-09,"1,640",50,Minnesota
2020-04-10,"1,735",57,Minnesota
2020-04-11,"1,809",64,Minnesota
2020-04-12,"1,866",70,Minnesota
2020-04-13,"2,013",70,Minnesota
2020-04-14,"2,169",79,Minnesota
2020-04-15,"2,321",87,Minnesota
2020-04-16,"2,505",94,Minnesota
2020-04-17,"2,685",111,Minnesota
2020-04-18,"2,808",121,Minnesota
2020-04-19,"2,934",134,Minnesota
2020-04-20,"3,211",143,Minnesota
2020-04-21,"3,474",160,Minnesota
2020-04-22,"3,781",179,Minnesota
2020-04-23,"4,317",200,Minnesota
2020-04-24,"4,839",221,Minnesota
2020-04-25,"5,179",244,Minnesota
2020-04-26,"5,565",272,Minnesota
2020-04-27,"6,246",286,Minnesota
2020-04-28,"6,853",301,Minnesota
2020-04-29,"7,539",319,Minnesota
2020-04-30,"8,190",343,Minnesota
2020-05-01,"8,813",371,Minnesota
2020-05-02,"9,149",395,Minnesota
2020-05-03,"9,489",419,Minnesota
2020-05-04,"10,314",428,Minnesota
2020-05-05,"10,963",455,Minnesota
2020-05-06,"11,605",485,Minnesota
2020-05-07,"12,424",508,Minnesota
2020-05-08,"13,137",534,Minnesota
2020-05-09,"13,417",558,Minnesota
2020-05-10,"13,647",578,Minnesota
