County [a],Cases [b][c],Deaths [c],Recov. [c][d],Pop (2011),Cases / 100k,Ref.
81 / 82,"22,287",981,"17,242","2,967,297",751.1,Ref.
Adams,232,18,–,32297,718.3,
Alcorn,35,1,–,37057,94.4,
Amite,75,2,–,13131,571.2,
Attala,336,23,–,19564,1717.4,
Benton,20,0,–,8729,229.1,
Bolivar,208,13,–,34145,609.2,
Calhoun,96,4,–,14962,641.6,
Carroll,133,11,–,10597,1255.1,
Chickasaw,196,17,–,17392,1127,
Choctaw,65,3,–,8547,760.5,
Claiborne,168,9,–,9604,1749.3,
Clarke,182,21,–,16732,1087.7,
Clay,210,6,–,20634,1017.7,
Coahoma,161,6,–,26151,615.7,
Copiah,476,11,–,29449,1616.4,
Covington,238,3,–,19568,1216.3,
DeSoto,912,14,–,161252,565.6,
Forrest,729,42,–,74934,972.9,
Franklin,30,2,–,8118,369.5,
George,53,2,–,22578,234.7,
Greene,70,5,–,14400,486.1,
Grenada,195,5,–,21906,890.2,
Hancock,103,13,–,43929,234.5,
Harrison,464,7,–,187105,248,
Hinds,1536,33,–,245285,626.2,
Holmes,489,37,–,19198,2547.1,
Humphreys,93,9,–,9375,992,
Issaquena,6,1,–,1406,426.7,
Itawamba,109,8,–,23401,465.8,
Jackson,402,16,–,139668,287.8,
Jasper,212,6,–,17062,1242.5,
Jefferson,63,2,–,7726,815.4,
Jefferson Davis,90,3,–,12487,720.7,
Jones,928,47,–,67761,1369.5,
Kemper,168,13,–,10456,1606.7,
Lafayette,254,4,–,47351,536.4,
Lamar,341,7,–,55658,612.7,
Lauderdale,922,80,–,80261,1055.3,
Lawrence,129,1,–,12929,997.8,
Leake,503,16,–,23805,2113,
Lee,374,14,–,82910,451.1,
Leflore,420,47,–,32317,1299.6,
Lincoln,378,32,–,34869,1084.1,
Lowndes,384,10,–,59779,642.4,
Madison,995,31,–,95203,1045.1,
Marion,186,10,–,27088,686.7,
Marshall,142,3,–,37144,382.3,
Monroe,311,27,–,36989,840.8,
Montgomery,104,1,–,10925,951.9,
Neshoba,893,58,–,29676,3009.2,
Newton,323,8,–,21720,1487.1,
Noxubee,223,6,–,11545,1931.6,
Oktibbeha,420,19,–,47671,881,
Panola,179,5,–,34707,515.7,
Pearl River,226,32,–,55834,404.8,
Perry,55,4,–,12250,449,
Pike,278,11,–,40404,688.1,
Pontotoc,128,3,–,29957,427.3,
Prentiss,78,3,–,25276,308.6,
Quitman,49,0,–,8223,595.9,
Rankin,611,12,–,141617,431.4,
Scott,700,14,–,28264,2476.6,
Sharkey,13,0,–,4916,264.4,
Simpson,166,2,–,27503,603.6,
Smith,187,11,–,16491,1134,
Stone,42,1,–,17786,236.1,
Sunflower,155,4,–,29450,526.3,
Tallahatchie,64,1,–,15378,416.2,
Tate,182,2,–,28886,630.1,
Tippah,106,11,–,22232,476.8,
Tishomingo,52,1,–,19593,265.4,
Tunica,76,3,–,10778,705.1,
Union,128,8,–,27134,471.7,
Walthall,133,2,–,15443,861.2,
Warren,331,14,–,48773,678.7,
Washington,302,9,–,51137,590.6,
Wayne,434,8,–,20747,2091.9,
Webster,118,10,–,10253,1150.9,
Wilkinson,85,9,–,9878,860.5,
Winston,178,2,–,19198,927.2,
Yalobusha,132,7,–,12678,1041.2,
Yazoo,395,6,–,28065,1407.4,
"Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]","Updated Jun 22, 2020Data is publicly reported by Mississippi State Department of Health[30]"
"^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ MSDH is not providing recovered case numbers by county. Local health departments could be providing this information at their discretion."
