date,confirmed,deaths,state
2020-03-07,1,,Missouri
2020-03-10,1,,Missouri
2020-03-12,2,,Missouri
2020-03-13,4,,Missouri
2020-03-14,5,,Missouri
2020-03-16,8,,Missouri
2020-03-17,15,,Missouri
2020-03-18,24,1,Missouri
2020-03-19,28,1,Missouri
2020-03-20,47,1,Missouri
2020-03-21,73,3,Missouri
2020-03-22,90,3,Missouri
2020-03-23,183,3,Missouri
2020-03-24,255,5,Missouri
2020-03-25,356,8,Missouri
2020-03-26,502,8,Missouri
2020-03-27,670,9,Missouri
2020-03-28,838,10,Missouri
2020-03-29,903,12,Missouri
2020-03-30,"1,031",13,Missouri
2020-03-31,"1,327",14,Missouri
2020-04-01,"1,581",18,Missouri
2020-04-02,"1,834",19,Missouri
2020-04-03,"2,113",19,Missouri
2020-04-04,"2,291",24,Missouri
2020-04-05,"2,367",34,Missouri
2020-04-06,"2,722",39,Missouri
2020-04-07,"3,037",53,Missouri
2020-04-08,"3,327",58,Missouri
2020-04-09,"3,539",77,Missouri
2020-04-10,"3,799",96,Missouri
2020-04-11,"4,024",109,Missouri
2020-04-12,"4,160",110,Missouri
2020-04-13,"4,383",114,Missouri
2020-04-14,"4,686",133,Missouri
2020-04-15,"4,895",147,Missouri
2020-04-16,"5,111",152,Missouri
2020-04-17,"5,283",165,Missouri
2020-04-18,"5,517",175,Missouri
2020-04-19,"5,667",176,Missouri
2020-04-20,"5,807",177,Missouri
2020-04-21,"5,941",189,Missouri
2020-04-22,"6,137",208,Missouri
2020-04-23,"6,321",218,Missouri
2020-04-24,"6,625",262,Missouri
2020-04-25,"6,826",273,Missouri
2020-04-26,"6,997",274,Missouri
2020-04-27,"7,171",288,Missouri
2020-04-28,"7,303",314,Missouri
2020-04-29,"7,425",318,Missouri
2020-04-30,"7,562",329,Missouri
2020-05-01,"7,835",337,Missouri
2020-05-02,"8,154",351,Missouri
2020-05-03,"8,386",352,Missouri
2020-05-04,"8,754",358,Missouri
2020-05-05,"8,916",377,Missouri
2020-05-06,"9,102",396,Missouri
2020-05-07,"9,341",417,Missouri
2020-05-08,"9,489",449,Missouri
2020-05-09,"9,666",472,Missouri
2020-05-10,"9,844",482,Missouri
2020-05-11,"9,918",488,Missouri
2020-05-12,"10,006",524,Missouri
2020-05-13,"10,142",542,Missouri
2020-05-14,"10,317",562,Missouri
2020-05-15,"10,456",576,Missouri
2020-05-16,"10,675",589,Missouri
2020-05-17,"10,789",594,Missouri
2020-05-18,"10,945",605,Missouri
2020-05-19,"11,080",616,Missouri
2020-05-20,"11,232",631,Missouri
2020-05-21,"11,340",661,Missouri
2020-05-22,"11,558",671,Missouri
2020-05-23,"11,752",676,Missouri
2020-05-24,"11,988",681,Missouri
2020-05-25,"12,167",685,Missouri
2020-05-26,"12,291",686,Missouri
2020-05-27,"12,492",696,Missouri
2020-05-28,"12,673",707,Missouri
2020-05-29,"12,795",738,Missouri
2020-05-30,"12,962",771,Missouri
2020-05-31,"13,147",772,Missouri
2020-06-01,"13,327",775,Missouri
2020-06-02,"13,575",783,Missouri
2020-06-03,"13,767",786,Missouri
2020-06-04,"14,057",789,Missouri
2020-06-05,"14,253",799,Missouri
2020-06-06,"14,442",799,Missouri
2020-06-07,"14,553",809,Missouri
2020-06-08,"14,734",819,Missouri
2020-06-09,"14,913",840,Missouri
2020-06-10,"15,187",848,Missouri
2020-06-11,"15,390",860,Missouri
2020-06-12,"15,585",872,Missouri
2020-06-13,"15,810",879,Missouri
2020-06-14,"15,983",879,Missouri
2020-06-15,"16,189",880,Missouri
2020-06-16,"16,417",882,Missouri
2020-06-17,"16,625",909,Missouri
2020-06-18,"16,908",946,Missouri
2020-06-19,"17,201",948,Missouri
2020-06-20,"17,590",955,Missouri
2020-06-21,"18,003",956,Missouri
2020-06-22,"18,143",961,Missouri
2020-06-23,"18,577",966,Missouri
2020-06-24,"18,868",975,Missouri
2020-06-25,"19,421",982,Missouri
2020-06-26,"19,914",990,Missouri
2020-06-27,"20,261",996,Missouri
2020-06-28,"20,575",997,Missouri
2020-06-29,"21,043",998,Missouri
2020-06-30,"21,551","1,015",Missouri
2020-07-01,"21,927","1,017",Missouri
2020-07-02,"22,283","1,022",Missouri
2020-07-03,"22,830","1,026",Missouri
2020-07-04,"23,215","1,027",Missouri
2020-07-05,"23,436","1,028",Missouri
2020-07-06,"23,856","1,028",Missouri
2020-07-07,"24,629","1,042",Missouri
2020-07-08,"25,204","1,046",Missouri
2020-07-09,"25,999","1,051",Missouri
2020-07-10,"26,661","1,064",Missouri
2020-07-11,"27,133","1,069",Missouri
2020-07-12,"27,443","1,069",Missouri
2020-07-13,"27,890","1,083",Missouri
2020-07-14,"28,826","1,093",Missouri
2020-07-15,"29,714","1,103",Missouri
2020-07-16,"30,422","1,113",Missouri
2020-07-17,"31,290","1,121",Missouri
2020-07-18,"32,248","1,130",Missouri
2020-07-19,"33,094","1,129",Missouri
2020-07-20,"33,624","1,132",Missouri
2020-07-21,"34,762","1,143",Missouri
2020-07-22,"36,063","1,159",Missouri
2020-07-23,"37,700","1,179",Missouri
2020-07-24,"39,352","1,178",Missouri
2020-07-25,"40,709","1,182",Missouri
2020-07-26,"41,927","1,197",Missouri
2020-07-27,"43,050","1,201",Missouri
2020-07-28,"44,823","1,213",Missouri
2020-07-29,"46,750","1,220",Missouri
2020-07-30,"48,834","1,233",Missouri
2020-07-31,"50,323","1,243",Missouri
2020-08-01,"51,258","1,253",Missouri
2020-08-02,"51,840","1,253",Missouri
2020-08-03,"52,887","1,255",Missouri
2020-08-04,"54,080","1,266",Missouri
2020-08-05,"55,321","1,272",Missouri
2020-08-06,"56,383","1,280",Missouri
2020-08-07,"57,379","1,301",Missouri
2020-08-08,"57,379","1,301",Missouri
2020-08-09,"57,379","1,301",Missouri
2020-08-10,"59,954","1,307",Missouri
2020-08-11,"60,935","1,312",Missouri
2020-08-12,"62,530","1,323",Missouri
2020-08-13,"63,797","1,325",Missouri
2020-08-14,"65,270","1,335",Missouri
2020-08-15,"66,397","1,346",Missouri
2020-08-16,"67,475","1,367",Missouri
2020-08-17,"68,623","1,396",Missouri
2020-08-18,"69,417","1,402",Missouri
2020-08-19,"70,675","1,414",Missouri
2020-08-20,"71,733","1,417",Missouri
2020-08-21,"72,964","1,419",Missouri
2020-08-22,"74,257","1,425",Missouri
2020-08-23,"75,075","1,426",Missouri
2020-08-24,"75,944","1,426",Missouri
2020-08-25,"76,636","1,440",Missouri
2020-08-26,"78,062","1,449",Missouri
2020-08-27,"79,574","1,450",Missouri
2020-08-28,"80,992","1,464",Missouri
2020-08-29,"82,190","1,496",Missouri
2020-08-30,"83,655","1,508",Missouri
2020-08-31,"84,697","1,530",Missouri
2020-09-01,"85,755","1,538",Missouri
2020-09-02,"87,213","1,542",Missouri
2020-09-03,"88,610","1,545",Missouri
2020-09-04,"90,215","1,562",Missouri
2020-09-05,"92,202","1,639",Missouri
2020-09-06,"93,434","1,658",Missouri
2020-09-07,"94,340","1,659",Missouri
2020-09-08,"95,113","1,661",Missouri
2020-09-09,"96,475","1,673",Missouri
2020-09-10,"97,591","1,691",Missouri
2020-09-11,"99,160","1,701",Missouri
2020-09-12,"101,134","1,704",Missouri
2020-09-13,"102,747","1,705",Missouri
2020-09-14,"104,079","1,714",Missouri
2020-09-15,"105,396","1,732",Missouri
2020-09-16,"106,857","1,739",Missouri
2020-09-17,"108,334","1,757",Missouri
2020-09-18,"110,129","1,780",Missouri
2020-09-19,"111,516","1,793",Missouri
2020-09-20,"112,844","1,795",Missouri
2020-09-21,"114,307","1,807",Missouri
2020-09-22,"115,366","1,864",Missouri
2020-09-23,"116,946","1,947",Missouri
