date,confirmed,deaths,state
2020-03-11,1,,Montana
2020-03-12,1,,Montana
2020-03-13,5,,Montana
2020-03-14,7,,Montana
2020-03-15,7,,Montana
2020-03-16,8,,Montana
2020-03-17,11,,Montana
2020-03-18,13,,Montana
2020-03-19,17,,Montana
2020-03-20,24,,Montana
2020-03-21,32,,Montana
2020-03-22,35,,Montana
2020-03-23,47,,Montana
2020-03-24,54,,Montana
2020-03-25,73,,Montana
2020-03-26,108,1,Montana
2020-03-27,131,1,Montana
2020-03-28,156,2,Montana
2020-03-29,173,3,Montana
2020-03-30,187,4,Montana
2020-03-31,210,5,Montana
2020-04-01,228,5,Montana
2020-04-02,244,5,Montana
2020-04-03,266,5,Montana
2020-04-04,287,6,Montana
2020-04-05,300,6,Montana
2020-04-06,318,6,Montana
2020-04-07,331,6,Montana
2020-04-08,350,6,Montana
2020-04-09,365,6,Montana
2020-04-10,377,6,Montana
2020-04-11,387,6,Montana
2020-04-12,394,7,Montana
2020-04-13,399,7,Montana
2020-04-14,404,7,Montana
2020-04-15,415,7,Montana
2020-04-16,422,8,Montana
2020-04-17,426,10,Montana
2020-04-18,433,10,Montana
2020-04-19,433,10,Montana
2020-04-20,437,12,Montana
2020-04-21,439,14,Montana
2020-04-22,442,14,Montana
2020-04-23,444,14,Montana
2020-04-24,445,14,Montana
2020-04-25,448,14,Montana
2020-04-26,449,14,Montana
2020-04-27,451,15,Montana
2020-04-28,451,16,Montana
2020-04-29,453,16,Montana
2020-04-30,453,16,Montana
2020-05-01,455,16,Montana
2020-05-02,455,16,Montana
2020-05-03,456,16,Montana
2020-05-04,456,16,Montana
2020-05-05,456,16,Montana
2020-05-06,456,16,Montana
2020-05-07,458,16,Montana
2020-05-08,458,16,Montana
2020-05-09,458,16,Montana
2020-05-10,459,16,Montana
2020-05-11,461,16,Montana
2020-05-12,462,16,Montana
2020-05-13,462,16,Montana
2020-05-14,466,16,Montana
2020-05-15,468,16,Montana
2020-05-16,468,16,Montana
2020-05-17,470,16,Montana
2020-05-18,471,16,Montana
2020-05-19,478,16,Montana
2020-05-20,479,16,Montana
2020-05-21,479,16,Montana
2020-05-22,479,16,Montana
2020-05-23,479,16,Montana
2020-05-24,479,16,Montana
2020-05-25,479,17,Montana
2020-05-26,481,17,Montana
2020-05-27,485,17,Montana
2020-05-28,493,17,Montana
2020-05-29,505,17,Montana
2020-05-30,515,17,Montana
2020-05-31,519,17,Montana
2020-06-01,523,17,Montana
2020-06-02,525,17,Montana
2020-06-03,539,17,Montana
2020-06-04,539,18,Montana
2020-06-05,540,18,Montana
2020-06-06,545,18,Montana
2020-06-07,548,18,Montana
2020-06-08,553,18,Montana
2020-06-09,560,18,Montana
2020-06-10,563,18,Montana
2020-06-11,573,18,Montana
2020-06-12,588,18,Montana
2020-06-13,601,19,Montana
2020-06-14,609,19,Montana
2020-06-15,614,19,Montana
2020-06-16,630,20,Montana
2020-06-17,655,20,Montana
2020-06-18,666,20,Montana
2020-06-19,698,20,Montana
2020-06-20,717,20,Montana
2020-06-21,734,21,Montana
2020-06-22,743,21,Montana
2020-06-23,766,21,Montana
2020-06-24,803,21,Montana
2020-06-25,829,22,Montana
2020-06-26,852,22,Montana
2020-06-27,863,22,Montana
2020-06-28,919,22,Montana
2020-06-29,967,22,Montana
2020-06-30,"1,016",22,Montana
2020-07-01,"1,083",22,Montana
2020-07-02,"1,128",23,Montana
2020-07-03,"1,167",23,Montana
2020-07-04,"1,212",23,Montana
2020-07-05,"1,249",23,Montana
2020-07-06,"1,327",23,Montana
2020-07-07,"1,371",23,Montana
2020-07-08,"1,466",25,Montana
2020-07-09,"1,593",28,Montana
2020-07-10,"1,677",29,Montana
2020-07-11,"1,758",29,Montana
2020-07-12,"1,843",32,Montana
2020-07-13,"1,952",34,Montana
2020-07-14,"2,096",34,Montana
2020-07-15,"2,231",35,Montana
2020-07-16,"2,366",37,Montana
2020-07-17,"2,471",37,Montana
2020-07-18,"2,533",37,Montana
2020-07-19,"2,621",39,Montana
2020-07-20,"2,712",40,Montana
2020-07-21,"2,813",42,Montana
2020-07-22,"2,910",43,Montana
2020-07-23,"3,039",46,Montana
2020-07-24,"3,260",46,Montana
2020-07-25,"3,342",46,Montana
2020-07-26,"3,381",47,Montana
2020-07-27,"3,475",51,Montana
2020-07-28,"3,676",54,Montana
2020-07-29,"3,814",55,Montana
2020-07-30,"3,965",60,Montana
2020-07-31,"4,081",61,Montana
2020-08-01,"4,193",61,Montana
2020-08-02,"4,233",64,Montana
2020-08-03,"4,314",64,Montana
2020-08-04,"4,429",65,Montana
2020-08-05,"4,602",65,Montana
2020-08-06,"4,757",70,Montana
2020-08-07,"4,889",75,Montana
2020-08-08,"4,952",75,Montana
2020-08-09,"5,017",75,Montana
2020-08-10,"5,104",77,Montana
2020-08-11,"5,268",80,Montana
2020-08-12,"5,407",81,Montana
2020-08-13,"5,541",81,Montana
2020-08-14,"5,659",82,Montana
2020-08-15,"5,750",82,Montana
2020-08-16,"5,792",82,Montana
2020-08-17,"5,846",84,Montana
2020-08-18,"5,956",84,Montana
2020-08-19,"6,072",89,Montana
2020-08-20,"6,216",89,Montana
2020-08-21,"6,376",90,Montana
2020-08-22,"6,429",90,Montana
2020-08-23,"6,489",91,Montana
2020-08-24,"6,624",97,Montana
2020-08-25,"6,785",98,Montana
2020-08-26,"6,929",98,Montana
2020-08-27,"7,063",100,Montana
2020-08-28,"7,251",104,Montana
2020-08-29,"7,340",104,Montana
2020-08-30,"7,421",104,Montana
2020-08-31,"7,509",105,Montana
2020-09-01,"7,691",109,Montana
2020-09-02,"7,871",111,Montana
2020-09-03,"8,019",114,Montana
2020-09-04,"8,164",116,Montana
2020-09-05,"8,264",117,Montana
2020-09-06,"8,316",118,Montana
2020-09-07,"8,381",119,Montana
2020-09-08,"8,468",122,Montana
2020-09-09,"8,663",123,Montana
2020-09-10,"8,785",131,Montana
2020-09-11,"8,925",133,Montana
2020-09-12,"9,021",135,Montana
2020-09-13,"9,107",138,Montana
2020-09-14,"9,246",140,Montana
2020-09-15,"9,431",141,Montana
2020-09-16,"9,647",143,Montana
2020-09-17,"9,871",146,Montana
2020-09-18,"10,163",156,Montana
2020-09-19,"10,299",157,Montana
2020-09-20,"10,429",160,Montana
2020-09-21,"10,700",163,Montana
2020-09-22,"10,912",165,Montana
2020-09-23,"11,242",165,Montana
2020-09-24,"11,564",170,Montana
2020-09-25,"11,907",171,Montana
2020-09-26,"12,107",173,Montana
2020-09-27,"12,413",174,Montana
2020-09-28,"12,724",177,Montana
2020-09-29,"13,071",180,Montana
2020-09-30,"13,500",181,Montana
2020-10-01,"13,855",186,Montana
