County[a],Cases[b],Deaths,Recov.,Nonres.[c],Population[d],Cases / 100k
55 / 56,"13,855",186,"9,428",250,"1,068,778","1,296.3"
Beaverhead,123,1,75,3,9453,1301.2
Big Horn,944,23,787,1,13319,7087.6
Blaine,39,0,19,0,6681,583.7
Broadwater,18,0,17,0,6237,288.6
Carbon,127,0,114,3,10725,1184.1
Carter,9,0,1,0,1252,718.8
Cascade,825,6,434,20,81366,1013.9
Chouteau,36,0,21,0,5635,638.9
Custer,122,2,108,4,11402,1070.0
Daniels,6,0,6,0,1690,355.0
Dawson,82,1,60,3,8613,952.0
Deer Lodge[e],123,0,113,1,9140,1345.7
Fallon,14,0,4,1,2846,491.9
Fergus,67,1,59,2,11050,606.3
Flathead,1265,19,638,46,103806,1218.6
Gallatin,1491,4,1262,49,114434,1302.9
Garfield,18,0,17,0,1258,1430.8
Glacier,410,1,161,1,13753,2981.2
Golden Valley,5,0,5,0,821,609.0
Granite,26,0,22,1,3379,769.5
Hill,196,3,139,0,16484,1189.0
Jefferson,87,0,51,0,12221,711.9
Judith Basin,8,0,6,0,2007,398.6
Lake,287,1,245,10,30458,942.3
Lewis and Clark,347,3,197,6,69432,499.8
Liberty,20,0,14,0,2337,855.8
Lincoln,134,3,103,3,19980,670.7
Madison,113,1,100,27,8600,1314.0
McCone,25,0,21,0,1664,1502.4
Meagher,30,2,22,1,1862,1611.2
Mineral,5,0,2,0,4397,113.7
Missoula,884,3,546,17,119600,739.1
Musselshell,37,1,33,0,4633,798.6
Park,112,0,86,10,16606,674.5
Petroleum,0,–,–,–,487,0.0
Phillips,122,0,118,0,3954,3085.5
Pondera,63,0,21,0,5911,1065.8
Powder River,21,0,7,0,1682,1248.5
Powell,12,0,10,1,6890,174.2
Prairie,5,0,1,0,1077,464.3
Ravalli,161,2,131,8,43806,367.5
Richland,117,2,71,0,10803,1083.0
Roosevelt,416,7,91,0,11004,3780.4
Rosebud,655,19,541,0,8937,7329.1
Sanders,48,1,43,0,12113,396.3
Sheridan,19,0,12,0,3309,574.2
Silver Bow[f],270,0,225,5,34915,773.3
Stillwater,85,2,45,2,9642,881.6
Sweet Grass,48,2,39,3,3737,1284.5
Teton,29,0,21,0,6147,471.8
Toole,120,6,68,2,4736,2533.8
Treasure,3,0,3,0,696,431.0
Valley,103,1,61,0,7396,1392.6
Wheatland,20,1,11,0,2126,940.7
Wibaux,10,0,9,0,969,1032.0
Yellowstone,3493,68,2412,20,161300,2165.5
"Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]","Updated October 2, 2020Data is publicly reported by Montana Department of Public Health and Human Services[48][49]"
