date,confirmed,deaths,state
2020-03-08,2,,Nebraska
2020-03-09,3,,Nebraska
2020-03-10,4,,Nebraska
2020-03-11,5,,Nebraska
2020-03-12,9,,Nebraska
2020-03-13,13,,Nebraska
2020-03-14,15,,Nebraska
2020-03-15,16,,Nebraska
2020-03-16,17,,Nebraska
2020-03-17,22,,Nebraska
2020-03-18,26,,Nebraska
2020-03-19,34,,Nebraska
2020-03-20,38,,Nebraska
2020-03-21,44,,Nebraska
2020-03-22,48,,Nebraska
2020-03-23,53,,Nebraska
2020-03-24,65,,Nebraska
2020-03-25,72,,Nebraska
2020-03-26,74,,Nebraska
2020-03-27,89,2,Nebraska
2020-03-28,115,2,Nebraska
2020-03-29,135,2,Nebraska
2020-03-30,154,3,Nebraska
2020-03-31,181,4,Nebraska
2020-04-01,220,5,Nebraska
2020-04-02,269,6,Nebraska
2020-04-03,293,6,Nebraska
2020-04-04,330,8,Nebraska
2020-04-05,375,8,Nebraska
2020-04-06,429,8,Nebraska
2020-04-07,477,12,Nebraska
2020-04-08,522,14,Nebraska
2020-04-09,576,15,Nebraska
2020-04-10,648,17,Nebraska
2020-04-11,709,17,Nebraska
2020-04-12,812,17,Nebraska
2020-04-13,866,18,Nebraska
2020-04-14,911,20,Nebraska
2020-04-15,980,21,Nebraska
2020-04-16,"1,072",24,Nebraska
2020-04-17,"1,137",24,Nebraska
2020-04-18,"1,287",28,Nebraska
2020-04-19,"1,475",28,Nebraska
2020-04-20,"1,653",33,Nebraska
2020-04-21,"1,759",38,Nebraska
2020-04-22,"1,814",45,Nebraska
2020-04-23,"2,201",47,Nebraska
2020-04-24,"2,534",50,Nebraska
2020-04-25,"2,843",53,Nebraska
2020-04-26,"3,148",55,Nebraska
2020-04-27,"3,479",55,Nebraska
2020-04-28,"3,494",55,Nebraska
2020-04-29,"3,922",68,Nebraska
2020-04-30,"4,466",70,Nebraska
2020-05-01,"4,991",73,Nebraska
2020-05-02,"5,315",76,Nebraska
2020-05-03,"5,653",78,Nebraska
2020-05-04,"6,104",79,Nebraska
2020-05-05,"6,465",82,Nebraska
2020-05-06,"6,834",86,Nebraska
2020-05-07,"7,511",90,Nebraska
2020-05-08,"7,895",92,Nebraska
2020-05-09,"8,254",96,Nebraska
2020-05-10,"8,315",98,Nebraska
2020-05-11,"8,572",100,Nebraska
2020-05-12,"8,692",103,Nebraska
2020-05-13,"9,075",107,Nebraska
2020-05-14,"9,416",113,Nebraska
2020-05-15,"9,772",117,Nebraska
2020-05-16,"10,220",119,Nebraska
2020-05-17,"10,348",121,Nebraska
2020-05-18,"10,625",125,Nebraska
2020-05-19,"10,846",132,Nebraska
2020-05-20,"11,122",138,Nebraska
2020-05-21,"11,425",147,Nebraska
2020-05-22,"11,662",149,Nebraska
2020-05-23,"11,989",150,Nebraska
2020-05-24,"12,134",151,Nebraska
2020-05-25,"12,354",152,Nebraska
2020-05-26,"12,618",153,Nebraska
2020-05-27,"12,975",163,Nebraska
2020-05-28,"13,260",164,Nebraska
2020-05-29,"13,654",164,Nebraska
2020-05-30,"13,905",170,Nebraska
2020-05-31,"14,101",170,Nebraska
2020-06-01,"14,345",178,Nebraska
2020-06-02,"14,611",181,Nebraska
2020-06-03,"14,866",187,Nebraska
2020-06-04,"15,117",186,Nebraska
2020-06-05,"15,379",186,Nebraska
2020-06-06,"15,543",188,Nebraska
2020-06-07,"15,634",188,Nebraska
2020-06-08,"15,752",188,Nebraska
2020-06-09,"15,883",191,Nebraska
2020-06-10,"16,025",195,Nebraska
2020-06-11,"16,315",212,Nebraska
2020-06-12,"16,513",216,Nebraska
2020-06-13,"16,633",216,Nebraska
2020-06-14,"16,725",216,Nebraska
2020-06-15,"16,851",220,Nebraska
2020-06-16,"17,031",231,Nebraska
2020-06-17,"17,226",234,Nebraska
2020-06-18,"17,415",240,Nebraska
2020-06-19,"17,591",244,Nebraska
2020-06-20,"17,707",244,Nebraska
2020-06-21,"17,810",244,Nebraska
2020-06-22,"17,957",249,Nebraska
2020-06-23,"18,092",256,Nebraska
2020-06-24,"18,221",257,Nebraska
2020-06-25,"18,346",260,Nebraska
2020-06-26,"18,524",266,Nebraska
2020-06-27,"18,775",267,Nebraska
2020-06-28,"18,899",267,Nebraska
2020-06-29,"19,042",269,Nebraska
2020-06-30,"19,177",274,Nebraska
2020-07-01,"19,310",276,Nebraska
2020-07-02,"19,452",282,Nebraska
2020-07-03,"19,660",284,Nebraska
2020-07-04,"19,827",284,Nebraska
2020-07-05,"19,929",284,Nebraska
2020-07-06,"20,046",283,Nebraska
2020-07-07,"20,201",282,Nebraska
2020-07-08,"20,425",282,Nebraska
2020-07-09,"20,623",284,Nebraska
2020-07-10,"20,777",284,Nebraska
2020-07-11,"20,998",285,Nebraska
2020-07-12,"21,172",285,Nebraska
2020-07-13,"21,399",284,Nebraska
2020-07-14,"21,717",288,Nebraska
2020-07-15,"21,979",291,Nebraska
2020-07-16,"22,134",299,Nebraska
2020-07-17,"22,361",301,Nebraska
2020-07-18,"22,481",301,Nebraska
2020-07-19,"22,583",301,Nebraska
2020-07-20,"22,847",306,Nebraska
2020-07-21,"23,190",310,Nebraska
2020-07-22,"23,486",311,Nebraska
2020-07-23,"23,818",316,Nebraska
2020-07-24,"24,174",316,Nebraska
2020-07-25,"24,395",316,Nebraska
2020-07-26,"24,618",316,Nebraska
2020-07-27,"24,899",317,Nebraska
2020-07-28,"25,157",321,Nebraska
2020-07-29,"25,422",324,Nebraska
2020-07-30,"25,766",328,Nebraska
2020-07-31,"26,211",332,Nebraska
2020-08-01,"26,391",332,Nebraska
2020-08-02,"26,702",332,Nebraska
2020-08-03,"26,956",332,Nebraska
2020-08-04,"27,178",332,Nebraska
2020-08-05,"27,489",335,Nebraska
2020-08-06,"27,821",340,Nebraska
2020-08-07,"28,104",345,Nebraska
2020-08-08,"28,245",345,Nebraska
2020-08-09,"28,432",345,Nebraska
2020-08-10,"28,696",348,Nebraska
2020-08-11,"29,030",351,Nebraska
2020-08-12,"29,244",356,Nebraska
2020-08-13,"29,660",360,Nebraska
2020-08-14,"29,988",361,Nebraska
2020-08-15,"30,241",361,Nebraska
2020-08-16,"30,372",361,Nebraska
2020-08-17,"30,563",362,Nebraska
2020-08-18,"30,825",368,Nebraska
2020-08-19,"31,040",371,Nebraska
2020-08-20,"31,348",373,Nebraska
2020-08-21,"31,626",376,Nebraska
2020-08-22,"31,780",376,Nebraska
2020-08-23,"31,889",378,Nebraska
2020-08-24,"32,047",383,Nebraska
2020-08-25,"32,348",383,Nebraska
2020-08-26,"32,727",386,Nebraska
2020-08-27,"33,101",391,Nebraska
2020-08-28,"33,439",392,Nebraska
2020-08-29,"33,753",392,Nebraska
2020-08-30,"34,046",392,Nebraska
2020-08-31,"34,287",397,Nebraska
,,,Nebraska
2020-09-29,"45,564",478,Nebraska
