date,confirmed,deaths,state
2020-03-04,1,,Nevada
2020-03-05,3,,Nevada
2020-03-06,4,,Nevada
2020-03-07,4,,Nevada
2020-03-08,5,,Nevada
2020-03-09,5,,Nevada
2020-03-10,9,,Nevada
2020-03-11,12,,Nevada
2020-03-12,22,,Nevada
2020-03-13,34,,Nevada
2020-03-14,45,,Nevada
2020-03-15,63,1,Nevada
2020-03-16,73,1,Nevada
2020-03-17,78,1,Nevada
2020-03-18,101,2,Nevada
2020-03-19,109,3,Nevada
2020-03-20,124,3,Nevada
2020-03-21,154,5,Nevada
2020-03-22,190,7,Nevada
2020-03-23,278,8,Nevada
2020-03-24,321,13,Nevada
2020-03-25,420,13,Nevada
2020-03-26,535,17,Nevada
2020-03-27,621,21,Nevada
2020-03-28,738,25,Nevada
2020-03-29,996,28,Nevada
2020-03-30,"1,113",32,Nevada
2020-03-31,"1,279",37,Nevada
2020-04-01,"1,458",45,Nevada
2020-04-02,"1,514",51,Nevada
2020-04-03,"1,742",59,Nevada
2020-04-04,"1,836",70,Nevada
2020-04-05,"1,953",76,Nevada
2020-04-06,"2,087",79,Nevada
2020-04-07,"2,318",91,Nevada
2020-04-08,"2,456",101,Nevada
2020-04-09,"2,584",110,Nevada
2020-04-10,"2,700",120,Nevada
2020-04-11,"2,836",125,Nevada
2020-04-12,"2,971",128,Nevada
2020-04-13,"3,088",133,Nevada
2020-04-14,"3,211",141,Nevada
2020-04-15,"3,321",150,Nevada
2020-04-16,"3,524",158,Nevada
2020-04-17,"3,626",162,Nevada
2020-04-18,"3,728",168,Nevada
2020-04-19,"3,830",172,Nevada
2020-04-20,"3,937",180,Nevada
2020-04-21,"4,081",193,Nevada
2020-04-22,"4,208",201,Nevada
2020-04-23,"4,398",210,Nevada
2020-04-24,"4,539",216,Nevada
2020-04-25,"4,602",229,Nevada
2020-04-26,"4,690",235,Nevada
2020-04-27,"4,805",245,Nevada
2020-04-28,"4,898",251,Nevada
2020-04-29,"4,998",257,Nevada
2020-04-30,"5,227",269,Nevada
2020-05-01,"5,311",277,Nevada
2020-05-02,"5,423",281,Nevada
2020-05-03,"5,491",287,Nevada
2020-05-04,"5,594",291,Nevada
2020-05-05,"5,663",295,Nevada
2020-05-06,"5,766",309,Nevada
2020-05-07,"5,884",318,Nevada
2020-05-08,"6,028",326,Nevada
2020-05-09,"6,098",332,Nevada
2020-05-10,"6,152",337,Nevada
2020-05-11,"6,311",342,Nevada
2020-05-12,"6,394",349,Nevada
2020-05-13,"6,499",354,Nevada
2020-05-14,"6,614",357,Nevada
2020-05-15,"6,709",367,Nevada
2020-05-16,"6,857",368,Nevada
2020-05-17,"6,906",374,Nevada
2020-05-18,"7,046",382,Nevada
2020-05-19,"7,166",389,Nevada
2020-05-20,"7,255",392,Nevada
2020-05-21,"7,401",399,Nevada
2020-05-22,"7,696",402,Nevada
2020-05-23,"7,770",406,Nevada
2020-05-24,"7,879",410,Nevada
2020-05-25,"7,997",413,Nevada
2020-05-26,"8,113",415,Nevada
2020-05-27,"8,208",419,Nevada
2020-05-28,"8,350",428,Nevada
2020-05-29,"8,495",437,Nevada
2020-05-30,"8,593",441,Nevada
2020-05-31,"8,688",446,Nevada
2020-06-01,"8,830",447,Nevada
2020-06-02,"8,931",454,Nevada
2020-06-03,"9,090",457,Nevada
2020-06-04,"9,266",462,Nevada
2020-06-05,"9,461",462,Nevada
2020-06-06,"9,649",465,Nevada
2020-06-07,"9,786",467,Nevada
2020-06-08,"10,030",471,Nevada
2020-06-09,"10,164",474,Nevada
2020-06-10,"10,399",476,Nevada
2020-06-11,"10,676",477,Nevada
2020-06-12,"10,946",478,Nevada
2020-06-13,"11,173",481,Nevada
2020-06-14,"11,279",483,Nevada
2020-06-15,"11,658",487,Nevada
2020-06-16,"11,842",489,Nevada
2020-06-17,"12,076",490,Nevada
2020-06-18,"12,486",495,Nevada
2020-06-19,"12,931",496,Nevada
2020-06-20,"13,205",499,Nevada
2020-06-21,"13,535",502,Nevada
2020-06-22,"13,997",504,Nevada
2020-06-23,"14,592",505,Nevada
2020-06-24,"15,479",509,Nevada
2020-06-25,"15,860",512,Nevada
2020-06-26,"16,339",519,Nevada
2020-06-27,"17,160",525,Nevada
2020-06-28,"17,894",528,Nevada
2020-06-29,"18,456",533,Nevada
2020-06-30,"19,101",537,Nevada
2020-07-01,"19,733",545,Nevada
2020-07-02,"20,718",552,Nevada
2020-07-03,"21,575",562,Nevada
2020-07-04,"22,418",567,Nevada
2020-07-05,"22,909",575,Nevada
2020-07-06,"23,785",583,Nevada
2020-07-07,"24,301",595,Nevada
2020-07-08,"24,904",606,Nevada
2020-07-09,"25,908",614,Nevada
2020-07-10,"26,838",627,Nevada
2020-07-11,"27,683",637,Nevada
2020-07-12,"28,515",645,Nevada
2020-07-13,"29,619",660,Nevada
2020-07-14,"30,468",671,Nevada
2020-07-15,"31,915",686,Nevada
2020-07-16,"33,295",698,Nevada
2020-07-17,"34,477",708,Nevada
2020-07-18,"35,765",723,Nevada
2020-07-19,"36,713",739,Nevada
2020-07-20,"37,528",756,Nevada
2020-07-21,"38,657",774,Nevada
2020-07-22,"39,919",785,Nevada
2020-07-23,"40,885",797,Nevada
2020-07-24,"41,816",812,Nevada
2020-07-25,"42,834",821,Nevada
2020-07-26,"43,831",839,Nevada
2020-07-27,"44,936",855,Nevada
2020-07-28,"45,806",863,Nevada
2020-07-29,"46,824",883,Nevada
2020-07-30,"48,088",895,Nevada
2020-07-31,"49,074",913,Nevada
2020-08-01,"50,205",932,Nevada
2020-08-02,"51,199",949,Nevada
2020-08-03,"52,179",961,Nevada
2020-08-04,"52,828",978,Nevada
2020-08-05,"53,557","1,004",Nevada
2020-08-06,"54,533","1,029",Nevada
2020-08-07,"55,419","1,046",Nevada
2020-08-08,"56,230","1,065",Nevada
2020-08-09,"56,972","1,084",Nevada
2020-08-10,"57,520","1,098",Nevada
