County [a],Cases [b][c],Deaths [c],Active [c],Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
10 / 10,"5,914",382,826,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Belknap,85,2,11,,,
Carroll,63,0,16,,,
Cheshire,73,2,14,,,
Coos,9,0,4,,,
Grafton,88,1,14,,,
Hillsborough,3348,253,512,,,
Merrimack,419,18,50,,,
Rockingham,1495,92,157,,,
Strafford,296,13,35,,,
Sullivan,35,1,11,,,
Unassigned,3,0,2,,,
"Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]","Updated July 7, 2020Data is publicly reported by New Hampshire Department of Health and Human Services[38][39][40]"
"^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero."
