date,confirmed,deaths,state
2020-03-04,1,,New_Jersey
2020-03-05,2,,New_Jersey
2020-03-06,4,,New_Jersey
2020-03-07,6,,New_Jersey
2020-03-08,11,,New_Jersey
2020-03-09,16,,New_Jersey
2020-03-10,22,1,New_Jersey
2020-03-11,28,1,New_Jersey
2020-03-12,48,1,New_Jersey
2020-03-13,67,1,New_Jersey
2020-03-14,97,1,New_Jersey
2020-03-15,176,2,New_Jersey
2020-03-16,267,2,New_Jersey
2020-03-17,425,3,New_Jersey
2020-03-18,732,5,New_Jersey
2020-03-19,896,9,New_Jersey
2020-03-20,"1,336",11,New_Jersey
2020-03-21,"1,913",16,New_Jersey
2020-03-22,"2,844",20,New_Jersey
2020-03-23,"3,675",27,New_Jersey
2020-03-24,"4,402",44,New_Jersey
2020-03-25,"6,876",62,New_Jersey
2020-03-26,"8,825",81,New_Jersey
2020-03-27,"11,124",108,New_Jersey
2020-03-28,"13,386",140,New_Jersey
2020-03-29,"16,618",161,New_Jersey
2020-03-30,"18,696",198,New_Jersey
2020-03-31,"22,255",267,New_Jersey
2020-04-01,"25,590",355,New_Jersey
2020-04-02,"29,895",537,New_Jersey
2020-04-03,"34,124",646,New_Jersey
2020-04-04,"37,505",846,New_Jersey
2020-04-05,"41,090",917,New_Jersey
2020-04-06,"44,416","1,003",New_Jersey
2020-04-07,"47,437","1,232",New_Jersey
2020-04-08,"51,027","1,504",New_Jersey
2020-04-09,"54,588","1,709",New_Jersey
2020-04-10,"58,151","1,932",New_Jersey
2020-04-11,"61,850","2,183",New_Jersey
2020-04-12,"64,584","2,350",New_Jersey
2020-04-13,"68,824","2,443",New_Jersey
2020-04-14,"71,030","2,805",New_Jersey
2020-04-15,"75,317","3,156",New_Jersey
2020-04-16,"78,467","3,518",New_Jersey
2020-04-17,"81,420","3,840",New_Jersey
2020-04-18,"85,301","4,070",New_Jersey
2020-04-19,"88,806","4,202",New_Jersey
2020-04-20,"92,387","4,377",New_Jersey
2020-04-21,"95,865","4,753",New_Jersey
