date,confirmed,deaths,state
2020-03-11,4,,New_Mexico
2020-03-12,6,,New_Mexico
2020-03-13,10,,New_Mexico
2020-03-14,13,,New_Mexico
2020-03-15,17,,New_Mexico
2020-03-16,21,,New_Mexico
2020-03-17,23,,New_Mexico
2020-03-18,28,,New_Mexico
2020-03-19,35,,New_Mexico
2020-03-20,43,,New_Mexico
2020-03-21,57,,New_Mexico
2020-03-22,65,,New_Mexico
2020-03-23,83,,New_Mexico
2020-03-24,100,,New_Mexico
2020-03-25,112,1,New_Mexico
2020-03-26,136,1,New_Mexico
2020-03-27,191,1,New_Mexico
2020-03-28,208,2,New_Mexico
2020-03-29,237,2,New_Mexico
2020-03-30,281,4,New_Mexico
2020-03-31,315,5,New_Mexico
2020-04-01,363,6,New_Mexico
2020-04-02,403,7,New_Mexico
2020-04-03,495,10,New_Mexico
2020-04-04,543,11,New_Mexico
2020-04-05,624,12,New_Mexico
2020-04-06,686,12,New_Mexico
2020-04-07,794,13,New_Mexico
2020-04-08,865,16,New_Mexico
2020-04-09,989,17,New_Mexico
2020-04-10,"1,091",19,New_Mexico
2020-04-11,"1,174",20,New_Mexico
2020-04-12,"1,245",26,New_Mexico
2020-04-13,"1,345",31,New_Mexico
2020-04-14,"1,407",36,New_Mexico
2020-04-15,"1,484",36,New_Mexico
2020-04-16,"1,597",44,New_Mexico
2020-04-17,"1,711",51,New_Mexico
2020-04-18,"1,798",53,New_Mexico
2020-04-19,"1,845",55,New_Mexico
2020-04-20,"1,971",58,New_Mexico
2020-04-21,"2,072",65,New_Mexico
2020-04-22,"2,210",71,New_Mexico
2020-04-23,"2,379",78,New_Mexico
2020-04-24,"2,521",84,New_Mexico
2020-04-25,"2,660",93,New_Mexico
2020-04-26,"2,726",99,New_Mexico
2020-04-27,"2,823",104,New_Mexico
2020-04-28,"2,974",110,New_Mexico
2020-04-29,"3,213",112,New_Mexico
2020-04-30,"3,411",123,New_Mexico
2020-05-01,"3,513",131,New_Mexico
2020-05-02,"3,732",139,New_Mexico
2020-05-03,"3,850",151,New_Mexico
2020-05-04,"4,031",156,New_Mexico
2020-05-05,"4,138",162,New_Mexico
2020-05-06,"4,291",169,New_Mexico
2020-05-07,"4,493",172,New_Mexico
2020-05-08,"4,673",181,New_Mexico
2020-05-09,"4,778",191,New_Mexico
2020-05-10,"4,863",200,New_Mexico
2020-05-11,"5,069",208,New_Mexico
2020-05-12,"5,212",219,New_Mexico
2020-05-13,"5,364",231,New_Mexico
2020-05-14,"5,503",242,New_Mexico
2020-05-15,"5,662",253,New_Mexico
2020-05-16,"5,847",259,New_Mexico
2020-05-17,"5,938",265,New_Mexico
2020-05-18,"6,096",270,New_Mexico
2020-05-19,"6,162",276,New_Mexico
2020-05-20,"6,317",283,New_Mexico
2020-05-21,"6,472",294,New_Mexico
2020-05-22,"6,625",302,New_Mexico
2020-05-23,"6,795",308,New_Mexico
2020-05-24,"6,943",317,New_Mexico
2020-05-25,"7,026",320,New_Mexico
2020-05-26,"7,130",325,New_Mexico
2020-05-27,"7,252",329,New_Mexico
2020-05-28,"7,364",335,New_Mexico
2020-05-29,"7,493",344,New_Mexico
2020-05-30,"7,624",351,New_Mexico
2020-05-31,"7,689",356,New_Mexico
2020-06-01,"7,800",362,New_Mexico
2020-06-02,"8,024",367,New_Mexico
2020-06-03,"8,140",375,New_Mexico
2020-06-04,"8,353",383,New_Mexico
2020-06-05,"8,672",387,New_Mexico
2020-06-06,"8,800",392,New_Mexico
2020-06-07,"8,940",396,New_Mexico
2020-06-08,"9,062",400,New_Mexico
2020-06-09,"9,105",404,New_Mexico
2020-06-10,"9,250",410,New_Mexico
2020-06-11,"9,367",420,New_Mexico
2020-06-12,"9,526",426,New_Mexico
2020-06-13,"9,621",431,New_Mexico
2020-06-14,"9,723",435,New_Mexico
2020-06-15,"9,845",440,New_Mexico
2020-06-16,"9,933",447,New_Mexico
2020-06-17,"10,065",452,New_Mexico
2020-06-18,"10,153",456,New_Mexico
2020-06-19,"10,260",464,New_Mexico
2020-06-20,"10,430",466,New_Mexico
2020-06-21,"10,565",469,New_Mexico
2020-06-22,"10,694",469,New_Mexico
2020-06-23,"10,838",476,New_Mexico
2020-06-24,"10,990",480,New_Mexico
2020-06-25,"11,192",485,New_Mexico
2020-06-26,"11,408",489,New_Mexico
2020-06-27,"11,619",491,New_Mexico
2020-06-28,"11,809",492,New_Mexico
2020-06-29,"11,982",493,New_Mexico
2020-06-30,"12,147",497,New_Mexico
2020-07-01,"12,276",500,New_Mexico
2020-07-02,"12,520",503,New_Mexico
2020-07-03,"12,776",511,New_Mexico
2020-07-04,"13,063",513,New_Mexico
2020-07-05,"13,256",513,New_Mexico
2020-07-06,"13,507",515,New_Mexico
2020-07-07,"13,727",519,New_Mexico
2020-07-08,"14,017",527,New_Mexico
2020-07-09,"14,251",533,New_Mexico
2020-07-10,"14,549",539,New_Mexico
2020-07-11,"14,773",543,New_Mexico
2020-07-12,"15,028",545,New_Mexico
2020-07-13,"15,291",548,New_Mexico
2020-07-14,"15,514",551,New_Mexico
2020-07-15,"15,841",557,New_Mexico
2020-07-16,"16,138",562,New_Mexico
2020-07-17,"16,456",565,New_Mexico
2020-07-18,"16,736",569,New_Mexico
2020-07-19,"16,971",571,New_Mexico
2020-07-20,"17,215",578,New_Mexico
2020-07-21,"17,517",588,New_Mexico
2020-07-22,"17,828",591,New_Mexico
2020-07-23,"18,163",596,New_Mexico
2020-07-24,"18,475",601,New_Mexico
2020-07-25,"18,788",607,New_Mexico
2020-07-26,"19,042",614,New_Mexico
2020-07-27,"19,502",619,New_Mexico
2020-07-28,"19,791",626,New_Mexico
2020-07-29,"20,136",632,New_Mexico
2020-07-30,"20,388",635,New_Mexico
2020-07-31,"20,600",642,New_Mexico
2020-08-01,"20,796",651,New_Mexico
2020-08-02,"21,016",654,New_Mexico
2020-08-03,"21,130",655,New_Mexico
2020-08-04,"21,340",658,New_Mexico
2020-08-05,"21,566",667,New_Mexico
2020-08-06,"21,773",669,New_Mexico
2020-08-07,"21,965",675,New_Mexico
2020-08-08,"22,115",681,New_Mexico
2020-08-09,"22,315",685,New_Mexico
2020-08-10,"22,444",690,New_Mexico
2020-08-11,"22,643",693,New_Mexico
2020-08-12,"22,816",695,New_Mexico
2020-08-13,"22,987",697,New_Mexico
2020-08-14,"23,160",703,New_Mexico
2020-08-15,"23,302",711,New_Mexico
2020-08-16,"23,408",714,New_Mexico
2020-08-17,"23,500",718,New_Mexico
2020-08-18,"23,579",723,New_Mexico
2020-08-19,"23,749",729,New_Mexico
2020-08-20,"23,951",734,New_Mexico
2020-08-21,"24,095",739,New_Mexico
2020-08-22,"24,302",743,New_Mexico
2020-08-23,"24,396",745,New_Mexico
2020-08-24,"24,469",747,New_Mexico
2020-08-25,"24,535",750,New_Mexico
2020-08-26,"24,732",755,New_Mexico
2020-08-27,"24,920",764,New_Mexico
2020-08-28,"25,042",767,New_Mexico
2020-08-29,"25,178",769,New_Mexico
2020-08-30,"25,283",770,New_Mexico
2020-08-31,"25,352",779,New_Mexico
2020-09-01,"25,460",787,New_Mexico
2020-09-02,"25,612",790,New_Mexico
2020-09-03,"25,812",791,New_Mexico
2020-09-04,"25,902",794,New_Mexico
2020-09-05,"26,048",800,New_Mexico
2020-09-06,"26,107",803,New_Mexico
2020-09-07,"26,144",807,New_Mexico
2020-09-08,"26,181",807,New_Mexico
2020-09-09,"26,268",813,New_Mexico
2020-09-10,"26,429",816,New_Mexico
2020-09-11,"26,563",818,New_Mexico
2020-09-12,"26,661",821,New_Mexico
2020-09-13,"26,761",823,New_Mexico
2020-09-14,"26,842",823,New_Mexico
2020-09-15,"26,923",830,New_Mexico
2020-09-16,"27,041",832,New_Mexico
2020-09-17,"27,199",836,New_Mexico
2020-09-18,"27,350",841,New_Mexico
2020-09-19,"27,512",847,New_Mexico
2020-09-20,"27,579",849,New_Mexico
2020-09-21,"27,683",851,New_Mexico
2020-09-22,"27,790",854,New_Mexico
2020-09-23,"27,987",857,New_Mexico
2020-09-24,"28,224",859,New_Mexico
2020-09-25,"28,487",865,New_Mexico
2020-09-26,"28,692",870,New_Mexico
2020-09-27,"28,844",870,New_Mexico
2020-09-28,"28,985",873,New_Mexico
2020-09-29,"29,157",875,New_Mexico
2020-09-30,"29,435",877,New_Mexico
2020-10-01,"29,661",882,New_Mexico
2020-10-02,"30,000",887,New_Mexico
