County [a],Cases [b][c],Deaths [c],Recov. [c],Pop.,Cases / 100k,Ref.
53 / 53,"21,401",239,"17,511","760,077",2207.3,Ref.
Adams,21,0,15,2294,915.43,
Barnes,237,0,202,10542,2248.15,
Benson,344,6,302,6962,4941.10,
Billings,17,0,15,919,1849.83,
Bottineau,94,4,43,6411,1466.22,
Bowman,42,0,30,3076,1365.40,
Burke,35,1,27,2100,1666.66,
Burleigh,3712,46,2955,95273,3896.17,
Cass,5250,77,4650,181516,2892.30,
Cavalier,55,0,47,3829,1436.40,
Dickey,77,0,54,4903,1570.46,
Divide,8,0,6,2283,350.41,
Dunn,108,1,73,4332,2493.07,
Eddy,84,3,57,2313,3631.64,
Emmons,183,1,104,3295,5553.86,
Foster,65,0,55,3216,2021.14,
Golden Valley,49,0,41,1769,2769.92,
Grand Forks,2261,13,2019,70770,3194.85,
Grant,25,1,12,2374,1053.07,
Griggs,60,1,47,2232,2688.17,
Hettinger,64,0,50,2514,2545.74,
Kidder,52,0,40,2450,2122.44,
LaMoure,66,0,46,4062,1624.81,
Logan,64,0,34,1903,3363.11,
McHenry,89,1,56,5816,1530.26,
McIntosh,70,3,51,2585,2707.93,
McKenzie,242,2,154,13632,1775.23,
McLean,281,3,229,9541,2945.18,
Mercer,156,0,113,8267,1887.02,
Morton,1289,26,1010,31095,4145.36,
Mountrail,269,2,205,10218,2632.60,
Nelson,70,0,39,2869,2439.87,
Oliver,22,0,16,1952,1127.04,
Pembina,88,0,52,6947,1266.73,
Pierce,34,0,31,4081,833.12,
Ramsey,246,2,190,11481,2142.67,
Ransom,82,0,75,5237,1565.78,
Renville,68,1,44,2374,2864.36,
Richland,243,1,211,16239,1496.39,
Rolette,195,5,152,14301,1363.54,
Sargent,76,0,53,3870,1963.82,
Sheridan,13,0,9,1349,963.67,
Sioux,152,3,134,4358,3487.83,
Slope,7,0,7,763,917.43,
Stark,1659,14,1286,30997,5352.13,
Steele,28,0,28,1903,1471.36,
Stutsman,515,3,468,20917,2462.11,
Towner,21,0,14,2192,958.02,
Traill,123,0,95,8037,1530.42,
Walsh,209,1,167,10667,1959.31,
Ward,1097,11,868,67744,1619.33,
Wells,38,0,32,3957,960.32,
Williams,1046,7,798,35350,2958.98,
"Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]","Updated September 29, 2020Data is publicly reported by North Dakota Department of Health[120]"
"^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero."
