date,confirmed,deaths,state
2020-03-07,1,0,Oklahoma
2020-03-10,2,0,Oklahoma
2020-03-13,3,0,Oklahoma
2020-03-14,4,0,Oklahoma
2020-03-15,7,0,Oklahoma
2020-03-16,10,0,Oklahoma
2020-03-17,17,0,Oklahoma
2020-03-18,29,0,Oklahoma
2020-03-19,44,1,Oklahoma
2020-03-20,49,1,Oklahoma
2020-03-21,53,1,Oklahoma
2020-03-22,67,2,Oklahoma
2020-03-23,81,2,Oklahoma
2020-03-24,106,3,Oklahoma
2020-03-25,164,5,Oklahoma
2020-03-26,248,7,Oklahoma
2020-03-27,322,8,Oklahoma
2020-03-28,377,15,Oklahoma
2020-03-29,429,16,Oklahoma
2020-03-30,481,17,Oklahoma
2020-03-31,565,23,Oklahoma
2020-04-01,719,30,Oklahoma
2020-04-02,879,34,Oklahoma
2020-04-03,988,38,Oklahoma
2020-04-04,"1,159",42,Oklahoma
2020-04-05,"1,252",46,Oklahoma
2020-04-06,"1,327",51,Oklahoma
2020-04-07,"1,472",67,Oklahoma
2020-04-08,"1,524",79,Oklahoma
2020-04-09,"1,684",80,Oklahoma
2020-04-10,"1,794",88,Oklahoma
2020-04-11,"1,868",94,Oklahoma
2020-04-12,"1,970",96,Oklahoma
2020-04-13,"2,069",99,Oklahoma
2020-04-14,"2,184",108,Oklahoma
2020-04-15,"2,263",123,Oklahoma
2020-04-16,"2,357",131,Oklahoma
2020-04-17,"2,465",136,Oklahoma
2020-04-18,"2,570",139,Oklahoma
2020-04-19,"2,599",140,Oklahoma
2020-04-20,"2,680",143,Oklahoma
2020-04-21,"2,807",164,Oklahoma
2020-04-22,"2,894",170,Oklahoma
2020-04-23,"3,017",179,Oklahoma
2020-04-24,"3,121",188,Oklahoma
2020-04-25,"3,193",194,Oklahoma
2020-04-26,"3,253",195,Oklahoma
2020-04-27,"3,280",197,Oklahoma
2020-04-28,"3,410",207,Oklahoma
2020-04-29,"3,473",214,Oklahoma
2020-04-30,"3,618",222,Oklahoma
2020-05-01,"3,748",230,Oklahoma
2020-05-02,"3,851",238,Oklahoma
2020-05-03,"3,972",238,Oklahoma
2020-05-04,"4,044",238,Oklahoma
2020-05-05,"4,127",247,Oklahoma
2020-05-06,"4,201",253,Oklahoma
2020-05-07,"4,330",260,Oklahoma
2020-05-08,"4,424",266,Oklahoma
2020-05-09,"4,490",270,Oklahoma
2020-05-10,"4,589",272,Oklahoma
2020-05-11,"4,613",274,Oklahoma
2020-05-12,"4,732",278,Oklahoma
2020-05-13,"4,852",278,Oklahoma
2020-05-14,"4,962",284,Oklahoma
2020-05-15,"5,086",285,Oklahoma
2020-05-16,"5,237",288,Oklahoma
2020-05-17,"5,310",288,Oklahoma
2020-05-18,"5,398",288,Oklahoma
2020-05-19,"5,489",294,Oklahoma
2020-05-20,"5,532",299,Oklahoma
2020-05-21,"5,680",304,Oklahoma
2020-05-22,"5,849",307,Oklahoma
2020-05-23,"5,960",311,Oklahoma
2020-05-24,"6,037",311,Oklahoma
2020-05-25,"6,090",313,Oklahoma
2020-05-26,"6,137",318,Oklahoma
2020-05-27,"6,229",322,Oklahoma
2020-05-28,"6,270",326,Oklahoma
2020-05-29,"6,338",329,Oklahoma
2020-05-30,"6,418",334,Oklahoma
2020-05-31,"6,506",334,Oklahoma
2020-06-01,"6,573",334,Oklahoma
2020-06-02,"6,692",339,Oklahoma
2020-06-03,"6,805",341,Oklahoma
2020-06-04,"6,907",344,Oklahoma
2020-06-05,"7,003",345,Oklahoma
2020-06-06,"7,059",347,Oklahoma
2020-06-07,"7,150",348,Oklahoma
2020-06-08,"7,205",348,Oklahoma
2020-06-09,"7,363",353,Oklahoma
2020-06-10,"7,480",355,Oklahoma
2020-06-11,"7,626",357,Oklahoma
2020-06-12,"7,848",359,Oklahoma
2020-06-13,"8,073",359,Oklahoma
2020-06-14,"8,231",359,Oklahoma
2020-06-15,"8,417",359,Oklahoma
2020-06-16,"8,645",363,Oklahoma
2020-06-17,"8,904",364,Oklahoma
2020-06-18,"9,354",366,Oklahoma
2020-06-19,"9,706",367,Oklahoma
2020-06-20,"10,037",368,Oklahoma
2020-06-21,"10,515",369,Oklahoma
2020-06-22,"10,733",369,Oklahoma
2020-06-23,"11,028",371,Oklahoma
2020-06-24,"11,510",372,Oklahoma
2020-06-25,"11,948",375,Oklahoma
2020-06-26,"12,343",377,Oklahoma
2020-06-27,"12,642",384,Oklahoma
2020-06-28,"12,944",385,Oklahoma
2020-06-29,"13,172",385,Oklahoma
2020-06-30,"13,757",387,Oklahoma
2020-07-01,"14,112",389,Oklahoma
2020-07-02,"14,539",395,Oklahoma
2020-07-03,"15,065",398,Oklahoma
2020-07-04,"15,645",398,Oklahoma
2020-07-05,"15,928",398,Oklahoma
2020-07-06,"16,362",399,Oklahoma
2020-07-07,"17,220",404,Oklahoma
2020-07-08,"17,893",407,Oklahoma
2020-07-09,"18,496",410,Oklahoma
2020-07-10,"19,092",416,Oklahoma
2020-07-11,"19,779",421,Oklahoma
2020-07-12,"20,235",422,Oklahoma
2020-07-13,"20,745",424,Oklahoma
2020-07-14,"21,738",428,Oklahoma
2020-07-15,"22,813",432,Oklahoma
2020-07-16,"23,441",438,Oklahoma
2020-07-17,"24,140",445,Oklahoma
2020-07-18,"25,056",451,Oklahoma
2020-07-19,"25,265",451,Oklahoma
2020-07-20,"25,433",452,Oklahoma
2020-07-21,"27,147",461,Oklahoma
2020-07-22,"28,065",474,Oklahoma
2020-07-23,"28,802",477,Oklahoma
2020-07-24,"29,116",484,Oklahoma
2020-07-25,"30,081",496,Oklahoma
2020-07-26,"31,285",496,Oklahoma
2020-07-27,"32,686",496,Oklahoma
2020-07-28,"33,775",509,Oklahoma
2020-07-29,"34,623",523,Oklahoma
2020-07-30,"35,740",536,Oklahoma
2020-07-31,"36,487",541,Oklahoma
2020-08-01,"37,731",549,Oklahoma
2020-08-02,"38,225",550,Oklahoma
2020-08-03,"38,602",551,Oklahoma
2020-08-04,"39,463",566,Oklahoma
2020-08-05,"40,564",583,Oklahoma
2020-08-06,"41,401",593,Oklahoma
2020-08-07,"42,255",600,Oklahoma
2020-08-08,"43,080",603,Oklahoma
2020-08-09,"43,566",603,Oklahoma
2020-08-10,"43,963",605,Oklahoma
2020-08-11,"44,728",618,Oklahoma
