date,confirmed,deaths,state
2020-02-28,1,,Oregon
2020-02-29,1,,Oregon
2020-03-01,2,,Oregon
2020-03-02,3,,Oregon
2020-03-03,3,,Oregon
2020-03-04,3,,Oregon
2020-03-05,3,,Oregon
2020-03-06,3,,Oregon
2020-03-07,7,,Oregon
2020-03-08,14,,Oregon
2020-03-09,14,,Oregon
2020-03-10,15,,Oregon
2020-03-11,21,,Oregon
2020-03-12,22,,Oregon
2020-03-13,30,,Oregon
2020-03-14,36,1,Oregon
2020-03-15,39,1,Oregon
2020-03-16,47,1,Oregon
2020-03-17,65,1,Oregon
2020-03-18,75,3,Oregon
2020-03-19,88,3,Oregon
2020-03-20,114,3,Oregon
2020-03-21,137,4,Oregon
2020-03-22,161,5,Oregon
2020-03-23,191,5,Oregon
2020-03-24,209,8,Oregon
2020-03-25,266,10,Oregon
2020-03-26,316,11,Oregon
2020-03-27,414,12,Oregon
2020-03-28,479,13,Oregon
2020-03-29,548,13,Oregon
2020-03-30,606,16,Oregon
2020-03-31,690,18,Oregon
2020-04-01,736,19,Oregon
2020-04-02,826,21,Oregon
2020-04-03,899,22,Oregon
2020-04-04,999,26,Oregon
2020-04-05,"1,068",27,Oregon
2020-04-06,"1,132",29,Oregon
2020-04-07,"1,181",33,Oregon
2020-04-08,"1,239",38,Oregon
2020-04-09,"1,321",44,Oregon
2020-04-10,"1,371",48,Oregon
2020-04-11,"1,447",51,Oregon
2020-04-12,"1,527",52,Oregon
2020-04-13,"1,584",53,Oregon
2020-04-14,"1,633",55,Oregon
2020-04-15,"1,663",58,Oregon
2020-04-16,"1,736",64,Oregon
2020-04-17,"1,785",70,Oregon
2020-04-18,"1,844",72,Oregon
2020-04-19,"1,910",74,Oregon
2020-04-20,"1,956",75,Oregon
2020-04-21,"2,002",78,Oregon
2020-04-22,"2,059",78,Oregon
2020-04-23,"2,127",83,Oregon
2020-04-24,"2,177",86,Oregon
2020-04-25,"2,253",87,Oregon
2020-04-26,"2,311",91,Oregon
2020-04-27,"2,354",92,Oregon
2020-04-28,"2,385",99,Oregon
2020-04-29,"2,446",101,Oregon
2020-04-30,"2,510",103,Oregon
2020-05-01,"2,579",104,Oregon
2020-05-02,"2,635",109,Oregon
2020-05-03,"2,680",109,Oregon
2020-05-04,"2,759",109,Oregon
2020-05-05,"2,839",113,Oregon
2020-05-06,"2,916",115,Oregon
2020-05-07,"2,989",121,Oregon
2020-05-08,"3,068",124,Oregon
2020-05-09,"3,160",127,Oregon
2020-05-10,"3,228",127,Oregon
2020-05-11,"3,286",130,Oregon
2020-05-12,"3,358",130,Oregon
2020-05-13,"3,416",134,Oregon
2020-05-14,"3,479",137,Oregon
2020-05-15,"3,541",137,Oregon
2020-05-16,"3,612",137,Oregon
2020-05-17,"3,623",137,Oregon
2020-05-18,"3,687",138,Oregon
2020-05-19,"3,726",140,Oregon
2020-05-20,"3,801",144,Oregon
2020-05-21,"3,817",145,Oregon
2020-05-22,"3,864",147,Oregon
2020-05-23,"3,888",147,Oregon
2020-05-24,"3,927",148,Oregon
2020-05-25,"3,949",148,Oregon
2020-05-26,"3,967",148,Oregon
2020-05-27,"4,038",148,Oregon
2020-05-28,"4,086",151,Oregon
2020-05-29,"4,131",151,Oregon
2020-05-30,"4,185",153,Oregon
2020-05-31,"4,243",153,Oregon
2020-06-01,"4,302",154,Oregon
2020-06-02,"4,335",157,Oregon
2020-06-03,"4,399",159,Oregon
2020-06-04,"4,474",159,Oregon
2020-06-05,"4,570",161,Oregon
2020-06-06,"4,662",163,Oregon
2020-06-07,"4,808",164,Oregon
2020-06-08,"4,922",164,Oregon
2020-06-09,"4,988",169,Oregon
2020-06-10,"5,060",169,Oregon
2020-06-11,"5,237",171,Oregon
2020-06-12,"5,377",173,Oregon
