County[a],Cases[b],Deaths,Recov.,Population[c],Cases / 100k
35 / 36,"34,163",563,"5,752","4,236,399",806.4
Baker,100,2,4,16818,594.6
Benton,341,6,48,94359,361.4
Clackamas,2506,63,193,423418,591.9
Clatsop,224,0,33,39332,569.5
Columbia,191,1,26,52747,362.1
Coos,167,0,25,63288,263.9
Crook,63,1,27,23440,268.8
Curry,32,0,19,23000,139.1
Deschutes,880,12,764,193001,456.0
Douglas,251,4,41,112250,223.6
Gilliam,8,0,0,1991,401.8
Grant,10,0,1,7360,135.9
Harney,12,0,2,7360,163.0
Hood River,253,0,52,25477,993.1
Jackson,1229,6,312,221290,555.4
Jefferson,555,8,401,23842,2327.8
Josephine,212,2,118,86750,244.4
Klamath,295,3,52,68190,432.6
Lake,33,0,3,8081,408.4
Lane,1361,18,108,378880,359.2
Lincoln,482,13,32,48260,998.8
Linn,552,13,87,126548,436.2
Malheur,1673,30,70,32031,5223.1
Marion,4848,97,562,347761,1394.1
Morrow,516,6,67,12683,4068.4
Multnomah,7402,140,1014,821730,900.8
Polk,543,15,372,82943,654.7
Sherman,18,0,2,1772,1015.8
Tillamook,53,0,7,26498,200.0
Umatilla,3064,41,469,81160,3775.3
Union,445,2,45,26841,1657.9
Wallowa,34,1,7,7151,475.5
Wasco,303,5,18,27237,1112.5
Washington,4713,60,662,613410,768.3
Wheeler,0,0,0,1440,0.0
Yamhill,794,14,109,108060,734.8
"Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]","Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]","Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]","Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]","Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]","Updated October 2, 2020 with data through the previous dayData is publicly reported by Oregon Health Authority[306][307][308]"
