date,confirmed,deaths,state
2020-03-06,2,,Pennsylvania
2020-03-07,4,,Pennsylvania
2020-03-08,6,,Pennsylvania
2020-03-09,10,,Pennsylvania
2020-03-10,12,,Pennsylvania
2020-03-11,16,,Pennsylvania
2020-03-12,22,,Pennsylvania
2020-03-13,41,,Pennsylvania
2020-03-14,47,,Pennsylvania
2020-03-15,63,,Pennsylvania
2020-03-16,76,,Pennsylvania
2020-03-17,96,,Pennsylvania
2020-03-18,133,1,Pennsylvania
2020-03-19,185,1,Pennsylvania
2020-03-20,268,1,Pennsylvania
2020-03-21,371,2,Pennsylvania
2020-03-22,479,3,Pennsylvania
2020-03-23,644,6,Pennsylvania
2020-03-24,851,7,Pennsylvania
2020-03-25,"1,127",11,Pennsylvania
2020-03-26,"1,687",16,Pennsylvania
2020-03-27,"2,218",22,Pennsylvania
2020-03-28,"2,751",34,Pennsylvania
2020-03-29,"3,394",38,Pennsylvania
2020-03-30,"4,087",48,Pennsylvania
2020-03-31,"4,843",63,Pennsylvania
2020-04-01,"5,805",74,Pennsylvania
2020-04-02,"7,016",90,Pennsylvania
2020-04-03,"8,420",102,Pennsylvania
2020-04-04,"10,017",136,Pennsylvania
2020-04-05,"11,510",150,Pennsylvania
2020-04-06,"12,980",162,Pennsylvania
2020-04-07,"14,559",240,Pennsylvania
2020-04-08,"16,239",310,Pennsylvania
2020-04-09,"18,228",338,Pennsylvania
2020-04-10,"19,979",416,Pennsylvania
2020-04-11,"21,655",494,Pennsylvania
2020-04-12,"22,833",507,Pennsylvania
2020-04-13,"24,199",524,Pennsylvania
2020-04-14,"25,345",584,Pennsylvania
2020-04-15,"26,490",647,Pennsylvania
2020-04-16,"27,735",707,Pennsylvania
2020-04-17,"29,441",756,Pennsylvania
2020-04-18,"31,069",836,Pennsylvania
2020-04-19,"32,284","1,112",Pennsylvania
2020-04-20,"33,232","1,204",Pennsylvania
2020-04-21,"34,528","1,564",Pennsylvania
2020-04-22,"35,684","1,622",Pennsylvania
2020-04-23,"37,069","1,421",Pennsylvania
2020-04-24,"38,652","1,492",Pennsylvania
2020-04-25,"40,049","1,537",Pennsylvania
2020-04-26,"41,165","1,550",Pennsylvania
2020-04-27,"42,050","1,597",Pennsylvania
2020-04-28,"43,264","1,716",Pennsylvania
2020-04-29,"44,366","2,195",Pennsylvania
2020-04-30,"45,763","2,292",Pennsylvania
2020-05-01,"46,971","2,354",Pennsylvania
2020-05-02,"48,305","2,418",Pennsylvania
2020-05-03,"49,267","2,444",Pennsylvania
2020-05-04,"50,092","2,458",Pennsylvania
2020-05-05,"50,957","3,012",Pennsylvania
2020-05-06,"51,845","3,106",Pennsylvania
2020-05-07,"52,915","3,416",Pennsylvania
2020-05-08,"54,238","3,616",Pennsylvania
2020-05-09,"55,316","3,688",Pennsylvania
2020-05-10,"56,611","3,707",Pennsylvania
2020-05-11,"57,154","3,731",Pennsylvania
2020-05-12,"57,991","3,806",Pennsylvania
2020-05-13,"58,698","3,943",Pennsylvania
2020-05-14,"59,636","4,218",Pennsylvania
2020-05-15,"60,622","4,342",Pennsylvania
2020-05-16,"61,611","4,403",Pennsylvania
2020-05-17,"62,234","4,418",Pennsylvania
2020-05-18,"63,056","4,505",Pennsylvania
2020-05-19,"63,666","4,624",Pennsylvania
2020-05-20,"64,412","4,767",Pennsylvania
2020-05-21,"65,392","4,869",Pennsylvania
2020-05-22,"66,258","4,984",Pennsylvania
2020-05-23,"66,983","5,096",Pennsylvania
2020-05-24,"67,713","5,124",Pennsylvania
2020-05-25,"68,186","5,139",Pennsylvania
2020-05-26,"68,637","5,152",Pennsylvania
2020-05-27,"69,417","5,265",Pennsylvania
2020-05-28,"70,042","5,373",Pennsylvania
2020-05-29,"70,735","5,464",Pennsylvania
2020-05-30,"71,415","5,537",Pennsylvania
2020-05-31,"71,926","5,555",Pennsylvania
2020-06-01,"72,282","5,567",Pennsylvania
2020-06-02,"72,894","5,667",Pennsylvania
2020-06-03,"73,405","5,742",Pennsylvania
2020-06-04,"73,942","5,817",Pennsylvania
2020-06-05,"74,385","5,886",Pennsylvania
2020-06-06,"75,086","5,931",Pennsylvania
2020-06-07,"75,592","5,943",Pennsylvania
2020-06-08,"75,943","5,953",Pennsylvania
2020-06-09,"76,436","6,014",Pennsylvania
2020-06-10,"76,846","6,062",Pennsylvania
2020-06-11,"77,313","6,113",Pennsylvania
2020-06-12,"77,999","6,162",Pennsylvania
2020-06-13,"78,462","6,211",Pennsylvania
2020-06-14,"78,798","6,215",Pennsylvania
2020-06-15,"79,121","6,243",Pennsylvania
2020-06-16,"79,483","6,276",Pennsylvania
2020-06-17,"79,818","6,319",Pennsylvania
2020-06-18,"80,236","6,361",Pennsylvania
2020-06-19,"80,762","6,399",Pennsylvania
2020-06-20,"81,266","6,419",Pennsylvania
2020-06-21,"81,730","6,423",Pennsylvania
2020-06-22,"82,186","6,426",Pennsylvania
2020-06-23,"82,696","6,464",Pennsylvania
2020-06-24,"83,191","6,518",Pennsylvania
2020-06-25,"83,770","6,557",Pennsylvania
2020-06-26,"84,370","6,579",Pennsylvania
2020-06-27,"84,991","6,603",Pennsylvania
2020-06-28,"85,496","6,606",Pennsylvania
2020-06-29,"85,988","6,614",Pennsylvania
2020-06-30,"86,606","6,649",Pennsylvania
2020-07-01,"87,242","6,687",Pennsylvania
2020-07-02,"88,074","6,712",Pennsylvania
2020-07-03,"88,741","6,746",Pennsylvania
2020-07-04,"89,375","6,749",Pennsylvania
2020-07-05,"89,854","6,753",Pennsylvania
2020-07-06,"90,304","6,754",Pennsylvania
2020-07-07,"91,299","6,787",Pennsylvania
2020-07-08,"92,148","6,812",Pennsylvania
2020-07-09,"92,867","6,848",Pennsylvania
2020-07-10,"93,876","6,880",Pennsylvania
2020-07-11,"94,689","6,897",Pennsylvania
2020-07-12,"95,414","6,904",Pennsylvania
2020-07-13,"95,742","6,911",Pennsylvania
2020-07-14,"96,671","6,931",Pennsylvania
2020-07-15,"97,665","6,957",Pennsylvania
2020-07-16,"98,446","6,973",Pennsylvania
2020-07-17,"99,478","6,992",Pennsylvania
2020-07-18,"100,241","7,007",Pennsylvania
2020-07-19,"101,027","7,015",Pennsylvania
2020-07-20,"101,738","7,018",Pennsylvania
2020-07-21,"102,765","7,038",Pennsylvania
2020-07-22,"103,396","7,063",Pennsylvania
2020-07-23,"104,358","7,079",Pennsylvania
2020-07-24,"105,571","7,101",Pennsylvania
2020-07-25,"106,625","7,114",Pennsylvania
2020-07-26,"107,425","7,118",Pennsylvania
2020-07-27,"108,264","7,122",Pennsylvania
2020-07-28,"109,384","7,146",Pennsylvania
2020-07-29,"110,218","7,162",Pennsylvania
2020-07-30,"111,078","7,176",Pennsylvania
2020-07-31,"112,048","7,189",Pennsylvania
2020-08-01,"112,936","7,204",Pennsylvania
2020-08-02,"113,590","7,209",Pennsylvania
2020-08-03,"114,155","7,209",Pennsylvania
2020-08-04,"115,009","7,232",Pennsylvania
2020-08-05,"115,714","7,244",Pennsylvania
2020-08-06,"116,521","7,282",Pennsylvania
2020-08-07,"117,279","7,297",Pennsylvania
2020-08-08,"118,092","7,313",Pennsylvania
2020-08-09,"118,852","7,314",Pennsylvania
2020-08-10,"119,453","7,317",Pennsylvania
2020-08-11,"120,281","7,352",Pennsylvania
2020-08-12,"121,130","7,385",Pennsylvania
2020-08-13,"122,121","7,409",Pennsylvania
2020-08-14,"122,950","7,445",Pennsylvania
2020-08-15,"123,800","7,465",Pennsylvania
2020-08-16,"124,460","7,468",Pennsylvania
2020-08-17,"124,844","7,468",Pennsylvania
2020-08-18,"125,579","7,499",Pennsylvania
2020-08-19,"126,149","7,523",Pennsylvania
2020-08-20,"126,940","7,538",Pennsylvania
2020-08-21,"127,633","7,558",Pennsylvania
2020-08-22,"128,429","7,576",Pennsylvania
2020-08-23,"129,048","7,578",Pennsylvania
2020-08-24,"129,474","7,579",Pennsylvania
2020-08-25,"130,035","7,605",Pennsylvania
2020-08-26,"130,536","7,624",Pennsylvania
2020-08-27,"131,156","7,635",Pennsylvania
2020-08-28,"131,991","7,655",Pennsylvania
2020-08-29,"132,834","7,671",Pennsylvania
2020-08-30,"133,504","7,673",Pennsylvania
2020-08-31,"134,025","7,673",Pennsylvania
2020-09-01,"134,795","7,691",Pennsylvania
2020-09-02,"135,611","7,712",Pennsylvania
2020-09-03,"136,771","7,732",Pennsylvania
2020-09-04,"137,662","7,742",Pennsylvania
2020-09-05,"138,625","7,760",Pennsylvania
2020-09-06,"139,316","7,760",Pennsylvania
2020-09-07,"139,863","7,780",Pennsylvania
2020-09-08,"140,359","7,791",Pennsylvania
2020-09-09,"141,290","7,805",Pennsylvania
2020-09-10,"141,877","7,820",Pennsylvania
2020-09-11,"142,885","7,837",Pennsylvania
2020-09-12,"143,805","7,862",Pennsylvania
2020-09-13,"144,443","7,869",Pennsylvania
2020-09-14,"145,063","7,869",Pennsylvania
2020-09-15,"146,214","7,875",Pennsylvania
2020-09-16,"146,990","7,903",Pennsylvania
2020-09-17,"147,923","7,913",Pennsylvania
2020-09-18,"148,683","7,934",Pennsylvania
2020-09-19,"149,845","7,956",Pennsylvania
2020-09-20,"150,578","7,981",Pennsylvania
2020-09-21,"150,812","8,004",Pennsylvania
2020-09-22,"151,646","8,023",Pennsylvania
2020-09-23,"152,544","8,062",Pennsylvania
2020-09-24,"153,397","8,079",Pennsylvania
2020-09-25,"154,203","8,081",Pennsylvania
2020-09-26,"155,232","8,103",Pennsylvania
2020-09-27,"156,150","8,106",Pennsylvania
2020-09-28,"156,826","8,107",Pennsylvania
