Municipality [a],Cases [b][c],Deaths [c],Recov. [c][d],Pop.,Cases / 100k,Ref.
78 / 78,"7,250",153,–,"3,754,939",193.1,Ref.
Adjuntas,48,–,–,19483,246.4,
Aguada,34,–,–,41959,81,
Aguadilla,46,–,–,60949,75.5,
Aguas Buenas,59,–,–,28659,205.9,
Aibonito,42,–,–,25900,162.2,
Añasco,45,–,–,29261,153.8,
Arecibo,124,–,–,96440,128.6,
Arroyo,33,–,–,19575,168.6,
Barceloneta,26,–,–,24816,104.8,
Barranquitas,77,–,–,30318,254,
Bayamón,404,–,–,208116,194.1,
Cabo Rojo,75,–,–,50917,147.3,
Caguas,234,–,–,142893,163.8,
Camuy,37,–,–,35159,105.2,
Canóvanas,138,–,–,47648,289.6,
Carolina,328,–,–,176762,185.6,
Cataño,57,–,–,28140,202.6,
Cayey,108,–,–,48119,224.4,
Ceiba,26,–,–,13631,190.7,
Ciales,61,–,–,18782,324.8,
Cidra,74,–,–,43480,170.2,
Coamo,44,–,–,40512,108.6,
Comerío,46,–,–,20778,221.4,
Corozal,48,–,–,37142,129.2,
Culebra,2,0,0,1818,110,
Dorado,95,–,–,38165,248.9,
Fajardo,76,–,–,36993,205.4,
Florida,35,–,–,12680,276,
Guánica,34,–,–,19427,175,
Guayama,69,–,–,45362,152.1,
Guayanilla,58,–,–,21581,268.8,
Guaynabo,322,–,–,97924,328.8,
Gurabo,103,–,–,45369,227,
Hatillo,33,–,–,41953,78.7,
Hormigueros,29,–,–,17250,168.1,
Humacao,86,–,–,58466,147.1,
Isabela,37,–,–,45631,81.1,
Jayuya,72,–,–,16642,432.6,
Juana Díaz,80,–,–,79897,100.1,
Juncos,50,–,–,40290,124.1,
Lajas,42,–,–,25753,163.1,
Lares,77,–,–,30753,250.4,
Las Marías,18,–,–,9881,182.2,
Las Piedras,68,–,–,38675,175.8,
Loíza,50,–,–,30060,166.3,
Luquillo,40,–,–,20068,199.3,
Manatí,49,–,–,44113,111.1,
Maricao,17,0,0,6276,270.9,
Maunabo,24,–,–,12225,196.3,
Mayagüez,165,–,–,89080,185.2,
Moca,42,–,–,40109,104.7,
Morovis,63,–,–,32610,193.2,
Naguabo,43,–,–,26720,160.9,
Naranjito,75,–,–,30402,246.7,
Orocovis,73,–,–,23423,311.7,
Patillas,59,–,–,19277,306.1,
Peñuelas,25,–,–,24282,103,
Ponce,184,–,–,166327,110.6,
Quebradillas,40,–,–,25919,154.3,
Rincón,32,–,–,15200,210.5,
Río Grande,100,–,–,54304,184.1,
Sabana Grande,54,–,–,25265,213.7,
Salinas,102,–,–,31078,328.2,
San Germán,64,–,–,35527,180.1,
San Juan,939,–,–,395326,237.5,
San Lorenzo,65,–,–,41058,158.3,
San Sebastián,96,–,–,42430,226.3,
Santa Isabel,53,–,–,23274,227.7,
Toa Alta,158,–,–,74066,213.3,
Toa Baja,185,–,–,89609,206.5,
Trujillo Alto,167,–,–,74842,223.1,
Utuado,13,–,–,33149,39.2,
Vega Alta,78,–,–,39951,195.2,
Vega Baja,86,–,–,59662,144.1,
Vieques,22,0,0,9301,236.5,
Villalba,45,–,–,26073,172.6,
Yabucoa,36,–,–,37941,94.9,
Yauco,86,–,–,42043,204.6,
Unknown,179,–,–,,,
Outside of Puerto Rico,141,,,,,
"Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]","Updated Jun 29, 2020Data is publicly reported by Puerto Rico Department of Health[20][21]"
"^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers.","^ Municipality where individuals with a positive case was diagnosed. Location of original infection may vary. ^ Reported cases includes presumptive and confirmed case. Actual case numbers are probably higher. ^ a b c ""–"" denotes that no data is currently available for that county, not that the value is zero. ^ PRDH is not providing recovered case numbers."
