date,confirmed,deaths,state
2020-03-01,2,0,Rhode_Island
2020-03-02,2,0,Rhode_Island
2020-03-03,2,0,Rhode_Island
2020-03-04,2,0,Rhode_Island
2020-03-05,3,0,Rhode_Island
2020-03-06,3,0,Rhode_Island
2020-03-07,3,0,Rhode_Island
2020-03-08,3,0,Rhode_Island
2020-03-09,4,0,Rhode_Island
2020-03-10,5,0,Rhode_Island
2020-03-11,5,0,Rhode_Island
2020-03-12,13,0,Rhode_Island
2020-03-13,19,0,Rhode_Island
2020-03-14,19,0,Rhode_Island
2020-03-15,20,0,Rhode_Island
2020-03-16,22,0,Rhode_Island
2020-03-17,33,0,Rhode_Island
2020-03-18,44,0,Rhode_Island
2020-03-19,61,1,Rhode_Island
2020-03-20,74,1,Rhode_Island
2020-03-21,88,1,Rhode_Island
2020-03-22,113,1,Rhode_Island
2020-03-23,129,1,Rhode_Island
2020-03-24,148,1,Rhode_Island
2020-03-25,176,1,Rhode_Island
2020-03-26,217,1,Rhode_Island
2020-03-27,248,3,Rhode_Island
2020-03-28,311,4,Rhode_Island
2020-03-29,416,6,Rhode_Island
2020-03-30,494,9,Rhode_Island
2020-03-31,567,11,Rhode_Island
2020-04-01,669,12,Rhode_Island
2020-04-02,731,16,Rhode_Island
2020-04-03,831,19,Rhode_Island
2020-04-04,968,28,Rhode_Island
2020-04-05,"1,150",30,Rhode_Island
2020-04-06,"1,358",37,Rhode_Island
2020-04-07,"1,619",42,Rhode_Island
2020-04-08,"1,890",52,Rhode_Island
2020-04-09,"2,167",59,Rhode_Island
2020-04-10,"2,568",70,Rhode_Island
2020-04-11,"2,847",82,Rhode_Island
2020-04-12,"3,131",91,Rhode_Island
2020-04-13,"3,318",100,Rhode_Island
2020-04-14,"3,580",108,Rhode_Island
2020-04-15,"3,886",125,Rhode_Island
2020-04-16,"4,272",139,Rhode_Island
2020-04-17,"4,562",160,Rhode_Island
2020-04-18,"4,846",175,Rhode_Island
2020-04-19,"5,182",186,Rhode_Island
2020-04-20,"5,560",196,Rhode_Island
2020-04-21,"5,944",214,Rhode_Island
2020-04-22,"6,323",232,Rhode_Island
2020-04-23,"6,735",247,Rhode_Island
2020-04-24,"7,143",262,Rhode_Island
2020-04-25,"7,443",276,Rhode_Island
2020-04-26,"7,717",290,Rhode_Island
2020-04-27,"7,923",300,Rhode_Island
2020-04-28,"8,254",322,Rhode_Island
2020-04-29,"8,625",340,Rhode_Island
2020-04-30,"8,975",364,Rhode_Island
2020-05-01,"9,300",378,Rhode_Island
2020-05-02,"9,492",402,Rhode_Island
2020-05-03,"9,675",423,Rhode_Island
2020-05-04,"9,965",441,Rhode_Island
2020-05-05,"10,264",457,Rhode_Island
2020-05-06,"10,604",478,Rhode_Island
2020-05-07,"10,873",499,Rhode_Island
2020-05-08,"11,103",521,Rhode_Island
2020-05-09,"11,393",536,Rhode_Island
2020-05-10,"11,582",549,Rhode_Island
2020-05-11,"11,756",564,Rhode_Island
2020-05-12,"11,980",586,Rhode_Island
2020-05-13,"12,179",599,Rhode_Island
2020-05-14,"12,409",614,Rhode_Island
2020-05-15,"12,642",628,Rhode_Island
2020-05-16,"12,891",643,Rhode_Island
2020-05-17,"13,153",653,Rhode_Island
2020-05-18,"13,368",671,Rhode_Island
2020-05-19,"13,453",682,Rhode_Island
2020-05-20,"13,553",704,Rhode_Island
2020-05-21,"13,720",724,Rhode_Island
2020-05-22,"13,926",734,Rhode_Island
2020-05-23,"14,034",747,Rhode_Island
2020-05-24,"14,116",755,Rhode_Island
2020-05-25,"14,192",765,Rhode_Island
2020-05-26,"14,349",780,Rhode_Island
2020-05-27,"14,481",790,Rhode_Island
2020-05-28,"14,611",798,Rhode_Island
2020-05-29,"14,784",810,Rhode_Island
2020-05-30,"14,893",822,Rhode_Island
2020-05-31,"14,971",825,Rhode_Island
2020-06-01,"15,065",830,Rhode_Island
2020-06-02,"15,163",840,Rhode_Island
2020-06-03,"15,262",851,Rhode_Island
2020-06-04,"15,369",862,Rhode_Island
2020-06-05,"15,468",873,Rhode_Island
