date,confirmed,deaths,state
2020-03-07,2,,South_Carolina
2020-03-08,6,,South_Carolina
2020-03-09,7,,South_Carolina
2020-03-10,9,,South_Carolina
2020-03-11,10,,South_Carolina
2020-03-12,12,,South_Carolina
2020-03-13,13,,South_Carolina
2020-03-14,19,,South_Carolina
2020-03-15,28,,South_Carolina
2020-03-16,33,1,South_Carolina
2020-03-17,47,1,South_Carolina
2020-03-18,60,1,South_Carolina
2020-03-19,80,1,South_Carolina
2020-03-20,125,3,South_Carolina
2020-03-21,173,3,South_Carolina
2020-03-22,195,3,South_Carolina
2020-03-23,298,5,South_Carolina
2020-03-24,342,7,South_Carolina
2020-03-25,424,8,South_Carolina
2020-03-26,456,9,South_Carolina
2020-03-27,539,13,South_Carolina
2020-03-28,660,15,South_Carolina
2020-03-29,774,16,South_Carolina
2020-03-30,925,18,South_Carolina
2020-03-31,"1,083",22,South_Carolina
2020-04-01,"1,293",26,South_Carolina
2020-04-02,"1,554",31,South_Carolina
2020-04-03,"1,700",34,South_Carolina
2020-04-04,"1,917",40,South_Carolina
2020-04-05,"2,049",44,South_Carolina
2020-04-06,"2,232",48,South_Carolina
2020-04-07,"2,417",51,South_Carolina
2020-04-08,"2,552",63,South_Carolina
2020-04-09,"2,792",67,South_Carolina
2020-04-10,"3,065",72,South_Carolina
2020-04-11,"3,207",80,South_Carolina
2020-04-12,"3,319",82,South_Carolina
2020-04-13,"3,439",87,South_Carolina
2020-04-14,"3,553",97,South_Carolina
2020-04-15,"3,656",107,South_Carolina
2020-04-16,"3,931",109,South_Carolina
2020-04-17,"4,086",116,South_Carolina
2020-04-18,"4,246",119,South_Carolina
2020-04-19,"4,377",120,South_Carolina
2020-04-20,"4,439",124,South_Carolina
2020-04-21,"4,608",135,South_Carolina
2020-04-22,"4,761",140,South_Carolina
2020-04-23,"4,917",150,South_Carolina
2020-04-24,"5,070",157,South_Carolina
2020-04-25,"5,253",166,South_Carolina
2020-04-26,"5,490",174,South_Carolina
2020-04-27,"5,613",177,South_Carolina
2020-04-28,"5,735",192,South_Carolina
2020-04-29,"5,881",232,South_Carolina
2020-04-30,"6,095",244,South_Carolina
2020-05-01,"6,258",256,South_Carolina
2020-05-02,"6,489",267,South_Carolina
2020-05-03,"6,626",275,South_Carolina
2020-05-04,"6,757",283,South_Carolina
2020-05-05,"6,841",296,South_Carolina
2020-05-06,"6,936",305,South_Carolina
2020-05-07,"7,142",316,South_Carolina
2020-05-08,"7,367",320,South_Carolina
2020-05-09,"7,531",330,South_Carolina
2020-05-10,"7,653",331,South_Carolina
2020-05-11,"7,792",346,South_Carolina
2020-05-12,"7,927",355,South_Carolina
2020-05-13,"8,030",362,South_Carolina
2020-05-14,"8,189",371,South_Carolina
2020-05-15,"8,407",380,South_Carolina
2020-05-16,"8,661",380,South_Carolina
2020-05-17,"8,816",385,South_Carolina
2020-05-18,"8,942",391,South_Carolina
2020-05-19,"9,056",399,South_Carolina
2020-05-20,"9,175",407,South_Carolina
2020-05-21,"9,379",416,South_Carolina
2020-05-22,"9,638",419,South_Carolina
2020-05-23,"9,895",425,South_Carolina
2020-05-24,"10,096",435,South_Carolina
2020-05-25,"10,178",440,South_Carolina
2020-05-26,"10,416",446,South_Carolina
2020-05-27,"10,623",466,South_Carolina
2020-05-28,"10,788",470,South_Carolina
2020-05-29,"11,131",483,South_Carolina
2020-05-30,"11,551",487,South_Carolina
2020-05-31,"11,861",494,South_Carolina
2020-06-01,"12,148",500,South_Carolina
2020-06-02,"12,415",501,South_Carolina
2020-06-03,"12,651",518,South_Carolina
2020-06-04,"13,005",525,South_Carolina
2020-06-05,"13,453",538,South_Carolina
2020-06-06,"13,916",545,South_Carolina
2020-06-07,"14,286",546,South_Carolina
2020-06-08,"14,800",557,South_Carolina
2020-06-09,"15,228",568,South_Carolina
2020-06-10,"15,759",575,South_Carolina
2020-06-11,"16,441",588,South_Carolina
2020-06-12,"17,170",593,South_Carolina
2020-06-13,"17,955",599,South_Carolina
2020-06-14,"18,795",600,South_Carolina
2020-06-15,"19,378",602,South_Carolina
2020-06-16,"19,990",607,South_Carolina
2020-06-17,"20,556",617,South_Carolina
2020-06-18,"21,548",621,South_Carolina
2020-06-19,"22,631",639,South_Carolina
2020-06-20,"23,786",644,South_Carolina
2020-06-21,"24,693",653,South_Carolina
2020-06-22,"25,701",659,South_Carolina
2020-06-23,"26,613",673,South_Carolina
2020-06-24,"27,897",683,South_Carolina
2020-06-25,"29,022",693,South_Carolina
2020-06-26,"30,335",694,South_Carolina
2020-06-27,"31,939",711,South_Carolina
2020-06-28,"33,320",716,South_Carolina
2020-06-29,"34,644",720,South_Carolina
2020-06-30,"36,399",739,South_Carolina
2020-07-01,"37,919",766,South_Carolina
2020-07-02,"39,701",784,South_Carolina
2020-07-03,"41,532",793,South_Carolina
2020-07-04,"43,386",813,South_Carolina
2020-07-05,"44,717",813,South_Carolina
2020-07-06,"46,247",827,South_Carolina
2020-07-07,"47,214",846,South_Carolina
2020-07-08,"48,909",884,South_Carolina
2020-07-09,"50,691",905,South_Carolina
2020-07-10,"52,419",929,South_Carolina
2020-07-11,"54,699",950,South_Carolina
2020-07-12,"56,485",950,South_Carolina
2020-07-13,"58,003",961,South_Carolina
2020-07-14,"60,389",993,South_Carolina
2020-07-15,"62,245",998,South_Carolina
2020-07-16,"64,083","1,070",South_Carolina
2020-07-17,"66,060","1,096",South_Carolina
2020-07-18,"67,612","1,135",South_Carolina
2020-07-19,"69,986","1,155",South_Carolina
2020-07-20,"71,445","1,164",South_Carolina
2020-07-21,"73,337","1,221",South_Carolina
2020-07-22,"75,042","1,285",South_Carolina
2020-07-23,"76,606","1,334",South_Carolina
2020-07-24,"78,607","1,385",South_Carolina
2020-07-25,"80,008","1,465",South_Carolina
2020-07-26,"81,199","1,491",South_Carolina
2020-07-27,"82,417","1,506",South_Carolina
2020-07-28,"84,109","1,565",South_Carolina
2020-07-29,"85,846","1,615",South_Carolina
2020-07-30,"87,572","1,667",South_Carolina
2020-07-31,"89,016","1,712",South_Carolina
2020-08-01,"90,599","1,751",South_Carolina
2020-08-02,"91,788","1,777",South_Carolina
2020-08-03,"92,951","1,793",South_Carolina
2020-08-04,"94,190","1,847",South_Carolina
2020-08-05,"95,472","1,894",South_Carolina
2020-08-06,"96,797","1,943",South_Carolina
2020-08-07,"98,219","1,962",South_Carolina
2020-08-08,"99,460","2,007",South_Carolina
2020-08-09,"100,435","2,031",South_Carolina
2020-08-10,"101,159","2,049",South_Carolina
2020-08-11,"102,130","2,098",South_Carolina
2020-08-12,"102,974","2,144",South_Carolina
2020-08-13,"103,909","2,186",South_Carolina
2020-08-14,"104,841","2,204",South_Carolina
2020-08-15,"105,882","2,260",South_Carolina
2020-08-16,"106,497","2,269",South_Carolina
2020-08-17,"106,953","2,288",South_Carolina
2020-08-18,"107,672","2,343",South_Carolina
2020-08-19,"108,411","2,360",South_Carolina
2020-08-20,"109,320","2,401",South_Carolina
2020-08-21,"110,378","2,459",South_Carolina
2020-08-22,"111,295","2,493",South_Carolina
2020-08-23,"111,988","2,504",South_Carolina
2020-08-24,"112,551","2,511",South_Carolina
2020-08-25,"113,488","2,529",South_Carolina
2020-08-26,"114,093","2,573",South_Carolina
2020-08-27,"114,598","2,628",South_Carolina
2020-08-28,"115,951","2,655",South_Carolina
2020-08-29,"117,249","2,698",South_Carolina
2020-08-30,"118,324","2,709",South_Carolina
2020-08-31,"118,992","2,720",South_Carolina
2020-09-01,"119,846","2,757",South_Carolina
2020-09-02,"120,503","2,794",South_Carolina
2020-09-03,"121,696","2,807",South_Carolina
2020-09-04,"123,325","2,846",South_Carolina
2020-09-05,"124,289","2,877",South_Carolina
2020-09-06,"124,952","2,887",South_Carolina
2020-09-07,"125,607","2,907",South_Carolina
2020-09-08,"125,908","2,912",South_Carolina
2020-09-09,"126,213","2,942",South_Carolina
2020-09-10,"126,592","2,975",South_Carolina
2020-09-11,"129,046","3,028",South_Carolina
2020-09-12,"129,978","3,040",South_Carolina
