Date,Action Taken
"March 13, 2020",State of disaster declared.
"March 18, 2020",Waiver issued to allow restaurants and bars allowed to deliver alcohol along with food purchases.
"March 19, 2020",Driver license expiration date extended and Driver License offices closed.
"March 19, 2020",De facto stay-at-home order issued.
"March 20, 2020","Temporary prohibition of dining and bars/restaurants ordered, along with the closure of gyms."
"March 20, 2020",Social gatherings involving more than 10 people prohibited.
"March 22, 2020",Suspension of elective or non-essential medical procedures.
"March 26, 2020",14-day quarantines mandated from travelers arriving from pandemic hot-spots in the U.S.
"March 31, 2020",Social distancing protocols issued.
"March 31, 2020",All non-essential businesses forced to close for 30 days.
"April 7, 2020","Certain pharmacy, and health care worker regulations waived to increase workforce capabilities. Telehealth options expanded."
"April 7, 2020",State parks and historical sites closed.
"April 20, 2020",State parks and historical sites reopened.
"April 24, 2020",Retail stores allowed to deliver goods to customers.
"April 30, 2020",De facto stay-at-home order expired.
"May 1, 2020","Start of Phase I: Retail establishments, restaurants, movie theaters, shopping malls, libraries and museums permitted to operate at 25% occupancy."
"May 5, 2020",Hair salons and pools authorized to reopen.
"May 18, 2020",Start of Phase II: Reopening of different types of businesses. Most businesses allowed to operate at 25% occupancy. Restaurant occupancy limit increased to 50%.
"June 3, 2020",Start of Phase III: All businesses able to operate at up to 50% capacity. Some businesses able to operate at 100%. No capacity limits on most outdoor areas.
"June 12, 2020",Restaurant occupancy limit increased to 75%.
"June 26, 2020",Bars ordered to shut down and restaurant capacity limits reduced to 50%. Outdoor gatherings of more than 100 people banned unless government approval received.
"July 3, 2020",No gatherings of more than 10 people unless local government approval received.
"July 3, 2020",Masks mandated in enclosed public spaces in all counties with at least 20 confirmed cases.
