date,confirmed,deaths,state
2020-03-06,1,,Utah
2020-03-07,1,,Utah
2020-03-08,1,,Utah
2020-03-09,2,,Utah
2020-03-10,2,,Utah
2020-03-11,3,,Utah
2020-03-12,4,,Utah
2020-03-13,9,,Utah
2020-03-14,14,,Utah
2020-03-15,26,,Utah
2020-03-16,38,,Utah
2020-03-17,52,,Utah
2020-03-18,61,,Utah
2020-03-19,95,,Utah
2020-03-20,121,,Utah
2020-03-21,143,,Utah
2020-03-22,225,1,Utah
2020-03-23,256,1,Utah
2020-03-24,324,1,Utah
2020-03-25,364,1,Utah
2020-03-26,450,3,Utah
2020-03-27,574,4,Utah
2020-03-28,689,5,Utah
2020-03-29,789,7,Utah
2020-03-30,902,7,Utah
2020-03-31,984,9,Utah
2020-04-01,"1,065",9,Utah
2020-04-02,"1,268",10,Utah
2020-04-03,"1,424",10,Utah
2020-04-04,"1,591",15,Utah
2020-04-05,"1,664",15,Utah
2020-04-06,"1,730",15,Utah
2020-04-07,"1,815",16,Utah
2020-04-08,"1,965",17,Utah
2020-04-09,"2,090",19,Utah
2020-04-10,"2,210",22,Utah
2020-04-11,"2,310",22,Utah
2020-04-12,"2,369",22,Utah
2020-04-13,"2,416",22,Utah
2020-04-14,"2,538",23,Utah
2020-04-15,"2,675",24,Utah
2020-04-16,"2,805",25,Utah
2020-04-17,"2,940",26,Utah
2020-04-18,"3,073",29,Utah
2020-04-19,"3,221",30,Utah
2020-04-20,"3,309",35,Utah
2020-04-21,"3,447",35,Utah
2020-04-22,"3,608",37,Utah
2020-04-23,"3,764",43,Utah
2020-04-24,"3,945",43,Utah
2020-04-25,"4,127",45,Utah
2020-04-26,"4,237",46,Utah
2020-04-27,"4,332",47,Utah
2020-04-28,"4,479",47,Utah
2020-04-29,"4,654",47,Utah
2020-04-30,"4,810",50,Utah
2020-05-01,"4,966",53,Utah
2020-05-02,"5,153",56,Utah
2020-05-03,"5,286",57,Utah
2020-05-04,"5,415",58,Utah
2020-05-05,"5,570",61,Utah
2020-05-06,"5,698",64,Utah
2020-05-07,"5,893",66,Utah
2020-05-08,"6,078",70,Utah
2020-05-09,"6,229",73,Utah
2020-05-10,"6,345",75,Utah
2020-05-11,"6,418",78,Utah
2020-05-12,"6,601",79,Utah
2020-05-13,"6,730",83,Utah
2020-05-14,"6,894",86,Utah
