date,confirmed,deaths,state
2020-03-07,1,0,Vermont
2020-03-08,1,0,Vermont
2020-03-09,1,0,Vermont
2020-03-10,1,0,Vermont
2020-03-11,1,0,Vermont
2020-03-12,2,0,Vermont
2020-03-13,2,0,Vermont
2020-03-14,4,0,Vermont
2020-03-15,8,0,Vermont
2020-03-16,12,0,Vermont
2020-03-17,17,0,Vermont
2020-03-18,19,0,Vermont
2020-03-19,22,2,Vermont
2020-03-20,29,2,Vermont
2020-03-21,49,2,Vermont
2020-03-22,52,2,Vermont
2020-03-23,75,5,Vermont
2020-03-24,95,7,Vermont
2020-03-25,123,8,Vermont
2020-03-26,158,9,Vermont
2020-03-27,184,10,Vermont
2020-03-28,211,12,Vermont
2020-03-29,235,12,Vermont
2020-03-30,256,12,Vermont
2020-03-31,293,13,Vermont
2020-04-01,321,16,Vermont
2020-04-02,338,17,Vermont
2020-04-03,389,17,Vermont
2020-04-04,461,20,Vermont
2020-04-05,512,22,Vermont
2020-04-06,543,23,Vermont
2020-04-07,575,23,Vermont
2020-04-08,605,23,Vermont
2020-04-09,628,23,Vermont
2020-04-10,679,24,Vermont
2020-04-11,711,25,Vermont
2020-04-12,727,27,Vermont
2020-04-13,748,28,Vermont
2020-04-14,752,29,Vermont
2020-04-15,759,30,Vermont
2020-04-16,768,35,Vermont
2020-04-17,779,35,Vermont
2020-04-18,803,38,Vermont
2020-04-19,812,38,Vermont
2020-04-20,816,38,Vermont
2020-04-21,818,40,Vermont
2020-04-22,823,40,Vermont
2020-04-23,825,43,Vermont
2020-04-24,827,44,Vermont
2020-04-25,843,46,Vermont
2020-04-26,851,46,Vermont
2020-04-27,851,47,Vermont
2020-04-28,862,47,Vermont
2020-04-29,862,47,Vermont
2020-04-30,866,49,Vermont
2020-05-01,879,50,Vermont
2020-05-02,886,51,Vermont
2020-05-03,897,52,Vermont
2020-05-04,902,52,Vermont
2020-05-05,907,52,Vermont
2020-05-06,908,52,Vermont
2020-05-07,916,53,Vermont
2020-05-08,919,53,Vermont
2020-05-09,921,53,Vermont
2020-05-10,927,53,Vermont
2020-05-11,926,53,Vermont
2020-05-12,927,53,Vermont
2020-05-13,929,53,Vermont
2020-05-14,932,53,Vermont
2020-05-15,933,53,Vermont
2020-05-16,934,53,Vermont
2020-05-17,940,54,Vermont
2020-05-18,940,54,Vermont
2020-05-19,944,54,Vermont
2020-05-20,944,54,Vermont
2020-05-21,950,54,Vermont
2020-05-22,952,54,Vermont
2020-05-23,954,54,Vermont
2020-05-24,956,54,Vermont
2020-05-25,962,54,Vermont
2020-05-26,967,54,Vermont
2020-05-27,971,54,Vermont
2020-05-28,974,55,Vermont
2020-05-29,975,55,Vermont
2020-05-30,977,55,Vermont
2020-05-31,981,55,Vermont
2020-06-01,983,55,Vermont
2020-06-02,988,55,Vermont
2020-06-03,990,55,Vermont
2020-06-04,"1,026",55,Vermont
2020-06-05,"1,027",55,Vermont
2020-06-06,"1,046",55,Vermont
2020-06-07,"1,063",55,Vermont
2020-06-08,"1,075",55,Vermont
2020-06-09,"1,084",55,Vermont
2020-06-10,"1,095",55,Vermont
2020-06-11,"1,110",55,Vermont
2020-06-12,"1,119",55,Vermont
2020-06-13,"1,125",55,Vermont
2020-06-14,"1,127",55,Vermont
2020-06-15,"1,128",55,Vermont
2020-06-16,"1,131",55,Vermont
2020-06-17,"1,130",55,Vermont
2020-06-18,"1,135",56,Vermont
2020-06-19,"1,144",56,Vermont
2020-06-20,"1,147",56,Vermont
2020-06-21,"1,159",56,Vermont
2020-06-22,"1,163",56,Vermont
2020-06-23,"1,164",56,Vermont
2020-06-24,"1,184",56,Vermont
2020-06-25,"1,191",56,Vermont
2020-06-26,"1,198",56,Vermont
2020-06-27,"1,200",56,Vermont
2020-06-28,"1,202",56,Vermont
2020-06-29,"1,208",56,Vermont
2020-06-30,"1,208",56,Vermont
2020-07-01,"1,210",56,Vermont
2020-07-02,"1,227",56,Vermont
2020-07-03,"1,236",56,Vermont
2020-07-04,"1,238",56,Vermont
2020-07-05,"1,249",56,Vermont
2020-07-06,"1,251",56,Vermont
2020-07-07,"1,254",56,Vermont
2020-07-08,"1,256",56,Vermont
2020-07-09,"1,272",56,Vermont
2020-07-10,"1,277",56,Vermont
2020-07-11,"1,282",56,Vermont
2020-07-12,"1,296",56,Vermont
2020-07-13,"1,301",56,Vermont
2020-07-14,"1,305",56,Vermont
2020-07-15,"1,318",56,Vermont
2020-07-16,"1,325",56,Vermont
2020-07-17,"1,334",56,Vermont
2020-07-18,"1,338",56,Vermont
2020-07-19,"1,350",56,Vermont
2020-07-20,"1,360",56,Vermont
2020-07-21,"1,366",56,Vermont
2020-07-22,"1,366",56,Vermont
2020-07-23,"1,377",56,Vermont
2020-07-24,"1,385",56,Vermont
2020-07-25,"1,396",56,Vermont
2020-07-26,"1,400",56,Vermont
2020-07-27,"1,402",56,Vermont
2020-07-28,"1,405",56,Vermont
2020-07-29,"1,406",56,Vermont
2020-07-30,"1,407",56,Vermont
2020-07-31,"1,414",57,Vermont
2020-08-01,"1,421",57,Vermont
2020-08-02,"1,426",57,Vermont
2020-08-03,"1,427",57,Vermont
2020-08-04,"1,431",57,Vermont
2020-08-05,"1,436",57,Vermont
2020-08-06,"1,445",58,Vermont
2020-08-07,"1,448",58,Vermont
2020-08-08,"1,454",58,Vermont
2020-08-09,"1,459",58,Vermont
2020-08-10,"1,462",58,Vermont
2020-08-11,"1,472",58,Vermont
2020-08-12,"1,478",58,Vermont
2020-08-13,"1,484",58,Vermont
2020-08-14,"1,501",58,Vermont
2020-08-15,"1,509",58,Vermont
2020-08-16,"1,515",58,Vermont
2020-08-17,"1,527",58,Vermont
2020-08-18,"1,530",58,Vermont
2020-08-19,"1,533",58,Vermont
2020-08-20,"1,537",58,Vermont
2020-08-21,"1,541",58,Vermont
2020-08-22,"1,553",58,Vermont
2020-08-23,"1,557",58,Vermont
2020-08-24,"1,566",58,Vermont
2020-08-25,"1,572",58,Vermont
2020-08-26,"1,577",58,Vermont
2020-08-27,"1,586",58,Vermont
2020-08-28,"1,589",58,Vermont
2020-08-29,"1,605",58,Vermont
2020-08-30,"1,616",58,Vermont
2020-08-31,"1,621",58,Vermont
2020-09-01,"1,627",58,Vermont
2020-09-02,"1,630",58,Vermont
2020-09-03,"1,637",58,Vermont
2020-09-04,"1,642",58,Vermont
2020-09-05,"1,647",58,Vermont
2020-09-06,"1,648",58,Vermont
2020-09-07,"1,651",58,Vermont
2020-09-08,"1,654",58,Vermont
2020-09-09,"1,656",58,Vermont
