date,confirmed,deaths,state
2020-03-07,1,0,Virginia
2020-03-08,2,0,Virginia
2020-03-09,5,0,Virginia
2020-03-10,8,0,Virginia
2020-03-11,10,0,Virginia
2020-03-12,17,0,Virginia
2020-03-13,30,0,Virginia
2020-03-14,41,1,Virginia
2020-03-15,45,1,Virginia
2020-03-16,51,2,Virginia
2020-03-17,67,2,Virginia
2020-03-18,77,2,Virginia
2020-03-19,94,2,Virginia
2020-03-20,114,2,Virginia
2020-03-21,152,2,Virginia
2020-03-22,220,3,Virginia
2020-03-23,254,6,Virginia
2020-03-24,290,9,Virginia
2020-03-25,391,9,Virginia
2020-03-26,460,13,Virginia
2020-03-27,615,15,Virginia
2020-03-28,739,18,Virginia
2020-03-29,890,22,Virginia
2020-03-30,"1,020",25,Virginia
2020-03-31,"1,250",27,Virginia
2020-04-01,"1,484",34,Virginia
2020-04-02,"1,706",41,Virginia
2020-04-03,"2,012",46,Virginia
2020-04-04,"2,407",51,Virginia
2020-04-05,"2,637",51,Virginia
2020-04-06,"2,878",54,Virginia
2020-04-07,"3,333",63,Virginia
2020-04-08,"3,645",75,Virginia
2020-04-09,"4,042",109,Virginia
2020-04-10,"4,509",121,Virginia
2020-04-11,"5,077",130,Virginia
2020-04-12,"5,274",141,Virginia
2020-04-13,"5,747",149,Virginia
2020-04-14,"6,171",154,Virginia
2020-04-15,"6,500",195,Virginia
2020-04-16,"6,889",208,Virginia
2020-04-17,"7,491",231,Virginia
2020-04-18,"8,053",258,Virginia
2020-04-19,"8,537",277,Virginia
2020-04-20,"8,990",300,Virginia
2020-04-21,"9,630",324,Virginia
2020-04-22,"10,266",329,Virginia
2020-04-23,"10,998",372,Virginia
2020-04-24,"11,594",410,Virginia
2020-04-25,"12,366",436,Virginia
2020-04-26,"12,970",448,Virginia
2020-04-27,"13,535",458,Virginia
2020-04-28,"14,339",492,Virginia
2020-04-29,"14,961",522,Virginia
2020-04-30,"15,846",552,Virginia
2020-05-01,"16,901",581,Virginia
2020-05-02,"17,731",616,Virginia
2020-05-03,"18,671",660,Virginia
2020-05-04,"19,492",684,Virginia
2020-05-05,"20,256",713,Virginia
2020-05-06,"20,985",737,Virginia
2020-05-07,"21,570",769,Virginia
2020-05-08,"22,342",812,Virginia
2020-05-09,"23,196",827,Virginia
2020-05-10,"24,081",839,Virginia
2020-05-11,"25,070",850,Virginia
2020-05-12,"25,800",891,Virginia
2020-05-13,"26,746",927,Virginia
2020-05-14,"27,813",955,Virginia
2020-05-15,"28,672",977,Virginia
2020-05-16,"29,683","1,002",Virginia
2020-05-17,"30,388","1,009",Virginia
2020-05-18,"31,140","1,014",Virginia
2020-05-19,"32,145","1,041",Virginia
2020-05-20,"32,908","1,074",Virginia
2020-05-21,"34,137","1,099",Virginia
2020-05-22,"34,950","1,136",Virginia
2020-05-23,"35,749","1,159",Virginia
2020-05-24,"36,244","1,171",Virginia
2020-05-25,"37,727","1,208",Virginia
2020-05-26,"39,342","1,236",Virginia
2020-05-27,"40,249","1,281",Virginia
2020-05-28,"41,401","1,338",Virginia
2020-05-29,"42,533","1,358",Virginia
2020-05-30,"43,611","1,370",Virginia
2020-05-31,"44,607","1,375",Virginia
2020-06-01,"45,398","1,392",Virginia
2020-06-02,"46,239","1,407",Virginia
2020-06-03,"46,905","1,428",Virginia
2020-06-04,"47,856","1,445",Virginia
2020-06-05,"48,532","1,453",Virginia
2020-06-06,"49,397","1,460",Virginia
2020-06-07,"50,682","1,472",Virginia
2020-06-08,"51,251","1,477",Virginia
2020-06-09,"51,738","1,496",Virginia
2020-06-10,"52,177","1,514",Virginia
2020-06-11,"52,647","1,520",Virginia
2020-06-12,"53,211","1,534",Virginia
2020-06-13,"53,869","1,541",Virginia
2020-06-14,"54,506","1,546",Virginia
2020-06-15,"54,886","1,552",Virginia
2020-06-16,"55,331","1,570",Virginia
2020-06-17,"55,775","1,583",Virginia
2020-06-18,"56,238","1,586",Virginia
2020-06-19,"56,793","1,602",Virginia
2020-06-20,"57,443","1,607",Virginia
2020-06-21,"57,994","1,611",Virginia
2020-06-22,"58,465","1,620",Virginia
2020-06-23,"58,994","1,645",Virginia
2020-06-24,"59,514","1,661",Virginia
2020-06-25,"59,946","1,675",Virginia
2020-06-26,"60,570","1,700",Virginia
2020-06-27,"61,247","1,724",Virginia
2020-06-28,"61,736","1,732",Virginia
2020-06-29,"62,189","1,740",Virginia
2020-06-30,"62,787","1,763",Virginia
2020-07-01,"63,203","1,786",Virginia
2020-07-02,"63,735","1,816",Virginia
2020-07-03,"64,393","1,845",Virginia
2020-07-04,"65,109","1,849",Virginia
2020-07-05,"65,748","1,853",Virginia
2020-07-06,"66,102","1,853",Virginia
2020-07-07,"66,740","1,881",Virginia
2020-07-08,"67,375","1,905",Virginia
2020-07-09,"67,988","1,937",Virginia
2020-07-10,"68,931","1,958",Virginia
2020-07-11,"69,782","1,962",Virginia
2020-07-12,"70,670","1,966",Virginia
2020-07-13,"71,642","1,968",Virginia
2020-07-14,"72,443","1,977",Virginia
2020-07-15,"73,527","1,992",Virginia
2020-07-16,"74,431","2,007",Virginia
2020-07-17,"75,433","2,013",Virginia
2020-07-18,"76,373","2,025",Virginia
2020-07-19,"77,430","2,027",Virginia
2020-07-20,"78,375","2,031",Virginia
2020-07-21,"79,371","2,048",Virginia
2020-07-22,"80,393","2,051",Virginia
2020-07-23,"81,237","2,054",Virginia
2020-07-24,"82,364","2,067",Virginia
2020-07-25,"83,609","2,075",Virginia
2020-07-26,"84,567","2,078",Virginia
2020-07-27,"86,072","2,082",Virginia
2020-07-28,"86,994","2,095",Virginia
2020-07-29,"87,993","2,125",Virginia
2020-07-30,"88,904","2,141",Virginia
2020-07-31,"89,888","2,174",Virginia
2020-08-01,"90,801","2,215",Virginia
2020-08-02,"91,782","2,218",Virginia
2020-08-03,"93,106","2,218",Virginia
2020-08-04,"94,251","2,244",Virginia
2020-08-05,"95,049","2,274",Virginia
2020-08-06,"95,867","2,299",Virginia
2020-08-07,"97,882","2,317",Virginia
2020-08-08,"99,189","2,322",Virginia
2020-08-09,"100,086","2,326",Virginia
2020-08-10,"100,749","2,327",Virginia
2020-08-11,"101,745","2,344",Virginia
