date,confirmed,deaths,state
2020-03-17,1,0,West_Virginia
2020-03-18,1,0,West_Virginia
2020-03-19,2,0,West_Virginia
2020-03-20,7,0,West_Virginia
2020-03-21,8,0,West_Virginia
2020-03-22,9,0,West_Virginia
2020-03-23,14,0,West_Virginia
2020-03-24,23,0,West_Virginia
2020-03-25,48,0,West_Virginia
2020-03-26,70,0,West_Virginia
2020-03-27,101,0,West_Virginia
2020-03-28,113,0,West_Virginia
2020-03-29,131,0,West_Virginia
2020-03-30,154,1,West_Virginia
2020-03-31,178,1,West_Virginia
2020-04-01,209,1,West_Virginia
2020-04-02,229,1,West_Virginia
2020-04-03,281,2,West_Virginia
2020-04-04,327,2,West_Virginia
2020-04-05,347,3,West_Virginia
2020-04-06,420,4,West_Virginia
2020-04-07,459,4,West_Virginia
2020-04-08,483,4,West_Virginia
2020-04-09,541,4,West_Virginia
2020-04-10,580,4,West_Virginia
2020-04-11,596,4,West_Virginia
2020-04-12,622,4,West_Virginia
2020-04-13,639,6,West_Virginia
2020-04-14,698,6,West_Virginia
2020-04-15,715,6,West_Virginia
2020-04-16,733,6,West_Virginia
2020-04-17,777,7,West_Virginia
2020-04-18,850,7,West_Virginia
2020-04-19,858,7,West_Virginia
2020-04-20,888,7,West_Virginia
2020-04-21,923,7,West_Virginia
2020-04-22,954,7,West_Virginia
2020-04-23,980,31,West_Virginia
2020-04-24,"1,027",32,West_Virginia
2020-04-25,"1,045",32,West_Virginia
2020-04-26,"1,055",34,West_Virginia
2020-04-27,"1,083",34,West_Virginia
2020-04-28,"1,095",38,West_Virginia
2020-04-29,"1,118",38,West_Virginia
2020-04-30,"1,132",41,West_Virginia
2020-05-01,"1,166",46,West_Virginia
2020-05-02,"1,176",48,West_Virginia
2020-05-03,"1,192",48,West_Virginia
2020-05-04,"1,216",48,West_Virginia
2020-05-05,"1,239",48,West_Virginia
2020-05-06,"1,280",50,West_Virginia
2020-05-07,"1,301",51,West_Virginia
2020-05-08,"1,332",52,West_Virginia
2020-05-09,"1,352",52,West_Virginia
2020-05-10,"1,361",54,West_Virginia
2020-05-11,"1,373",54,West_Virginia
2020-05-12,"1,384",58,West_Virginia
2020-05-13,"1,416",58,West_Virginia
2020-05-14,"1,445",60,West_Virginia
2020-05-15,"1,473",64,West_Virginia
2020-05-16,"1,499",64,West_Virginia
2020-05-17,"1,507",67,West_Virginia
2020-05-18,"1,521",68,West_Virginia
2020-05-19,"1,555",68,West_Virginia
2020-05-20,"1,607",69,West_Virginia
2020-05-21,"1,640",70,West_Virginia
2020-05-22,"1,712",72,West_Virginia
2020-05-23,"1,743",72,West_Virginia
2020-05-24,"1,769",72,West_Virginia
2020-05-25,"1,782",72,West_Virginia
2020-05-26,"1,851",72,West_Virginia
2020-05-27,"1,901",74,West_Virginia
2020-05-28,"1,938",74,West_Virginia
2020-05-29,"1,969",74,West_Virginia
2020-05-30,"1,991",75,West_Virginia
2020-05-31,"1,997",75,West_Virginia
2020-06-01,"2,031",76,West_Virginia
2020-06-02,"2,053",78,West_Virginia
2020-06-03,"2,076",78,West_Virginia
2020-06-04,"2,097",79,West_Virginia
2020-06-05,"2,111",84,West_Virginia
2020-06-06,"2,122",84,West_Virginia
2020-06-07,"2,131",84,West_Virginia
2020-06-08,"2,151",84,West_Virginia
2020-06-09,"2,164",84,West_Virginia
2020-06-10,"2,189",85,West_Virginia
2020-06-11,"2,214",86,West_Virginia
2020-06-12,"2,242",88,West_Virginia
2020-06-13,"2,276",88,West_Virginia
2020-06-14,"2,281",88,West_Virginia
2020-06-15,"2,315",88,West_Virginia
2020-06-16,"2,340",88,West_Virginia
2020-06-17,"2,389",88,West_Virginia
2020-06-18,"2,431",88,West_Virginia
2020-06-19,"2,482",88,West_Virginia
2020-06-20,"2,517",88,West_Virginia
2020-06-21,"2,532",89,West_Virginia
2020-06-22,"2,565",89,West_Virginia
2020-06-23,"2,603",92,West_Virginia
2020-06-24,"2,648",92,West_Virginia
2020-06-25,"2,706",92,West_Virginia
2020-06-26,"2,757",92,West_Virginia
2020-06-27,"2,782",93,West_Virginia
2020-06-28,"2,832",93,West_Virginia
2020-06-29,"2,870",93,West_Virginia
2020-06-30,"2,905",93,West_Virginia
2020-07-01,"2,979",93,West_Virginia
2020-07-02,"3,053",93,West_Virginia
2020-07-03,"3,126",93,West_Virginia
2020-07-04,"3,205",94,West_Virginia
2020-07-05,"3,335",95,West_Virginia
2020-07-06,"3,442",95,West_Virginia
2020-07-07,"3,505",95,West_Virginia
2020-07-08,"3,707",95,West_Virginia
2020-07-09,"3,826",95,West_Virginia
2020-07-10,"3,983",95,West_Virginia
2020-07-11,"4,146",96,West_Virginia
2020-07-12,"4,244",96,West_Virginia
2020-07-13,"4,313",97,West_Virginia
2020-07-14,"4,407",97,West_Virginia
2020-07-15,"4,557",98,West_Virginia
2020-07-16,"4,657",99,West_Virginia
2020-07-17,"4,783",100,West_Virginia
2020-07-18,"4,922",100,West_Virginia
2020-07-19,"5,042",100,West_Virginia
2020-07-20,"5,142",100,West_Virginia
2020-07-21,"5,199",101,West_Virginia
2020-07-22,"5,461",102,West_Virginia
,,,West_Virginia
2020-09-07,"11,575",247,West_Virginia
2020-09-08,"11,661",250,West_Virginia
,,,West_Virginia
2020-09-20,"14,228",315,West_Virginia
2020-09-21,"14,384",317,West_Virginia
