County [a],Confirmed cases,Probable cases,Recovered,Deaths [b],Pop (2013)
53 / 55,"2,902",104,"2,328",93,"1,852,994"
Barbour,15,0,9,1,16589
Berkeley,441,18,367,10,104169
Boone,21,0,17,0,24629
Braxton,3,0,2,0,14523
Brooke,8,1,7,0,24069
Cabell,128,6,72,0,96319
Calhoun,2,0,1,0,7627
Clay,10,0,9,1,9386
Doddridge,0,0,0,0,8202
Fayette,66,0,51,4,46039
Gilmer,13,0,11,0,8693
Grant,15,1,16,0,11937
Greenbrier,61,0,32,1,35480
Hampshire,42,0,40,1,23964
Hancock,20,3,20,0,30676
Hardy,43,1,40,0,14025
Harrison,65,0,43,1,69099
Jackson,143,0,123,18,29211
Jefferson,228,5,212,4,53498
Kanawha,318,9,248,20,193063
Lewis,18,1,14,2,16372
Lincoln,8,0,5,0,21720
Logan,25,0,20,1,36743
Marion,58,3,48,2,56418
Marshall,40,1,34,0,33107
Mason,19,0,15,0,27324
McDowell,6,0,6,0,22113
Mercer,45,0,13,0,62264
Mineral,55,2,49,3,28212
Mingo,20,3,13,2,26839
Monongalia,166,14,149,5,96189
Monroe,12,1,9,0,13502
Morgan,19,1,20,0,17541
Nicholas,10,1,9,1,26233
Ohio,97,1,71,1,44443
Pendleton,12,1,10,1,7695
Pleasants,4,1,4,0,7605
Pocahontas,26,1,24,0,8719
Preston,64,15,63,2,33520
Putnam,58,1,38,0,55486
Raleigh,53,1,30,0,78859
Randolph,161,1,148,0,29405
Ritchie,2,0,2,0,10449
Roane,11,0,8,1,14926
Summers,2,0,2,0,13927
Taylor,15,1,11,0,16895
Tucker,6,0,6,0,7141
Tyler,4,0,3,0,9208
Upshur,20,1,11,0,24254
Wayne,111,1,97,9,42481
Webster,0,0,0,0,9154
Wetzel,10,0,9,0,16583
Wirt,4,0,4,0,5717
Wood,92,8,58,2,86956
Wyoming,7,0,5,0,23796
"Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]","Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]","Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]","Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]","Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]","Updated Jul 2, 2020Data is publicly reported by West Virginia Department of Health and Human Resources[48]"
"^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero.","^ County where individuals with a positive case was diagnosed. Location of original infection may vary. ^ ""–"" denotes that no data is currently available for that county, not that the value is zero."
