date,confirmed,deaths,state
2020-02-05,1,0,Wisconsin
,1,0,Wisconsin
2020-03-09,2,0,Wisconsin
2020-03-10,3,0,Wisconsin
2020-03-11,6,0,Wisconsin
2020-03-12,8,0,Wisconsin
2020-03-13,19,0,Wisconsin
2020-03-14,27,0,Wisconsin
2020-03-15,33,0,Wisconsin
2020-03-16,47,0,Wisconsin
2020-03-17,72,0,Wisconsin
2020-03-18,106,0,Wisconsin
2020-03-19,155,2,Wisconsin
2020-03-20,206,3,Wisconsin
2020-03-21,281,4,Wisconsin
2020-03-22,381,4,Wisconsin
2020-03-23,416,5,Wisconsin
2020-03-24,457,5,Wisconsin
2020-03-25,585,6,Wisconsin
2020-03-26,707,8,Wisconsin
2020-03-27,842,13,Wisconsin
2020-03-28,989,13,Wisconsin
2020-03-29,"1,112",13,Wisconsin
2020-03-30,"1,221",14,Wisconsin
2020-03-31,"1,351",16,Wisconsin
2020-04-01,"1,550",24,Wisconsin
2020-04-02,"1,730",31,Wisconsin
2020-04-03,"1,916",37,Wisconsin
2020-04-04,"2,112",56,Wisconsin
2020-04-05,"2,267",68,Wisconsin
2020-04-06,"2,440",77,Wisconsin
2020-04-07,"2,578",92,Wisconsin
2020-04-08,"2,756",99,Wisconsin
2020-04-09,"2,885",111,Wisconsin
2020-04-10,"3,068",128,Wisconsin
2020-04-11,"3,213",137,Wisconsin
2020-04-12,"3,341",144,Wisconsin
2020-04-13,"3,428",154,Wisconsin
2020-04-14,"3,555",170,Wisconsin
2020-04-15,"3,721",182,Wisconsin
2020-04-16,"3,875",197,Wisconsin
2020-04-17,"4,045",205,Wisconsin
2020-04-18,"4,199",211,Wisconsin
2020-04-19,"4,346",220,Wisconsin
2020-04-20,"4,499",230,Wisconsin
2020-04-21,"4,620",242,Wisconsin
2020-04-22,"4,845",246,Wisconsin
2020-04-23,"5,052",257,Wisconsin
2020-04-24,"5,356",262,Wisconsin
2020-04-25,"5,687",266,Wisconsin
2020-04-26,"5,911",272,Wisconsin
2020-04-27,"6,081",281,Wisconsin
2020-04-28,"6,289",300,Wisconsin
2020-04-29,"6,520",308,Wisconsin
2020-04-30,"6,854",316,Wisconsin
2020-05-01,"7,314",327,Wisconsin
2020-05-02,"7,660",334,Wisconsin
2020-05-03,"7,964",339,Wisconsin
2020-05-04,"8,236",340,Wisconsin
2020-05-05,"8,566",353,Wisconsin
2020-05-06,"8,901",362,Wisconsin
2020-05-07,"9,215",374,Wisconsin
2020-05-08,"9,590",384,Wisconsin
2020-05-09,"9,939",398,Wisconsin
2020-05-10,"10,219",400,Wisconsin
2020-05-11,"10,417",409,Wisconsin
2020-05-12,"10,611",418,Wisconsin
2020-05-13,"10,902",421,Wisconsin
2020-05-14,"11,275",434,Wisconsin
2020-05-15,"11,685",445,Wisconsin
2020-05-16,"12,187",453,Wisconsin
2020-05-17,"12,543",453,Wisconsin
2020-05-18,"12,687",459,Wisconsin
2020-05-19,"12,885",467,Wisconsin
2020-05-20,"13,413",481,Wisconsin
2020-05-21,"13,885",487,Wisconsin
2020-05-22,"14,396",496,Wisconsin
2020-05-23,"14,877",507,Wisconsin
2020-05-24,"15,277",510,Wisconsin
2020-05-25,"15,584",514,Wisconsin
2020-05-26,"15,863",517,Wisconsin
2020-05-27,"16,462",539,Wisconsin
2020-05-28,"16,974",550,Wisconsin
2020-05-29,"17,707",568,Wisconsin
2020-05-30,"18,230",588,Wisconsin
2020-05-31,"18,403",592,Wisconsin
2020-06-01,"18,543",595,Wisconsin
2020-06-02,"18,917",607,Wisconsin
2020-06-03,"19,400",616,Wisconsin
2020-06-04,"19,892",626,Wisconsin
2020-06-05,"20,249",633,Wisconsin
2020-06-06,"20,571",645,Wisconsin
2020-06-07,"20,835",647,Wisconsin
2020-06-08,"21,038",646,Wisconsin
2020-06-09,"21,308",661,Wisconsin
2020-06-10,"21,593",671,Wisconsin
2020-06-11,"21,926",682,Wisconsin
2020-06-12,"22,246",689,Wisconsin
2020-06-13,"22,518",691,Wisconsin
2020-06-14,"22,758",692,Wisconsin
2020-06-15,"22,932",694,Wisconsin
2020-06-16,"23,198",703,Wisconsin
2020-06-17,"23,454",712,Wisconsin
2020-06-18,"23,876",719,Wisconsin
2020-06-19,"24,154",730,Wisconsin
2020-06-20,"24,539",744,Wisconsin
2020-06-21,"24,819",744,Wisconsin
2020-06-22,"25,068",745,Wisconsin
2020-06-23,"25,331",750,Wisconsin
2020-06-24,"25,763",757,Wisconsin
2020-06-25,"26,227",766,Wisconsin
2020-06-26,"26,747",766,Wisconsin
2020-06-27,"27,286",777,Wisconsin
2020-06-28,"27,743",777,Wisconsin
2020-06-29,"28,058",777,Wisconsin
2020-06-30,"28,659",784,Wisconsin
2020-07-01,"29,199",786,Wisconsin
2020-07-02,"29,738",793,Wisconsin
2020-07-03,"30,317",796,Wisconsin
2020-07-04,"31,055",796,Wisconsin
2020-07-05,"31,577",796,Wisconsin
2020-07-06,"32,061",796,Wisconsin
2020-07-07,"32,556",805,Wisconsin
2020-07-08,"33,154",807,Wisconsin
2020-07-09,"33,908",809,Wisconsin
2020-07-10,"34,753",814,Wisconsin
2020-07-11,"35,679",821,Wisconsin
2020-07-12,"36,448",820,Wisconsin
2020-07-13,"36,942",820,Wisconsin
2020-07-14,"37,906",826,Wisconsin
2020-07-15,"38,727",827,Wisconsin
2020-07-16,"39,627",831,Wisconsin
2020-07-17,"40,507",833,Wisconsin
2020-07-18,"41,485",843,Wisconsin
2020-07-19,"42,315",844,Wisconsin
2020-07-20,"43,018",846,Wisconsin
2020-07-21,"44,135",859,Wisconsin
2020-07-22,"44,847",865,Wisconsin
2020-07-23,"45,899",878,Wisconsin
2020-07-24,"46,917",878,Wisconsin
2020-07-25,"47,870",891,Wisconsin
2020-07-26,"48,827",892,Wisconsin
2020-07-27,"49,417",893,Wisconsin
2020-07-28,"50,179",906,Wisconsin
2020-07-29,"51,049",911,Wisconsin
2020-07-30,"52,108",919,Wisconsin
2020-07-31,"52,940",934,Wisconsin
2020-08-01,"54,002",947,Wisconsin
2020-08-02,"54,924",948,Wisconsin
2020-08-03,"55,328",949,Wisconsin
2020-08-04,"56,056",961,Wisconsin
2020-08-05,"56,940",970,Wisconsin
2020-08-06,"57,779",978,Wisconsin
2020-08-07,"58,768",990,Wisconsin
2020-08-08,"59,993",996,Wisconsin
2020-08-09,"60,554",998,Wisconsin
2020-08-10,"61,061",998,Wisconsin
2020-08-11,"61,785","1,006",Wisconsin
2020-08-12,"62,263","1,011",Wisconsin
2020-08-13,"63,206","1,018",Wisconsin
2020-08-14,"64,227","1,025",Wisconsin
2020-08-15,"65,056","1,038",Wisconsin
2020-08-16,"65,741","1,039",Wisconsin
2020-08-17,"66,196","1,039",Wisconsin
2020-08-18,"66,830","1,052",Wisconsin
2020-08-19,"67,493","1,060",Wisconsin
2020-08-20,"68,233","1,067",Wisconsin
2020-08-21,"69,059","1,068",Wisconsin
2020-08-22,"70,009","1,081",Wisconsin
2020-08-23,"70,462","1,081",Wisconsin
2020-08-24,"70,854","1,081",Wisconsin
2020-08-25,"71,492","1,094",Wisconsin
2020-08-26,"72,260","1,100",Wisconsin
2020-08-27,"73,138","1,111",Wisconsin
2020-08-28,"73,981","1,113",Wisconsin
2020-08-29,"74,800","1,119",Wisconsin
2020-08-30,"75,337","1,122",Wisconsin
2020-08-31,"75,603","1,122",Wisconsin
2020-09-01,"76,584","1,130",Wisconsin
2020-09-02,"77,129","1,142",Wisconsin
2020-09-03,"77,856","1,146",Wisconsin
2020-09-04,"79,354","1,153",Wisconsin
2020-09-05,"80,300","1,168",Wisconsin
2020-09-06,"81,193","1,168",Wisconsin
2020-09-07,"81,760","1,168",Wisconsin
2020-09-08,"82,477","1,168",Wisconsin
2020-09-09,"83,334","1,183",Wisconsin
2020-09-10,"84,881","1,193",Wisconsin
2020-09-11,"86,250","1,197",Wisconsin
2020-09-12,"87,603","1,209",Wisconsin
2020-09-13,"89,185","1,210",Wisconsin
2020-09-14,"89,956","1,210",Wisconsin
2020-09-15,"91,304","1,220",Wisconsin
2020-09-16,"92,712","1,228",Wisconsin
2020-09-17,"94,746","1,231",Wisconsin
2020-09-18,"97,279","1,238",Wisconsin
2020-09-19,"99,562","1,241",Wisconsin
2020-09-20,"101,227","1,242",Wisconsin
2020-09-21,"102,498","1,244",Wisconsin
2020-09-22,"104,170","1,251",Wisconsin
2020-09-23,"105,932","1,259",Wisconsin
2020-09-24,"108,324","1,265",Wisconsin
2020-09-25,"110,828","1,274",Wisconsin
2020-09-26,"113,645","1,281",Wisconsin
2020-09-27,"115,862","1,281",Wisconsin
2020-09-28,"117,588","1,283",Wisconsin
2020-09-29,"119,955","1,300",Wisconsin
2020-09-30,"122,274","1,327",Wisconsin
2020-10-01,"125,161","1,348",Wisconsin
2020-10-02,"127,906","1,353",Wisconsin
